createAt,manageObject,M8076C0
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-660701,18601513
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-660701,24731815
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-660701,18783243
2025-05-07T09:45:00.000-04:00:00,NE-MRBTS-660701,23620854
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-660701,21947390
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-660701,23804490
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-660701,26974064
2025-05-07T10:45:00.000-04:00:00,NE-MRBTS-660701,24737236
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-660701,21949325
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-660701,23061097
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-660701,23612706
2025-05-07T11:45:00.000-04:00:00,NE-MRBTS-660701,21572385
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-660701,22496820
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-660701,22688247
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-660701,23617108
2025-05-07T12:45:00.000-04:00:00,NE-MRBTS-660701,24730331
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-660701,23249754
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-660701,22686844
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-660701,22310875
2025-05-07T13:45:00.000-04:00:00,NE-MRBTS-660701,23423137
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-660701,24156546
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-660701,25834239
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-660701,24168910
2025-05-07T14:45:00.000-04:00:00,NE-MRBTS-660701,24540034
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-660701,26034330
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-660701,18594726
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-660701,23800515
2025-05-07T15:45:00.000-04:00:00,NE-MRBTS-660701,25103423
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-660701,20084131
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-660701,18225265
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-660701,23613305
2025-05-07T16:45:00.000-04:00:00,NE-MRBTS-660701,18034644
2025-05-07T17:00:00.000-04:00:00,NE-MRBTS-660701,18221933
2025-05-07T17:15:00.000-04:00:00,NE-MRBTS-660701,25289231
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-660701,20267740
2025-05-07T17:45:00.000-04:00:00,NE-MRBTS-660701,27339871
2025-05-07T18:00:00.000-04:00:00,NE-MRBTS-660701,25668200
2025-05-07T18:15:00.000-04:00:00,NE-MRBTS-660701,23623729
2025-05-07T18:30:00.000-04:00:00,NE-MRBTS-660701,23437538
2025-05-07T18:45:00.000-04:00:00,NE-MRBTS-660701,28460528
2025-05-07T19:00:00.000-04:00:00,NE-MRBTS-660701,25481442
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-660701,21205648
2025-05-07T19:30:00.000-04:00:00,NE-MRBTS-660701,20831347
2025-05-07T19:45:00.000-04:00:00,NE-MRBTS-660701,21765056
2025-05-07T20:00:00.000-04:00:00,NE-MRBTS-660701,19162962
2025-05-07T20:15:00.000-04:00:00,NE-MRBTS-660701,24375531
2025-05-07T20:30:00.000-04:00:00,NE-MRBTS-660701,21771289
2025-05-07T20:45:00.000-04:00:00,NE-MRBTS-660701,18794330
2025-05-07T21:00:00.000-04:00:00,NE-MRBTS-660701,24743382
2025-05-07T21:15:00.000-04:00:00,NE-MRBTS-660701,22148348
2025-05-07T21:30:00.000-04:00:00,NE-MRBTS-660701,19354277
2025-05-07T21:45:00.000-04:00:00,NE-MRBTS-660701,21963534
2025-05-07T22:00:00.000-04:00:00,NE-MRBTS-660701,22338227
2025-05-07T22:15:00.000-04:00:00,NE-MRBTS-660701,22894911
2025-05-07T22:30:00.000-04:00:00,NE-MRBTS-660701,23074421
2025-05-07T22:45:00.000-04:00:00,NE-MRBTS-660701,23081050
2025-05-07T23:00:00.000-04:00:00,NE-MRBTS-660701,26052060
2025-05-07T23:15:00.000-04:00:00,NE-MRBTS-660701,23630629
2025-05-07T23:30:00.000-04:00:00,NE-MRBTS-660701,23450766
2025-05-07T23:45:00.000-04:00:00,NE-MRBTS-660701,22147221
2025-05-08T00:00:00.000-04:00:00,NE-MRBTS-660701,18053090
2025-05-08T00:15:00.000-04:00:00,NE-MRBTS-660701,20286630
2025-05-08T00:30:00.000-04:00:00,NE-MRBTS-660701,21775159
2025-05-08T00:45:00.000-04:00:00,NE-MRBTS-660701,18241510
2025-05-08T01:00:00.000-04:00:00,NE-MRBTS-660701,19540700
2025-05-08T01:15:00.000-04:00:00,NE-MRBTS-660701,18234172
2025-05-08T01:30:00.000-04:00:00,NE-MRBTS-660701,21589672
2025-05-08T01:45:00.000-04:00:00,NE-MRBTS-660701,20844641
2025-05-08T02:00:00.000-04:00:00,NE-MRBTS-660701,25306248
2025-05-08T02:15:00.000-04:00:00,NE-MRBTS-660701,22512530
2025-05-08T02:30:00.000-04:00:00,NE-MRBTS-660701,23070767
2025-05-08T02:45:00.000-04:00:00,NE-MRBTS-660701,25126099
2025-05-08T03:00:00.000-04:00:00,NE-MRBTS-660701,25676016
2025-05-08T03:15:00.000-04:00:00,NE-MRBTS-660701,27347769
2025-05-08T03:30:00.000-04:00:00,NE-MRBTS-660701,28465962
2025-05-08T03:45:00.000-04:00:00,NE-MRBTS-660701,23446501
2025-05-08T04:00:00.000-04:00:00,NE-MRBTS-660701,26244456
2025-05-08T04:15:00.000-04:00:00,NE-MRBTS-660701,24188692
2025-05-08T04:30:00.000-04:00:00,NE-MRBTS-660701,17305689
2025-05-08T04:45:00.000-04:00:00,NE-MRBTS-660701,21030877
2025-05-08T05:00:00.000-04:00:00,NE-MRBTS-660701,21776139
2025-05-08T05:15:00.000-04:00:00,NE-MRBTS-660701,21214781
2025-05-08T05:30:00.000-04:00:00,NE-MRBTS-660701,25493362
2025-05-08T05:45:00.000-04:00:00,NE-MRBTS-660701,25122453
2025-05-08T06:00:00.000-04:00:00,NE-MRBTS-660701,22704471
2025-05-08T06:15:00.000-04:00:00,NE-MRBTS-660701,20470027
