createAt,manageObject,M8073C0,M8073C26
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690501,1025,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690501,881,3607.0
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-690501,6,
2025-05-07T21:30:00.000-04:00:00,NE-MRBTS-690501,5,1283.0
