createAt,manageObject,M8039C6,M8039C4,M8039C5
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-660701,115,,
2025-05-07T11:45:00.000-04:00:00,NE-MRBTS-660701,113,,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-07T12:45:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-660701,115,,
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-660701,113,,
2025-05-07T13:45:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-660701,111,,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-660701,117,,
2025-05-07T14:45:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-07T15:45:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-07T16:45:00.000-04:00:00,NE-MRBTS-660701,113,,
2025-05-07T17:00:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-07T17:15:00.000-04:00:00,NE-MRBTS-660701,108,,
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-07T17:45:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-07T18:00:00.000-04:00:00,NE-MRBTS-660701,115,,
2025-05-07T18:15:00.000-04:00:00,NE-MRBTS-660701,120,,
2025-05-07T18:30:00.000-04:00:00,NE-MRBTS-660701,117,,
2025-05-07T18:45:00.000-04:00:00,NE-MRBTS-660701,106,,
2025-05-07T19:00:00.000-04:00:00,NE-MRBTS-660701,109,,
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-660701,106,,
2025-05-07T19:30:00.000-04:00:00,NE-MRBTS-660701,107,,
2025-05-07T19:45:00.000-04:00:00,NE-MRBTS-660701,106,,
