createAt,manageObject,M8016C45
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-621901,5
2025-05-07T06:00:00.000-03:00:00,NE-MRBTS-621901,2
2025-05-08T07:15:00.000-03:00:00,NE-MRBTS-621901,4
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-621901,2
2025-05-08T16:00:00.000-03:00:00,NE-MRBTS-621901,1
