createAt,manageObject,M8035C0,M8035C1,M8035C2,M8035C5,M8035C6
2025-05-08T07:30:00.000-04:00:00,NE-MRBTS-690513,85.0,3686.0,,,
2025-05-08T08:00:00.000-04:00:00,NE-MRBTS-690513,210.0,3556.0,,,
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-690513,187.0,3433.0,,,
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-690513,239.0,3584.0,,,
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-690513,106.0,3485.0,,,
2025-05-08T09:15:00.000-04:00:00,NE-MRBTS-690513,119.0,3266.0,,,
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-690513,111.0,3414.0,,,
2025-05-08T10:00:00.000-04:00:00,NE-MRBTS-690513,105.0,3213.0,,,
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-690513,147.0,3092.0,,,
2025-05-08T10:30:00.000-04:00:00,NE-MRBTS-690513,184.0,3354.0,,,
2025-05-08T11:00:00.000-04:00:00,NE-MRBTS-690513,235.0,3171.0,,,
2025-05-08T11:15:00.000-04:00:00,NE-MRBTS-690513,161.0,2981.0,,,
2025-05-08T11:30:00.000-04:00:00,NE-MRBTS-690513,174.0,2918.0,,,
2025-05-08T12:00:00.000-04:00:00,NE-MRBTS-690513,217.0,3037.0,,,
2025-05-08T12:15:00.000-04:00:00,NE-MRBTS-690513,147.0,2940.0,,,
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-690513,170.0,2917.0,,,
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-690513,133.0,3353.0,,,
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-690513,135.0,3197.0,,,
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-690513,124.0,3250.0,1.0,,
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-690513,96.0,3625.0,1.0,,
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-690513,78.0,3724.0,,,
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-690513,104.0,3558.0,,,
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-690513,90.0,3395.0,,,
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-690513,125.0,2990.0,11.0,123808.0,1.0
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-690513,85.0,2752.0,,241876.0,
2025-05-06T15:00:00.000-03:00:00,NE-MRBTS-771801,545.0,635.0,1.0,,
2025-05-06T15:15:00.000-03:00:00,NE-MRBTS-771801,449.0,527.0,,,
2025-05-06T15:30:00.000-03:00:00,NE-MRBTS-771801,520.0,566.0,,,
2025-05-06T16:00:00.000-03:00:00,NE-MRBTS-771801,431.0,456.0,1.0,,
2025-05-06T16:15:00.000-03:00:00,NE-MRBTS-771801,572.0,618.0,,,
2025-05-06T16:30:00.000-03:00:00,NE-MRBTS-771801,599.0,618.0,1.0,,
2025-05-06T17:00:00.000-03:00:00,NE-MRBTS-771801,565.0,682.0,,,
2025-05-06T17:15:00.000-03:00:00,NE-MRBTS-771801,398.0,545.0,,,
2025-05-06T17:30:00.000-03:00:00,NE-MRBTS-771801,364.0,532.0,7.0,,
2025-05-06T18:00:00.000-03:00:00,NE-MRBTS-771801,364.0,510.0,,,
2025-05-06T18:15:00.000-03:00:00,NE-MRBTS-771801,315.0,423.0,3.0,,
2025-05-06T18:30:00.000-03:00:00,NE-MRBTS-771801,370.0,498.0,4.0,,
2025-05-06T19:00:00.000-03:00:00,NE-MRBTS-771801,313.0,395.0,1.0,,
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-771801,148.0,305.0,,,
2025-05-06T19:30:00.000-03:00:00,NE-MRBTS-771801,193.0,308.0,,,
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-771801,175.0,305.0,,,
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-771801,204.0,271.0,,,
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-771801,179.0,335.0,1.0,,
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-771801,204.0,226.0,1.0,,
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-771801,171.0,242.0,,,
2025-05-06T21:30:00.000-03:00:00,NE-MRBTS-771801,175.0,360.0,,,
2025-05-06T22:00:00.000-03:00:00,NE-MRBTS-771801,218.0,288.0,1.0,,
2025-05-06T22:15:00.000-03:00:00,NE-MRBTS-771801,163.0,199.0,2.0,,
2025-05-06T22:30:00.000-03:00:00,NE-MRBTS-771801,202.0,263.0,,,
2025-05-06T23:00:00.000-03:00:00,NE-MRBTS-771801,223.0,245.0,,,
2025-05-06T23:15:00.000-03:00:00,NE-MRBTS-771801,184.0,228.0,,,
2025-05-06T23:30:00.000-03:00:00,NE-MRBTS-771801,144.0,278.0,,,
2025-05-07T00:00:00.000-03:00:00,NE-MRBTS-771801,219.0,275.0,,,
2025-05-07T00:15:00.000-03:00:00,NE-MRBTS-771801,161.0,229.0,,,
2025-05-07T00:30:00.000-03:00:00,NE-MRBTS-771801,240.0,256.0,1.0,,
2025-05-07T01:00:00.000-03:00:00,NE-MRBTS-771801,252.0,254.0,,,
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-771801,187.0,244.0,,,
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-771801,186.0,208.0,,,
2025-05-07T02:00:00.000-03:00:00,NE-MRBTS-771801,176.0,229.0,,,
2025-05-07T02:15:00.000-03:00:00,NE-MRBTS-771801,151.0,260.0,,,
2025-05-07T02:30:00.000-03:00:00,NE-MRBTS-771801,154.0,222.0,,,
2025-05-07T03:00:00.000-03:00:00,NE-MRBTS-771801,153.0,141.0,60.0,230114.0,1.0
2025-05-07T03:15:00.000-03:00:00,NE-MRBTS-771801,169.0,221.0,,139227.0,
2025-05-07T03:30:00.000-03:00:00,NE-MRBTS-771801,202.0,215.0,1.0,,
2025-05-07T04:00:00.000-03:00:00,NE-MRBTS-771801,268.0,262.0,3.0,,
2025-05-07T04:15:00.000-03:00:00,NE-MRBTS-771801,294.0,276.0,2.0,,
2025-05-07T04:30:00.000-03:00:00,NE-MRBTS-771801,194.0,207.0,,,
2025-05-07T05:00:00.000-03:00:00,NE-MRBTS-771801,264.0,256.0,,,
2025-05-07T05:15:00.000-03:00:00,NE-MRBTS-771801,257.0,226.0,,,
2025-05-07T05:30:00.000-03:00:00,NE-MRBTS-771801,314.0,316.0,1.0,,
2025-05-07T06:00:00.000-03:00:00,NE-MRBTS-771801,352.0,348.0,,,
2025-05-07T06:15:00.000-03:00:00,NE-MRBTS-771801,306.0,336.0,1.0,,
2025-05-07T06:30:00.000-03:00:00,NE-MRBTS-771801,322.0,341.0,,,
2025-05-07T07:00:00.000-03:00:00,NE-MRBTS-771801,426.0,497.0,,,
2025-05-07T07:15:00.000-03:00:00,NE-MRBTS-771801,458.0,516.0,1.0,,
2025-05-07T07:30:00.000-03:00:00,NE-MRBTS-771801,467.0,493.0,1.0,,
2025-05-07T08:00:00.000-03:00:00,NE-MRBTS-771801,383.0,463.0,1.0,,
2025-05-07T08:15:00.000-03:00:00,NE-MRBTS-771801,404.0,512.0,,,
2025-05-07T08:30:00.000-03:00:00,NE-MRBTS-771801,537.0,751.0,11.0,,
2025-05-07T09:00:00.000-03:00:00,NE-MRBTS-771801,486.0,620.0,,,
2025-05-07T09:15:00.000-03:00:00,NE-MRBTS-771801,485.0,607.0,34.0,,
2025-05-07T09:30:00.000-03:00:00,NE-MRBTS-771801,396.0,550.0,1.0,,
2025-05-07T10:00:00.000-03:00:00,NE-MRBTS-771801,369.0,507.0,,,
2025-05-07T10:15:00.000-03:00:00,NE-MRBTS-771801,354.0,473.0,,,
2025-05-07T10:30:00.000-03:00:00,NE-MRBTS-771801,350.0,529.0,1.0,,
2025-05-07T11:00:00.000-03:00:00,NE-MRBTS-771801,432.0,565.0,,,
2025-05-07T11:15:00.000-03:00:00,NE-MRBTS-771801,418.0,574.0,,,
2025-05-07T11:30:00.000-03:00:00,NE-MRBTS-771801,410.0,557.0,,,
2025-05-07T12:00:00.000-03:00:00,NE-MRBTS-771801,346.0,460.0,2.0,,
2025-05-07T12:15:00.000-03:00:00,NE-MRBTS-771801,220.0,420.0,,,
2025-05-07T12:30:00.000-03:00:00,NE-MRBTS-771801,332.0,473.0,,,
2025-05-07T13:00:00.000-03:00:00,NE-MRBTS-771801,528.0,605.0,1.0,,
2025-05-07T13:15:00.000-03:00:00,NE-MRBTS-771801,572.0,592.0,,,
2025-05-07T13:30:00.000-03:00:00,NE-MRBTS-771801,564.0,595.0,1.0,,
2025-05-07T14:00:00.000-03:00:00,NE-MRBTS-771801,500.0,590.0,5.0,,
2025-05-07T14:15:00.000-03:00:00,NE-MRBTS-771801,452.0,636.0,,,
2025-05-07T14:30:00.000-03:00:00,NE-MRBTS-771801,367.0,594.0,2.0,,
2025-05-07T15:00:00.000-03:00:00,NE-MRBTS-771801,470.0,570.0,2.0,,
2025-05-07T15:15:00.000-03:00:00,NE-MRBTS-771801,466.0,525.0,1.0,,
2025-05-07T15:30:00.000-03:00:00,NE-MRBTS-771801,396.0,480.0,,,
2025-05-07T16:00:00.000-03:00:00,NE-MRBTS-771801,355.0,561.0,,,
2025-05-07T16:15:00.000-03:00:00,NE-MRBTS-771801,294.0,563.0,1.0,,
2025-05-07T16:30:00.000-03:00:00,NE-MRBTS-771801,347.0,611.0,,,
2025-05-07T17:00:00.000-03:00:00,NE-MRBTS-771801,396.0,469.0,,,
2025-05-07T17:15:00.000-03:00:00,NE-MRBTS-771801,372.0,480.0,1.0,,
2025-05-07T17:30:00.000-03:00:00,NE-MRBTS-771801,397.0,535.0,,,
2025-05-07T18:00:00.000-03:00:00,NE-MRBTS-771801,346.0,508.0,,,
2025-05-07T18:15:00.000-03:00:00,NE-MRBTS-771801,256.0,417.0,,,
2025-05-07T18:30:00.000-03:00:00,NE-MRBTS-771801,234.0,389.0,1.0,,
2025-05-07T19:00:00.000-03:00:00,NE-MRBTS-771801,271.0,357.0,,,
2025-05-07T19:15:00.000-03:00:00,NE-MRBTS-771801,256.0,336.0,,,
2025-05-07T19:30:00.000-03:00:00,NE-MRBTS-771801,213.0,284.0,,,
2025-05-07T20:00:00.000-03:00:00,NE-MRBTS-771801,165.0,281.0,,,
2025-05-07T20:15:00.000-03:00:00,NE-MRBTS-771801,146.0,258.0,,,
2025-05-07T20:30:00.000-03:00:00,NE-MRBTS-771801,133.0,211.0,,,
2025-05-07T21:00:00.000-03:00:00,NE-MRBTS-771801,169.0,265.0,,,
2025-05-07T21:15:00.000-03:00:00,NE-MRBTS-771801,210.0,306.0,,,
2025-05-07T21:30:00.000-03:00:00,NE-MRBTS-771801,224.0,262.0,1.0,,
2025-05-07T22:00:00.000-03:00:00,NE-MRBTS-771801,300.0,331.0,,,
2025-05-07T22:15:00.000-03:00:00,NE-MRBTS-771801,288.0,331.0,,,
2025-05-07T22:30:00.000-03:00:00,NE-MRBTS-771801,280.0,341.0,2.0,,
2025-05-07T23:00:00.000-03:00:00,NE-MRBTS-771801,168.0,194.0,2.0,,
2025-05-07T23:15:00.000-03:00:00,NE-MRBTS-771801,137.0,228.0,,,
2025-05-07T23:30:00.000-03:00:00,NE-MRBTS-771801,249.0,273.0,,,
2025-05-08T00:00:00.000-03:00:00,NE-MRBTS-771801,175.0,241.0,1.0,,
2025-05-08T00:15:00.000-03:00:00,NE-MRBTS-771801,172.0,209.0,,,
2025-05-08T00:30:00.000-03:00:00,NE-MRBTS-771801,201.0,269.0,,,
2025-05-08T01:00:00.000-03:00:00,NE-MRBTS-771801,193.0,275.0,1.0,,
2025-05-08T01:15:00.000-03:00:00,NE-MRBTS-771801,146.0,208.0,,,
2025-05-08T01:30:00.000-03:00:00,NE-MRBTS-771801,167.0,253.0,,,
2025-05-08T02:00:00.000-03:00:00,NE-MRBTS-771801,130.0,187.0,1.0,,
2025-05-08T02:15:00.000-03:00:00,NE-MRBTS-771801,229.0,220.0,,,
2025-05-08T02:30:00.000-03:00:00,NE-MRBTS-771801,210.0,193.0,,,
2025-05-08T03:00:00.000-03:00:00,NE-MRBTS-771801,250.0,270.0,,,
2025-05-08T03:15:00.000-03:00:00,NE-MRBTS-771801,221.0,268.0,,,
2025-05-08T03:30:00.000-03:00:00,NE-MRBTS-771801,212.0,245.0,,,
2025-05-08T04:00:00.000-03:00:00,NE-MRBTS-771801,155.0,231.0,,,
2025-05-08T04:15:00.000-03:00:00,NE-MRBTS-771801,131.0,187.0,,,
2025-05-08T04:30:00.000-03:00:00,NE-MRBTS-771801,169.0,165.0,,,
2025-05-08T05:00:00.000-03:00:00,NE-MRBTS-771801,242.0,261.0,,,
2025-05-08T05:15:00.000-03:00:00,NE-MRBTS-771801,293.0,290.0,,,
2025-05-08T05:30:00.000-03:00:00,NE-MRBTS-771801,347.0,338.0,4.0,,
2025-05-08T06:00:00.000-03:00:00,NE-MRBTS-771801,280.0,291.0,,,
2025-05-08T06:15:00.000-03:00:00,NE-MRBTS-771801,277.0,288.0,,,
2025-05-08T06:30:00.000-03:00:00,NE-MRBTS-771801,267.0,248.0,,,
2025-05-08T07:00:00.000-03:00:00,NE-MRBTS-771801,382.0,458.0,1.0,,
2025-05-08T07:15:00.000-03:00:00,NE-MRBTS-771801,297.0,467.0,,,
2025-05-08T07:30:00.000-03:00:00,NE-MRBTS-771801,296.0,400.0,,,
2025-05-08T08:00:00.000-03:00:00,NE-MRBTS-771801,341.0,412.0,,,
2025-05-08T08:15:00.000-03:00:00,NE-MRBTS-771801,371.0,471.0,1.0,,
2025-05-08T08:30:00.000-03:00:00,NE-MRBTS-771801,280.0,430.0,,,
2025-05-08T09:00:00.000-03:00:00,NE-MRBTS-771801,256.0,411.0,,,
2025-05-08T09:15:00.000-03:00:00,NE-MRBTS-771801,220.0,423.0,1.0,,
2025-05-08T09:30:00.000-03:00:00,NE-MRBTS-771801,293.0,506.0,,,
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-771801,348.0,588.0,1.0,,
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-771801,284.0,482.0,,,
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-771801,236.0,467.0,,,
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-771801,416.0,505.0,,,
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-771801,314.0,457.0,,,
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-771801,334.0,486.0,7.0,,
2025-05-08T12:00:00.000-03:00:00,NE-MRBTS-771801,310.0,472.0,,,
2025-05-08T12:15:00.000-03:00:00,NE-MRBTS-771801,289.0,467.0,2.0,,
2025-05-08T12:30:00.000-03:00:00,NE-MRBTS-771801,300.0,465.0,,,
2025-05-08T13:00:00.000-03:00:00,NE-MRBTS-771801,459.0,602.0,1.0,,
2025-05-08T13:15:00.000-03:00:00,NE-MRBTS-771801,406.0,505.0,,,
2025-05-08T13:30:00.000-03:00:00,NE-MRBTS-771801,417.0,533.0,2.0,,
2025-05-08T14:00:00.000-03:00:00,NE-MRBTS-771801,357.0,509.0,,,
2025-05-08T14:15:00.000-03:00:00,NE-MRBTS-771801,358.0,512.0,,,
2025-05-08T14:30:00.000-03:00:00,NE-MRBTS-771801,367.0,530.0,,,
2025-05-08T15:00:00.000-03:00:00,NE-MRBTS-771801,388.0,642.0,,,
2025-05-08T15:15:00.000-03:00:00,NE-MRBTS-771801,412.0,615.0,1.0,,
2025-05-08T15:30:00.000-03:00:00,NE-MRBTS-771801,409.0,592.0,,,
2025-05-08T16:00:00.000-03:00:00,NE-MRBTS-771801,337.0,539.0,5.0,,
2025-05-08T16:15:00.000-03:00:00,NE-MRBTS-771801,400.0,414.0,68.0,85771.0,1.0
2025-05-08T16:30:00.000-03:00:00,NE-MRBTS-771801,223.0,417.0,,282651.0,
2025-05-06T15:00:00.000-03:00:00,NE-MRBTS-341601,4543.0,6481.0,1.0,,
2025-05-06T15:15:00.000-03:00:00,NE-MRBTS-341601,4610.0,6186.0,,,
2025-05-06T15:30:00.000-03:00:00,NE-MRBTS-341601,4570.0,5929.0,,,
2025-05-06T16:00:00.000-03:00:00,NE-MRBTS-341601,4624.0,6329.0,2.0,,
2025-05-06T16:15:00.000-03:00:00,NE-MRBTS-341601,4186.0,6122.0,2.0,,
2025-05-06T16:30:00.000-03:00:00,NE-MRBTS-341601,3815.0,5950.0,,,
2025-05-06T17:00:00.000-03:00:00,NE-MRBTS-341601,3683.0,6019.0,,,
2025-05-06T17:15:00.000-03:00:00,NE-MRBTS-341601,3488.0,5678.0,17.0,,
2025-05-06T17:30:00.000-03:00:00,NE-MRBTS-341601,2905.0,4937.0,96.0,3086.0,1.0
2025-05-06T18:00:00.000-03:00:00,NE-MRBTS-341601,1779.0,4517.0,,,
2025-05-06T18:15:00.000-03:00:00,NE-MRBTS-341601,1740.0,5122.0,9.0,,
2025-05-06T18:30:00.000-03:00:00,NE-MRBTS-341601,1432.0,4048.0,9.0,,
2025-05-06T19:00:00.000-03:00:00,NE-MRBTS-341601,1633.0,3471.0,,,
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-341601,1887.0,3831.0,1.0,,
2025-05-06T19:30:00.000-03:00:00,NE-MRBTS-341601,1959.0,3739.0,2.0,,
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-341601,1944.0,3502.0,,,
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-341601,1846.0,3520.0,1.0,,
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-341601,1612.0,3143.0,2.0,,
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-341601,1461.0,2994.0,3.0,,
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-341601,1506.0,3076.0,1.0,,
2025-05-06T21:30:00.000-03:00:00,NE-MRBTS-341601,1513.0,3327.0,1.0,,
2025-05-06T22:00:00.000-03:00:00,NE-MRBTS-341601,1446.0,3002.0,,,
2025-05-06T22:15:00.000-03:00:00,NE-MRBTS-341601,1622.0,3018.0,1.0,,
2025-05-06T22:30:00.000-03:00:00,NE-MRBTS-341601,1457.0,2650.0,,,
2025-05-06T23:00:00.000-03:00:00,NE-MRBTS-341601,1364.0,3117.0,1.0,,
2025-05-06T23:15:00.000-03:00:00,NE-MRBTS-341601,1561.0,3125.0,2.0,,
2025-05-06T23:30:00.000-03:00:00,NE-MRBTS-341601,1851.0,3472.0,,,
2025-05-07T00:00:00.000-03:00:00,NE-MRBTS-341601,1689.0,3215.0,,,
2025-05-07T00:15:00.000-03:00:00,NE-MRBTS-341601,1891.0,3128.0,,,
2025-05-07T00:30:00.000-03:00:00,NE-MRBTS-341601,1817.0,3068.0,,,
2025-05-07T01:00:00.000-03:00:00,NE-MRBTS-341601,1853.0,3083.0,2.0,,
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-341601,1700.0,2969.0,,,
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-341601,1498.0,2838.0,,,
2025-05-07T02:00:00.000-03:00:00,NE-MRBTS-341601,1462.0,2850.0,1.0,,
2025-05-07T02:15:00.000-03:00:00,NE-MRBTS-341601,1591.0,3076.0,,,
2025-05-07T02:30:00.000-03:00:00,NE-MRBTS-341601,1661.0,3056.0,,,
2025-05-07T03:00:00.000-03:00:00,NE-MRBTS-341601,1636.0,2956.0,,,
2025-05-07T03:15:00.000-03:00:00,NE-MRBTS-341601,1220.0,2726.0,,,
2025-05-07T03:30:00.000-03:00:00,NE-MRBTS-341601,1524.0,2907.0,,,
2025-05-07T04:00:00.000-03:00:00,NE-MRBTS-341601,1344.0,2774.0,,,
2025-05-07T04:15:00.000-03:00:00,NE-MRBTS-341601,1263.0,2684.0,,,
2025-05-07T04:30:00.000-03:00:00,NE-MRBTS-341601,1132.0,2521.0,,,
2025-05-07T05:00:00.000-03:00:00,NE-MRBTS-341601,1167.0,2511.0,1.0,,
2025-05-07T05:15:00.000-03:00:00,NE-MRBTS-341601,1434.0,2862.0,1.0,,
2025-05-07T05:30:00.000-03:00:00,NE-MRBTS-341601,1451.0,2911.0,1.0,,
2025-05-07T06:00:00.000-03:00:00,NE-MRBTS-341601,1750.0,3292.0,,,
2025-05-07T06:15:00.000-03:00:00,NE-MRBTS-341601,1956.0,3533.0,,,
2025-05-07T06:30:00.000-03:00:00,NE-MRBTS-341601,2575.0,4256.0,,,
2025-05-07T07:00:00.000-03:00:00,NE-MRBTS-341601,2624.0,4268.0,,,
2025-05-07T07:15:00.000-03:00:00,NE-MRBTS-341601,3186.0,4995.0,1.0,,
2025-05-07T07:30:00.000-03:00:00,NE-MRBTS-341601,3827.0,5421.0,,,
2025-05-07T08:00:00.000-03:00:00,NE-MRBTS-341601,4392.0,5770.0,1.0,,
2025-05-07T08:15:00.000-03:00:00,NE-MRBTS-341601,4377.0,6027.0,,,
2025-05-07T08:30:00.000-03:00:00,NE-MRBTS-341601,3867.0,6048.0,,,
2025-05-07T09:00:00.000-03:00:00,NE-MRBTS-341601,4437.0,5628.0,,,
2025-05-07T09:15:00.000-03:00:00,NE-MRBTS-341601,4522.0,5913.0,,,
2025-05-07T09:30:00.000-03:00:00,NE-MRBTS-341601,4761.0,6588.0,,,
2025-05-07T10:00:00.000-03:00:00,NE-MRBTS-341601,4725.0,6135.0,1.0,,
2025-05-07T10:15:00.000-03:00:00,NE-MRBTS-341601,5026.0,6647.0,,,
2025-05-07T10:30:00.000-03:00:00,NE-MRBTS-341601,4983.0,6640.0,,,
2025-05-07T11:00:00.000-03:00:00,NE-MRBTS-341601,4171.0,5656.0,4.0,,
2025-05-07T11:15:00.000-03:00:00,NE-MRBTS-341601,4147.0,5739.0,,,
2025-05-07T11:30:00.000-03:00:00,NE-MRBTS-341601,4146.0,5549.0,1.0,,
2025-05-07T12:00:00.000-03:00:00,NE-MRBTS-341601,4714.0,5620.0,2.0,,
2025-05-07T12:15:00.000-03:00:00,NE-MRBTS-341601,4555.0,5869.0,1.0,,
2025-05-07T12:30:00.000-03:00:00,NE-MRBTS-341601,4365.0,5730.0,1.0,,
2025-05-07T13:00:00.000-03:00:00,NE-MRBTS-341601,4044.0,5101.0,1.0,,
2025-05-07T13:15:00.000-03:00:00,NE-MRBTS-341601,4535.0,5682.0,,,
2025-05-07T13:30:00.000-03:00:00,NE-MRBTS-341601,4475.0,5613.0,,,
2025-05-07T14:00:00.000-03:00:00,NE-MRBTS-341601,4517.0,5715.0,60.0,,
2025-05-07T14:15:00.000-03:00:00,NE-MRBTS-341601,4327.0,5951.0,1.0,,
2025-05-07T14:30:00.000-03:00:00,NE-MRBTS-341601,4656.0,6198.0,,,
2025-05-07T15:00:00.000-03:00:00,NE-MRBTS-341601,4430.0,5782.0,,,
2025-05-07T15:15:00.000-03:00:00,NE-MRBTS-341601,4228.0,5827.0,,,
2025-05-07T15:30:00.000-03:00:00,NE-MRBTS-341601,4580.0,6069.0,2.0,,
2025-05-07T16:00:00.000-03:00:00,NE-MRBTS-341601,4191.0,5940.0,2.0,,
2025-05-07T16:15:00.000-03:00:00,NE-MRBTS-341601,3911.0,5708.0,,,
2025-05-07T16:30:00.000-03:00:00,NE-MRBTS-341601,3807.0,6684.0,,,
2025-05-07T17:00:00.000-03:00:00,NE-MRBTS-341601,3224.0,4961.0,1.0,,
2025-05-07T17:15:00.000-03:00:00,NE-MRBTS-341601,3042.0,4989.0,1.0,,
2025-05-07T17:30:00.000-03:00:00,NE-MRBTS-341601,2649.0,4973.0,1.0,,
2025-05-07T18:00:00.000-03:00:00,NE-MRBTS-341601,1592.0,4274.0,,,
2025-05-07T18:15:00.000-03:00:00,NE-MRBTS-341601,1520.0,4755.0,,,
2025-05-07T18:30:00.000-03:00:00,NE-MRBTS-341601,1395.0,4089.0,,,
2025-05-07T19:00:00.000-03:00:00,NE-MRBTS-341601,1535.0,3549.0,,,
2025-05-07T19:15:00.000-03:00:00,NE-MRBTS-341601,1644.0,3638.0,1.0,,
2025-05-07T19:30:00.000-03:00:00,NE-MRBTS-341601,1670.0,3564.0,,,
2025-05-07T20:00:00.000-03:00:00,NE-MRBTS-341601,1558.0,3334.0,2.0,,
2025-05-07T20:15:00.000-03:00:00,NE-MRBTS-341601,1577.0,3225.0,,,
2025-05-07T20:30:00.000-03:00:00,NE-MRBTS-341601,1435.0,2985.0,4.0,,
2025-05-07T21:00:00.000-03:00:00,NE-MRBTS-341601,1329.0,2897.0,,,
2025-05-07T21:15:00.000-03:00:00,NE-MRBTS-341601,1515.0,3082.0,3.0,,
2025-05-07T21:30:00.000-03:00:00,NE-MRBTS-341601,1421.0,2573.0,,,
2025-05-07T22:00:00.000-03:00:00,NE-MRBTS-341601,1329.0,2964.0,1.0,,
2025-05-07T22:15:00.000-03:00:00,NE-MRBTS-341601,1520.0,3246.0,2.0,,
2025-05-07T22:30:00.000-03:00:00,NE-MRBTS-341601,1472.0,2754.0,,,
2025-05-07T23:00:00.000-03:00:00,NE-MRBTS-341601,1190.0,2953.0,1.0,,
2025-05-07T23:15:00.000-03:00:00,NE-MRBTS-341601,1237.0,2969.0,,,
2025-05-07T23:30:00.000-03:00:00,NE-MRBTS-341601,1355.0,3067.0,,,
2025-05-08T00:00:00.000-03:00:00,NE-MRBTS-341601,1397.0,2999.0,,,
2025-05-08T00:15:00.000-03:00:00,NE-MRBTS-341601,1740.0,3381.0,,,
2025-05-08T00:30:00.000-03:00:00,NE-MRBTS-341601,1679.0,3326.0,4.0,,
2025-05-08T01:00:00.000-03:00:00,NE-MRBTS-341601,1396.0,3175.0,,,
2025-05-08T01:15:00.000-03:00:00,NE-MRBTS-341601,1091.0,2928.0,,,
2025-05-08T01:30:00.000-03:00:00,NE-MRBTS-341601,737.0,2617.0,,,
2025-05-08T02:00:00.000-03:00:00,NE-MRBTS-341601,894.0,2529.0,,,
2025-05-08T02:15:00.000-03:00:00,NE-MRBTS-341601,1170.0,2585.0,,,
2025-05-08T02:30:00.000-03:00:00,NE-MRBTS-341601,857.0,2507.0,1.0,,
2025-05-08T03:00:00.000-03:00:00,NE-MRBTS-341601,1012.0,2625.0,2.0,,
2025-05-08T03:15:00.000-03:00:00,NE-MRBTS-341601,1162.0,2717.0,,,
2025-05-08T03:30:00.000-03:00:00,NE-MRBTS-341601,744.0,2360.0,,,
2025-05-08T04:00:00.000-03:00:00,NE-MRBTS-341601,687.0,2473.0,,,
2025-05-08T04:15:00.000-03:00:00,NE-MRBTS-341601,801.0,2553.0,,,
2025-05-08T04:30:00.000-03:00:00,NE-MRBTS-341601,837.0,2536.0,,,
2025-05-08T05:00:00.000-03:00:00,NE-MRBTS-341601,793.0,2534.0,,,
2025-05-08T05:15:00.000-03:00:00,NE-MRBTS-341601,997.0,2773.0,,,
2025-05-08T05:30:00.000-03:00:00,NE-MRBTS-341601,873.0,2704.0,,,
2025-05-08T06:00:00.000-03:00:00,NE-MRBTS-341601,1589.0,3218.0,1.0,,
2025-05-08T06:15:00.000-03:00:00,NE-MRBTS-341601,1793.0,3534.0,,,
2025-05-08T06:30:00.000-03:00:00,NE-MRBTS-341601,2055.0,3888.0,,,
2025-05-08T07:00:00.000-03:00:00,NE-MRBTS-341601,2051.0,4243.0,,,
2025-05-08T07:15:00.000-03:00:00,NE-MRBTS-341601,1988.0,4146.0,,,
2025-05-08T07:30:00.000-03:00:00,NE-MRBTS-341601,2272.0,4515.0,1.0,,
2025-05-08T08:00:00.000-03:00:00,NE-MRBTS-341601,3146.0,5106.0,,,
2025-05-08T08:15:00.000-03:00:00,NE-MRBTS-341601,3643.0,5567.0,8.0,,
2025-05-08T08:30:00.000-03:00:00,NE-MRBTS-341601,4060.0,6338.0,,,
2025-05-08T09:00:00.000-03:00:00,NE-MRBTS-341601,3997.0,5974.0,,,
