createAt,manageObject,M8013C5,M8013C9,M8013C13,M8013C15,M8013C17,M8013C18,M8013C19,M8013C35,M8013C36,M8013C37,M8013C43,M8013C44,M8013C45,M8013C47,M8013C54,M8013C55,M8013C56,M8013C62,M8013C70,M8013C71,M8013C83,M8013C84,M8013C85,M8013C109,M8013C111,M8013C113,M8013C114,M8013C24,M8013C25,M8013C6,M8013C31,M8013C32,M8013C87,M8013C10,M8013C110,M8013C2,M8013C49,M8013C90,M8013C123,M8013C79,M8013C116,M8013C29,M8013C40,M8013C95,M8013C122,M8013C61,M8013C57,M8013C1,M8013C89,M8013C72,M8013C60,M8013C58,M8013C39,M8013C3,M8013C41
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-690501,297,15.0,230.0,10.0,65,93.0,139.0,65,139.0,93.0,297,297,272.0,272.0,240.0,230.0,,23.0,182.0,48.0,67,93.0,139.0,23.0,4.0,3.0,7.0,7729258.0,7825981.0,,,,,42.0,,,,2.0,,,,,,,,,,,,,,,,,
2025-05-08T09:15:00.000-04:00:00,NE-MRBTS-690501,265,17.0,199.0,10.0,72,86.0,107.0,72,107.0,86.0,265,265,234.0,232.0,209.0,199.0,3.0,5.0,153.0,46.0,72,86.0,107.0,15.0,5.0,1.0,6.0,7308797.0,8406453.0,,,,,39.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-690501,304,22.0,242.0,4.0,69,99.0,136.0,69,136.0,99.0,304,304,272.0,272.0,246.0,242.0,,4.0,192.0,50.0,69,99.0,136.0,8.0,2.0,1.0,3.0,7949175.0,9625667.0,,,,,38.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T09:45:00.000-04:00:00,NE-MRBTS-690501,303,29.0,235.0,4.0,68,108.0,127.0,68,127.0,108.0,303,303,269.0,269.0,239.0,235.0,1.0,28.0,187.0,48.0,68,108.0,127.0,11.0,1.0,,3.0,8013826.0,9236252.0,,,,,38.0,,,,,,,,,,,,2.0,,,,,,,,,
2025-05-08T10:00:00.000-04:00:00,NE-MRBTS-690501,275,29.0,203.0,5.0,67,88.0,120.0,67,120.0,88.0,275,275,241.0,241.0,208.0,203.0,1.0,23.0,156.0,47.0,67,88.0,120.0,13.0,1.0,,4.0,9022079.0,7901464.0,,,,,37.0,,,,,,,,,,,,3.0,,,,,,,,,
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-690501,348,24.0,274.0,6.0,78,111.0,159.0,78,159.0,111.0,348,348,314.0,313.0,280.0,274.0,2.0,24.0,206.0,68.0,78,111.0,159.0,13.0,7.0,,4.0,10595421.0,10246628.0,,,,,41.0,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,
2025-05-08T10:30:00.000-04:00:00,NE-MRBTS-690501,363,40.0,261.0,10.0,104,112.0,150.0,101,150.0,112.0,363,363,318.0,318.0,271.0,261.0,2.0,26.0,205.0,56.0,111,112.0,150.0,23.0,2.0,,7.0,10452583.0,8838582.0,3.0,,,,53.0,1.0,,,7.0,,,,,,,,2.0,1.0,,,,,,,,
2025-05-08T10:45:00.000-04:00:00,NE-MRBTS-690501,380,33.0,285.0,13.0,94,131.0,155.0,94,155.0,131.0,380,380,341.0,340.0,298.0,285.0,2.0,51.0,218.0,67.0,94,131.0,156.0,24.0,5.0,1.0,10.0,10204546.0,8600158.0,,,,,51.0,,,1.0,1.0,1.0,,1.0,,,,,7.0,,,,,,,,,
2025-05-08T11:00:00.000-04:00:00,NE-MRBTS-690501,422,32.0,331.0,7.0,95,139.0,188.0,95,188.0,139.0,422,422,386.0,386.0,338.0,331.0,3.0,78.0,260.0,71.0,95,139.0,188.0,9.0,4.0,,4.0,8647905.0,10472636.0,,,,,52.0,,,,,,,,,,,,,,,,1.0,,,,,
2025-05-08T11:15:00.000-04:00:00,NE-MRBTS-690501,376,26.0,299.0,5.0,78,126.0,172.0,78,172.0,126.0,376,376,347.0,347.0,304.0,299.0,2.0,46.0,238.0,61.0,78,126.0,173.0,8.0,3.0,,3.0,8422267.0,8562808.0,,,,,51.0,,,,1.0,,,,,,,,1.0,,,,,,,,,
2025-05-08T11:30:00.000-04:00:00,NE-MRBTS-690501,383,30.0,297.0,4.0,86,114.0,183.0,86,183.0,114.0,383,383,353.0,352.0,301.0,297.0,2.0,17.0,243.0,54.0,87,114.0,184.0,5.0,2.0,,2.0,8135221.0,7137826.0,,,,,51.0,,,1.0,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,
2025-05-08T11:45:00.000-04:00:00,NE-MRBTS-690501,325,21.0,248.0,1.0,76,102.0,147.0,76,147.0,102.0,325,325,300.0,299.0,249.0,248.0,,19.0,203.0,45.0,76,102.0,147.0,6.0,2.0,,1.0,8597356.0,6812921.0,,,,,52.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
2025-05-08T12:00:00.000-04:00:00,NE-MRBTS-690501,278,10.0,212.0,4.0,75,78.0,125.0,75,125.0,78.0,278,278,257.0,257.0,216.0,212.0,,8.0,172.0,40.0,75,78.0,125.0,8.0,2.0,,4.0,8141402.0,6827265.0,,,,,55.0,,,,,,,,,,,,2.0,,,,,,,,,
2025-05-08T12:15:00.000-04:00:00,NE-MRBTS-690501,248,17.0,181.0,5.0,69,59.0,120.0,69,120.0,59.0,248,248,225.0,225.0,186.0,181.0,,21.0,144.0,37.0,69,59.0,120.0,9.0,1.0,,5.0,6844284.0,7953350.0,,,,,47.0,,,,,,,,,,,,2.0,,,,,,,,,
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-690501,226,12.0,171.0,4.0,60,56.0,110.0,60,110.0,56.0,226,226,202.0,202.0,175.0,171.0,,9.0,129.0,42.0,60,56.0,110.0,6.0,2.0,,4.0,6896586.0,6340384.0,,,,,39.0,,,,,,,,,,,,1.0,,,,,,,,,
2025-05-08T12:45:00.000-04:00:00,NE-MRBTS-690501,221,8.0,167.0,3.0,54,67.0,100.0,54,100.0,67.0,221,221,204.0,204.0,170.0,167.0,1.0,1.0,124.0,43.0,54,67.0,100.0,4.0,2.0,,2.0,6071248.0,7369258.0,,,,,40.0,,,,,,,,,,,,1.0,,,,,,,,,
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-690501,270,9.0,218.0,9.0,58,87.0,125.0,58,125.0,87.0,270,270,250.0,250.0,227.0,218.0,3.0,35.0,167.0,51.0,58,88.0,125.0,15.0,6.0,,5.0,6820010.0,8122400.0,,,,,39.0,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-690501,339,25.0,258.0,11.0,74,94.0,171.0,74,171.0,94.0,339,339,305.0,305.0,269.0,258.0,2.0,29.0,200.0,58.0,74,94.0,171.0,26.0,4.0,,9.0,8760643.0,9629689.0,,,,,43.0,,,,,,,,,,,,5.0,,,,,,,,,
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-690501,338,20.0,266.0,4.0,86,95.0,157.0,86,157.0,95.0,338,338,302.0,302.0,270.0,266.0,,31.0,208.0,58.0,86,95.0,157.0,4.0,,,3.0,9785326.0,9137653.0,,,,,53.0,,,,,,,,,,,,2.0,1.0,,,,,,,,
2025-05-08T13:45:00.000-04:00:00,NE-MRBTS-690501,356,27.0,279.0,13.0,77,109.0,170.0,77,170.0,109.0,356,356,321.0,321.0,292.0,279.0,2.0,46.0,216.0,63.0,77,109.0,170.0,21.0,2.0,1.0,9.0,9206658.0,9572734.0,,,,,37.0,1.0,,,,,,,,,,,6.0,1.0,,,,,,,,
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-690501,370,40.0,277.0,11.0,88,105.0,177.0,88,177.0,105.0,370,370,325.0,325.0,288.0,277.0,4.0,63.0,218.0,59.0,88,105.0,177.0,11.0,8.0,1.0,6.0,7969964.0,10527482.0,,,,,41.0,,,,,,,,,,,,1.0,,,,,,,,,
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-690501,382,37.0,299.0,11.0,110,110.0,169.0,103,169.0,110.0,382,382,331.0,331.0,310.0,299.0,1.0,46.0,237.0,62.0,110,110.0,169.0,15.0,4.0,,9.0,6899484.0,10250676.0,7.0,,,,48.0,,,,,,,,,,,,4.0,,,,,,1.0,,,
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-690501,395,30.0,312.0,6.0,77,110.0,208.0,77,208.0,110.0,395,395,357.0,357.0,318.0,312.0,1.0,77.0,246.0,66.0,77,110.0,208.0,10.0,1.0,,5.0,7462581.0,11066674.0,,,,,40.0,,,,,,,,,,,,3.0,,,,,,,,,
2025-05-08T14:45:00.000-04:00:00,NE-MRBTS-690501,348,18.0,282.0,7.0,62,112.0,174.0,62,174.0,112.0,348,348,323.0,323.0,289.0,282.0,2.0,55.0,222.0,60.0,62,112.0,174.0,12.0,5.0,1.0,4.0,6497196.0,9684402.0,,,,,36.0,,,,,,,,,,,,3.0,,,,2.0,,,,,
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-690501,345,14.0,298.0,3.0,58,118.0,169.0,58,169.0,118.0,345,345,323.0,323.0,301.0,298.0,,54.0,233.0,65.0,59,118.0,169.0,5.0,3.0,,3.0,5187230.0,10477329.0,,,,,37.0,,,,1.0,,,,,,,,1.0,,,,,,,,,
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-690501,387,6.0,234.0,10.0,49,98.0,243.0,48,241.0,98.0,313,274,262.0,262.0,244.0,234.0,2.0,43.0,195.0,39.0,49,98.0,243.0,9.0,9.0,,2.0,5611520.0,8049226.0,,,,,32.0,,,,,,,41.0,3.0,2.0,3.0,3.0,,,,,,6.0,,1.0,,
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-690501,248,21.0,170.0,8.0,78,58.0,112.0,78,112.0,58.0,248,248,214.0,214.0,178.0,170.0,1.0,29.0,150.0,20.0,78,58.0,112.0,11.0,3.0,1.0,4.0,3480390.0,4689428.0,,,,,42.0,,,,,,,,,,,,1.0,,,,,2.0,,,,
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690503,138,47.0,83.0,,56,24.0,58.0,56,58.0,24.0,138,138,92.0,92.0,83.0,83.0,,24.0,66.0,17.0,64,24.0,58.0,,,,,507581.0,1631746.0,,,,,8.0,,,,8.0,,,,,,,,,,,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690503,157,41.0,105.0,,61,34.0,67.0,56,67.0,34.0,157,157,113.0,113.0,105.0,105.0,,27.0,89.0,16.0,77,34.0,67.0,,,,,494612.0,1921998.0,5.0,,,,13.0,,,,16.0,,,,,,,,,,,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690503,151,43.0,99.0,,54,38.0,59.0,54,59.0,38.0,151,151,108.0,108.0,99.0,99.0,,32.0,84.0,15.0,61,38.0,60.0,,,,,492836.0,1809637.0,,,,,11.0,,,,8.0,,,,,,,,,,,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690503,145,40.0,94.0,,58,35.0,53.0,57,53.0,35.0,145,145,100.0,100.0,94.0,94.0,,11.0,74.0,20.0,59,35.0,53.0,,,,,231356.0,1172097.0,1.0,,,,10.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690503,122,27.0,84.0,,38,27.0,58.0,37,58.0,27.0,122,122,93.0,93.0,84.0,84.0,,23.0,66.0,18.0,51,27.0,59.0,,,,,210302.0,889096.0,1.0,,,,9.0,,,,14.0,,,,,,,,,,,,,,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690503,143,51.0,78.0,1.0,64,21.0,61.0,61,61.0,21.0,143,143,95.0,95.0,79.0,78.0,1.0,25.0,59.0,19.0,71,21.0,61.0,,1.0,,,627168.0,1528367.0,3.0,,,,14.0,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690503,178,47.0,121.0,,59,43.0,78.0,57,78.0,43.0,178,178,136.0,136.0,121.0,121.0,,28.0,91.0,30.0,76,44.0,78.0,1.0,2.0,,,928898.0,2326913.0,2.0,,,,13.0,,,,18.0,,,,,,,,,,,,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690503,192,60.0,122.0,,59,35.0,98.0,59,98.0,35.0,192,192,142.0,142.0,122.0,122.0,,26.0,91.0,31.0,63,35.0,100.0,,,,,1381214.0,1994518.0,,,,,6.0,,,,6.0,,,,,,,,,,,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690503,183,51.0,125.0,,62,47.0,74.0,62,74.0,47.0,183,183,133.0,132.0,125.0,125.0,,30.0,86.0,39.0,63,47.0,74.0,1.0,,,,901429.0,2471658.0,,,,,8.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690503,172,52.0,112.0,,52,42.0,79.0,52,78.0,42.0,172,172,129.0,129.0,112.0,112.0,,28.0,85.0,27.0,52,42.0,95.0,,,,,1006651.0,2126074.0,1.0,,,,10.0,,,,12.0,,,,,,,,,,,4.0,,,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690503,150,66.0,78.0,,60,34.0,56.0,60,56.0,34.0,150,150,97.0,97.0,78.0,78.0,,22.0,61.0,17.0,62,34.0,56.0,,,,,775133.0,1453108.0,,,,,9.0,,,,2.0,,,,,,,,,,,,,,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690503,118,60.0,50.0,,57,17.0,44.0,57,44.0,17.0,118,118,70.0,69.0,50.0,50.0,,24.0,39.0,11.0,58,17.0,44.0,1.0,,,,625362.0,1049582.0,,,,,6.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690503,92,40.0,39.0,,37,16.0,39.0,37,39.0,16.0,92,92,63.0,63.0,39.0,39.0,,14.0,30.0,9.0,41,16.0,39.0,,,,,1121671.0,774987.0,,,,,10.0,,,,4.0,,,,,,,,,,,,,,,,,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-690503,99,50.0,39.0,,51,13.0,35.0,51,35.0,13.0,99,99,59.0,58.0,39.0,39.0,,15.0,31.0,8.0,60,13.0,35.0,1.0,,,,1093980.0,995279.0,,,,,10.0,,,1.0,9.0,1.0,,,,,,,,,,,,,,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690503,107,55.0,46.0,,54,21.0,36.0,50,36.0,21.0,107,107,63.0,63.0,46.0,46.0,,21.0,32.0,14.0,60,22.0,36.0,,,,,578366.0,1080094.0,4.0,,,,8.0,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690503,113,54.0,52.0,,52,25.0,37.0,51,37.0,25.0,113,113,69.0,69.0,52.0,52.0,,27.0,42.0,10.0,62,25.0,37.0,,,,,523735.0,1386874.0,1.0,,,,7.0,,,,10.0,,,,,,,,,,,,,,,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690503,136,57.0,68.0,,60,19.0,63.0,54,63.0,19.0,136,136,91.0,90.0,68.0,68.0,,14.0,50.0,18.0,93,19.0,63.0,,,,,734025.0,1775812.0,6.0,,,,7.0,,1.0,1.0,33.0,,,,,,,,,,,,,,,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690503,113,54.0,54.0,,59,19.0,44.0,50,44.0,19.0,113,113,70.0,70.0,54.0,54.0,,18.0,40.0,14.0,99,19.0,44.0,,1.0,,,959033.0,1500082.0,9.0,,,,7.0,,,,40.0,,,,,,,,,,,,,,,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690503,80,41.0,28.0,,55,7.0,28.0,45,28.0,7.0,80,80,43.0,43.0,28.0,28.0,,9.0,24.0,4.0,104,7.0,30.0,,,,,843635.0,959122.0,10.0,,,,12.0,,,,51.0,,,,,,,,,,,,,,,,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690503,86,32.0,43.0,,50,16.0,29.0,41,29.0,16.0,86,86,57.0,57.0,43.0,43.0,,21.0,35.0,8.0,99,16.0,29.0,,,,,886090.0,1026243.0,9.0,,,,11.0,,,,49.0,,,,,,,,,,,,,,,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690503,109,39.0,63.0,,44,36.0,29.0,44,29.0,36.0,109,109,72.0,72.0,63.0,63.0,,34.0,50.0,13.0,46,36.0,29.0,,1.0,,,676681.0,1524038.0,,,,,7.0,,,,2.0,,,,,,,,,,,,,,,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-690503,116,26.0,82.0,,37,34.0,45.0,37,45.0,34.0,116,116,87.0,87.0,82.0,82.0,,30.0,60.0,22.0,38,34.0,45.0,,,,,286724.0,1501078.0,,,,,7.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-690503,122,53.0,62.0,,57,34.0,31.0,57,31.0,34.0,122,122,73.0,73.0,62.0,62.0,,29.0,51.0,11.0,63,34.0,32.0,,,,,879789.0,1328292.0,,,,,9.0,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-690503,82,39.0,31.0,,51,10.0,21.0,51,21.0,10.0,82,82,40.0,40.0,31.0,31.0,,3.0,25.0,6.0,52,10.0,21.0,,,,,602904.0,759258.0,,,,,10.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690503,82,41.0,37.0,,48,9.0,26.0,47,26.0,9.0,82,82,43.0,43.0,37.0,37.0,,7.0,29.0,8.0,53,9.0,26.0,2.0,,,,435560.0,1097160.0,1.0,,,,7.0,,,,5.0,,,,,,,,,,,,,,,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690503,95,24.0,66.0,,28,18.0,49.0,28,49.0,18.0,95,95,72.0,72.0,66.0,66.0,,16.0,47.0,19.0,28,19.0,50.0,,,,,270330.0,1330227.0,,,,,4.0,,,,2.0,,,,,,,,,,,,,,,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690503,84,25.0,52.0,,34,19.0,31.0,34,31.0,19.0,84,84,56.0,56.0,52.0,52.0,,19.0,40.0,12.0,34,19.0,31.0,,,,,121453.0,846245.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690503,88,20.0,55.0,,34,16.0,38.0,34,38.0,16.0,88,88,61.0,61.0,55.0,55.0,,24.0,44.0,11.0,34,16.0,38.0,,,,,145389.0,836999.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-690503,69,16.0,45.0,,23,13.0,33.0,23,33.0,13.0,69,69,50.0,50.0,45.0,45.0,,17.0,32.0,13.0,29,13.0,33.0,,,,,121991.0,768637.0,,,,,7.0,,,,6.0,,,,,,,,,,,,,,,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690503,91,25.0,57.0,,36,13.0,43.0,35,43.0,13.0,91,91,63.0,63.0,57.0,57.0,,19.0,44.0,13.0,85,13.0,43.0,,,,,133249.0,936855.0,1.0,,,,8.0,,,,49.0,,,,,,,,,,,,,,,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690503,105,18.0,81.0,,26,24.0,55.0,26,55.0,24.0,105,105,85.0,85.0,81.0,81.0,,23.0,59.0,22.0,26,24.0,55.0,,,,,166227.0,1199127.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-690503,98,21.0,72.0,,26,22.0,50.0,26,50.0,22.0,98,98,76.0,76.0,72.0,72.0,,19.0,54.0,18.0,26,22.0,50.0,1.0,,,,142696.0,1081879.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690503,72,17.0,51.0,,27,13.0,32.0,27,32.0,13.0,72,72,52.0,52.0,51.0,51.0,,16.0,36.0,15.0,27,13.0,32.0,,,,,143919.0,1014578.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-690503,69,15.0,49.0,,22,15.0,32.0,22,32.0,15.0,69,69,51.0,51.0,49.0,49.0,,22.0,35.0,14.0,22,15.0,32.0,,,,,111238.0,785162.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690503,81,24.0,48.0,,33,10.0,38.0,33,38.0,10.0,81,81,55.0,54.0,48.0,48.0,,21.0,36.0,12.0,33,10.0,38.0,,,,,106204.0,781387.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690503,98,27.0,54.0,,48,13.0,38.0,47,38.0,13.0,98,98,64.0,64.0,54.0,54.0,,20.0,47.0,7.0,61,13.0,38.0,,,,,134983.0,850458.0,1.0,,,,17.0,,,,13.0,,,,,,,,,,,,,,,,,
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-690503,78,19.0,53.0,,25,15.0,38.0,25,38.0,15.0,78,78,58.0,58.0,53.0,53.0,,20.0,39.0,14.0,25,15.0,38.0,,,,,119771.0,844476.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-690503,87,17.0,62.0,,27,24.0,36.0,27,36.0,24.0,87,87,67.0,67.0,62.0,62.0,,20.0,53.0,9.0,27,24.0,36.0,,,,,110464.0,781606.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690503,84,18.0,59.0,,28,17.0,39.0,28,39.0,17.0,84,84,63.0,63.0,59.0,59.0,,22.0,48.0,11.0,28,17.0,39.0,,,,,274536.0,1477502.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690503,74,16.0,52.0,,22,20.0,32.0,22,32.0,20.0,74,74,56.0,56.0,52.0,52.0,,19.0,42.0,10.0,22,20.0,32.0,,,,,273899.0,1396328.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-690503,88,25.0,55.0,,34,15.0,40.0,33,40.0,15.0,88,88,61.0,61.0,55.0,55.0,,27.0,41.0,14.0,83,15.0,40.0,,,,,239236.0,1347596.0,1.0,,,,8.0,,,,49.0,,,,,,,,,,,,,,,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690503,74,21.0,45.0,,28,11.0,35.0,28,35.0,11.0,74,74,51.0,51.0,45.0,45.0,,19.0,35.0,10.0,28,12.0,35.0,,,,,476671.0,1155328.0,,,,,7.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-690503,74,20.0,50.0,,27,12.0,35.0,27,35.0,12.0,74,74,52.0,52.0,50.0,50.0,,19.0,36.0,14.0,27,12.0,35.0,,,,,462109.0,1271715.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-690503,88,27.0,53.0,,35,14.0,39.0,35,39.0,14.0,88,88,57.0,57.0,53.0,53.0,,23.0,38.0,15.0,35,14.0,39.0,,,,,488696.0,1250087.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-690503,89,20.0,60.0,,32,19.0,38.0,32,38.0,19.0,89,89,63.0,63.0,60.0,60.0,,29.0,49.0,11.0,32,19.0,38.0,,,,,415073.0,1179344.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-690503,85,17.0,59.0,,23,22.0,40.0,23,40.0,22.0,85,85,66.0,66.0,59.0,59.0,,32.0,44.0,15.0,23,22.0,40.0,,,,,520503.0,1477792.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690503,70,16.0,46.0,,23,15.0,32.0,23,32.0,15.0,70,70,53.0,53.0,46.0,46.0,,21.0,34.0,12.0,23,15.0,32.0,,,,,310966.0,1530863.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-690503,65,19.0,39.0,,27,13.0,25.0,27,25.0,13.0,65,65,44.0,44.0,39.0,39.0,,9.0,28.0,11.0,27,13.0,25.0,,,,,208593.0,1159047.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-690503,91,29.0,58.0,,33,15.0,43.0,33,43.0,15.0,91,91,61.0,61.0,58.0,58.0,,26.0,39.0,19.0,33,15.0,43.0,,,,,227938.0,1074885.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-690503,75,20.0,47.0,,33,15.0,27.0,33,27.0,15.0,75,75,50.0,50.0,47.0,47.0,,13.0,33.0,14.0,33,15.0,27.0,,,,,121907.0,800421.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690503,81,34.0,38.0,,43,14.0,24.0,43,24.0,14.0,81,81,44.0,44.0,38.0,38.0,,7.0,30.0,8.0,43,14.0,24.0,,,,,109977.0,540570.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-690503,80,33.0,40.0,,40,11.0,29.0,40,29.0,11.0,80,80,46.0,46.0,40.0,40.0,,9.0,30.0,10.0,40,11.0,29.0,,,,,80233.0,582976.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690503,77,26.0,40.0,,36,10.0,31.0,36,31.0,10.0,77,77,48.0,48.0,40.0,40.0,,11.0,31.0,9.0,36,10.0,31.0,,,,,88342.0,579946.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690503,101,35.0,51.0,,53,16.0,32.0,53,32.0,16.0,101,101,61.0,61.0,51.0,51.0,,2.0,39.0,12.0,53,17.0,32.0,,,,,100465.0,730392.0,,,,,15.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-690503,70,25.0,34.0,,38,8.0,24.0,38,24.0,8.0,70,70,41.0,41.0,34.0,34.0,,4.0,24.0,10.0,38,8.0,24.0,,,,,95393.0,538456.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-690503,86,49.0,27.0,,54,13.0,19.0,54,19.0,13.0,86,86,42.0,41.0,27.0,27.0,,17.0,24.0,3.0,54,13.0,19.0,,1.0,,,219707.0,681944.0,,,,,9.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690503,127,71.0,45.0,1.0,74,24.0,29.0,74,29.0,24.0,127,127,65.0,65.0,46.0,45.0,1.0,39.0,41.0,4.0,74,24.0,30.0,,1.0,,,711228.0,1512213.0,,,,,8.0,,,,1.0,,,,,,,,,,,,,,,,,
