createAt,manageObject,M8047C0,M8047C1,M8047C2,M8047C3,M8047C9,M8047C10,M8047C11,M8047C14,M8047C17,M8047C18,M8047C19,M8047C20,M8047C21,M8047C22,M8047C23,M8047C24,M8047C25,M8047C26,M8047C4,M8047C5,M8047C13,M8047C6,M8047C15,M8047C16
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-660701,234632160.0,14713920,24323.0,53675,5507.0,29996.0,14462,3.0,4297.0,1487.0,22626.0,17922,11363184.0,88523.0,22752.0,45916,1185248.0,73823.0,32135567.0,2326082,2.0,26482,21109.0,43761.0
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-660701,234632160.0,14713920,24323.0,53675,5507.0,29996.0,14462,3.0,4297.0,1487.0,22626.0,17922,11363184.0,88523.0,22752.0,45916,1185248.0,73823.0,32135567.0,2326082,2.0,26482,21109.0,43761.0
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-660701,234632160.0,14713920,24323.0,53675,5507.0,29996.0,14462,3.0,4297.0,1487.0,22626.0,17922,11363184.0,88523.0,22752.0,45916,1185248.0,73823.0,32135567.0,2326082,2.0,26482,21109.0,43761.0
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-660701,234632160.0,14713920,24323.0,53675,5507.0,29996.0,14462,3.0,4297.0,1487.0,22626.0,17922,11363184.0,88523.0,22752.0,45916,1185248.0,73823.0,32135567.0,2326082,2.0,26482,21109.0,43761.0
2025-05-08T12:45:00.000-04:00:00,NE-MRBTS-660701,939681640.0,19853520,85403.0,96960,4955.0,98578.0,23783,118.0,3900.0,867.0,82219.0,33980,6894784.0,62688.0,83082.0,87628,2308232.0,148264.0,120069123.0,3168662,2.0,80103,16198.0,46927.0
2025-05-08T12:45:00.000-04:00:00,NE-MRBTS-660701,939681640.0,19853520,85403.0,96960,4955.0,98578.0,23783,118.0,3900.0,867.0,82219.0,33980,6894784.0,62688.0,83082.0,87628,2308232.0,148264.0,120069123.0,3168662,2.0,80103,16198.0,46927.0
2025-05-08T12:45:00.000-04:00:00,NE-MRBTS-660701,939681640.0,19853520,85403.0,96960,4955.0,98578.0,23783,118.0,3900.0,867.0,82219.0,33980,6894784.0,62688.0,83082.0,87628,2308232.0,148264.0,120069123.0,3168662,2.0,80103,16198.0,46927.0
2025-05-08T12:45:00.000-04:00:00,NE-MRBTS-660701,939681640.0,19853520,85403.0,96960,4955.0,98578.0,23783,118.0,3900.0,867.0,82219.0,33980,6894784.0,62688.0,83082.0,87628,2308232.0,148264.0,120069123.0,3168662,2.0,80103,16198.0,46927.0
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-660701,313844280.0,23284984,43867.0,94055,5980.0,36568.0,14058,14.0,4606.0,808.0,41430.0,58868,6508872.0,69020.0,41045.0,83763,873312.0,92224.0,41096015.0,3270101,476.0,43758,20742.0,47016.0
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-660701,313844280.0,23284984,43867.0,94055,5980.0,36568.0,14058,14.0,4606.0,808.0,41430.0,58868,6508872.0,69020.0,41045.0,83763,873312.0,92224.0,41096015.0,3270101,476.0,43758,20742.0,47016.0
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-660701,313844280.0,23284984,43867.0,94055,5980.0,36568.0,14058,14.0,4606.0,808.0,41430.0,58868,6508872.0,69020.0,41045.0,83763,873312.0,92224.0,41096015.0,3270101,476.0,43758,20742.0,47016.0
