createAt,manageObject,M8047C0,M8047C1,M8047C2,M8047C3,M8047C9,M8047C10,M8047C11,M8047C14,M8047C17,M8047C18,M8047C19,M8047C20,M8047C21,M8047C22,M8047C23,M8047C24,M8047C25,M8047C26,M8047C4,M8047C5,M8047C13,M8047C6,M8047C15,M8047C16
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-414225,182128.0,195304,78.0,1180,134.0,210.0,181,,125.0,32.0,34.0,601,264200.0,2039.0,15.0,1067,3168.0,505.0,64286.0,26561,,220,436.0,842.0
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-414225,182128.0,195304,78.0,1180,134.0,210.0,181,,125.0,32.0,34.0,601,264200.0,2039.0,15.0,1067,3168.0,505.0,64286.0,26561,,220,436.0,842.0
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-414225,1531168.0,850272,247.0,3321,480.0,889.0,751,,401.0,111.0,205.0,1318,885040.0,7507.0,175.0,3006,28216.0,4089.0,342948.0,130892,,960,1204.0,3224.0
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-414225,1531168.0,850272,247.0,3321,480.0,889.0,751,,401.0,111.0,205.0,1318,885040.0,7507.0,175.0,3006,28216.0,4089.0,342948.0,130892,,960,1204.0,3224.0
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-414225,1531168.0,850272,247.0,3321,480.0,889.0,751,,401.0,111.0,205.0,1318,885040.0,7507.0,175.0,3006,28216.0,4089.0,342948.0,130892,,960,1204.0,3224.0
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-414225,1531168.0,850272,247.0,3321,480.0,889.0,751,,401.0,111.0,205.0,1318,885040.0,7507.0,175.0,3006,28216.0,4089.0,342948.0,130892,,960,1204.0,3224.0
2025-05-08T11:45:00.000-03:00:00,NE-MRBTS-414225,40496.0,96568,4.0,188,29.0,52.0,46,,26.0,7.0,4.0,56,54512.0,419.0,4.0,164,1824.0,226.0,14966.0,13379,,50,63.0,160.0
2025-05-08T11:45:00.000-03:00:00,NE-MRBTS-414225,40496.0,96568,4.0,188,29.0,52.0,46,,26.0,7.0,4.0,56,54512.0,419.0,4.0,164,1824.0,226.0,14966.0,13379,,50,63.0,160.0
2025-05-08T11:45:00.000-03:00:00,NE-MRBTS-414225,40496.0,96568,4.0,188,29.0,52.0,46,,26.0,7.0,4.0,56,54512.0,419.0,4.0,164,1824.0,226.0,14966.0,13379,,50,63.0,160.0
2025-05-08T11:45:00.000-03:00:00,NE-MRBTS-414225,40496.0,96568,4.0,188,29.0,52.0,46,,26.0,7.0,4.0,56,54512.0,419.0,4.0,164,1824.0,226.0,14966.0,13379,,50,63.0,160.0
2025-05-08T12:00:00.000-03:00:00,NE-MRBTS-414225,728128.0,325232,98.0,1865,266.0,460.0,345,,230.0,79.0,71.0,654,620200.0,4555.0,59.0,1769,5488.0,637.0,199928.0,47584,,457,785.0,2385.0
