createAt,manageObject,M8000C29,M8000C30,M8000C11,M8000C6,M8000C7,M8000C38,M8000C37,M8000C9
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-621901,57.0,331,2316.0,,,,,
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-621901,85.0,290,2359.0,,,,,
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-621901,23.0,241,2116.0,,,,,
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-621901,38.0,233,2048.0,,,,,
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-621901,22.0,360,2102.0,,,,,
2025-05-06T21:30:00.000-03:00:00,NE-MRBTS-621901,20.0,331,2406.0,,,,,
2025-05-06T22:00:00.000-03:00:00,NE-MRBTS-621901,37.0,368,2114.0,,,,,
2025-05-06T22:15:00.000-03:00:00,NE-MRBTS-621901,31.0,336,2006.0,,,,,
2025-05-06T22:30:00.000-03:00:00,NE-MRBTS-621901,36.0,351,1744.0,,,,,
2025-05-06T23:00:00.000-03:00:00,NE-MRBTS-621901,46.0,380,2247.0,,,,,
2025-05-06T23:15:00.000-03:00:00,NE-MRBTS-621901,62.0,375,2142.0,,,,,
2025-05-06T23:30:00.000-03:00:00,NE-MRBTS-621901,27.0,344,2352.0,,,,,
2025-05-07T00:00:00.000-03:00:00,NE-MRBTS-621901,33.0,291,2197.0,,,,,
2025-05-07T00:15:00.000-03:00:00,NE-MRBTS-621901,30.0,287,1986.0,,,,,
2025-05-07T00:30:00.000-03:00:00,NE-MRBTS-621901,23.0,295,1996.0,,,,,
2025-05-07T01:00:00.000-03:00:00,NE-MRBTS-621901,15.0,258,1987.0,,,,,
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-621901,15.0,242,1937.0,,,,,
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-621901,16.0,213,1936.0,,,,,
2025-05-07T02:00:00.000-03:00:00,NE-MRBTS-621901,12.0,202,1937.0,,,,,
2025-05-07T02:15:00.000-03:00:00,NE-MRBTS-621901,18.0,200,2113.0,,,,,
2025-05-07T02:30:00.000-03:00:00,NE-MRBTS-621901,14.0,162,2029.0,,,,,
2025-05-07T03:00:00.000-03:00:00,NE-MRBTS-621901,43.0,201,1955.0,,,,,
2025-05-07T03:15:00.000-03:00:00,NE-MRBTS-621901,79.0,189,1948.0,,,,,
2025-05-07T03:30:00.000-03:00:00,NE-MRBTS-621901,128.0,291,1973.0,,,,,
2025-05-07T04:00:00.000-03:00:00,NE-MRBTS-621901,17.0,119,1930.0,,,,,
2025-05-07T04:15:00.000-03:00:00,NE-MRBTS-621901,25.0,150,1895.0,,,,,
2025-05-07T04:30:00.000-03:00:00,NE-MRBTS-621901,51.0,257,1809.0,,,,,
2025-05-07T05:00:00.000-03:00:00,NE-MRBTS-621901,14.0,102,1738.0,,,,,
2025-05-07T05:15:00.000-03:00:00,NE-MRBTS-621901,22.0,150,1899.0,,,,,
2025-05-07T05:30:00.000-03:00:00,NE-MRBTS-621901,63.0,302,1921.0,,,,,
2025-05-07T06:00:00.000-03:00:00,NE-MRBTS-621901,16.0,240,2021.0,,,,,
2025-05-07T06:15:00.000-03:00:00,NE-MRBTS-621901,89.0,720,2025.0,,,,,
2025-05-07T06:30:00.000-03:00:00,NE-MRBTS-621901,80.0,656,2271.0,,,,,
2025-05-07T07:00:00.000-03:00:00,NE-MRBTS-621901,103.0,635,2508.0,,,,,
2025-05-07T07:15:00.000-03:00:00,NE-MRBTS-621901,102.0,597,2892.0,,,,,
2025-05-07T07:30:00.000-03:00:00,NE-MRBTS-621901,144.0,591,2954.0,,,,,
2025-05-07T08:00:00.000-03:00:00,NE-MRBTS-621901,107.0,620,2946.0,,,,,
2025-05-07T08:15:00.000-03:00:00,NE-MRBTS-621901,39.0,577,3214.0,,,,,
2025-05-07T08:30:00.000-03:00:00,NE-MRBTS-621901,76.0,574,3618.0,,,,,
2025-05-07T09:00:00.000-03:00:00,NE-MRBTS-621901,67.0,637,2935.0,,,,,
2025-05-07T09:15:00.000-03:00:00,NE-MRBTS-621901,115.0,738,3110.0,,,,,
2025-05-07T09:30:00.000-03:00:00,NE-MRBTS-621901,169.0,772,3652.0,,,,,
2025-05-07T10:00:00.000-03:00:00,NE-MRBTS-621901,268.0,1048,3228.0,,,,,
2025-05-07T10:15:00.000-03:00:00,NE-MRBTS-621901,139.0,858,3503.0,,,,,
2025-05-07T10:30:00.000-03:00:00,NE-MRBTS-621901,57.0,619,3422.0,,,,,
2025-05-07T11:00:00.000-03:00:00,NE-MRBTS-621901,186.0,834,3075.0,,,,,
2025-05-07T11:15:00.000-03:00:00,NE-MRBTS-621901,119.0,720,3151.0,,,,,
2025-05-07T11:30:00.000-03:00:00,NE-MRBTS-621901,77.0,698,2952.0,,,,,
2025-05-07T12:00:00.000-03:00:00,NE-MRBTS-621901,55.0,409,2651.0,,,,,
2025-05-07T12:15:00.000-03:00:00,NE-MRBTS-621901,75.0,393,2992.0,,,,,
2025-05-07T12:30:00.000-03:00:00,NE-MRBTS-621901,42.0,388,3040.0,,,,,
2025-05-07T13:00:00.000-03:00:00,NE-MRBTS-621901,90.0,602,2612.0,,,,,
2025-05-07T13:15:00.000-03:00:00,NE-MRBTS-621901,68.0,747,2867.0,,,,,
2025-05-07T13:30:00.000-03:00:00,NE-MRBTS-621901,49.0,694,2835.0,,,,,
2025-05-07T14:00:00.000-03:00:00,NE-MRBTS-621901,60.0,755,2823.0,,,,,
2025-05-07T14:15:00.000-03:00:00,NE-MRBTS-621901,148.0,793,3241.0,,,,,
2025-05-07T14:30:00.000-03:00:00,NE-MRBTS-621901,216.0,931,3276.0,,,,,
2025-05-07T15:00:00.000-03:00:00,NE-MRBTS-621901,166.0,810,3081.0,,,,,
2025-05-07T15:15:00.000-03:00:00,NE-MRBTS-621901,108.0,853,3221.0,,,,,
2025-05-07T15:30:00.000-03:00:00,NE-MRBTS-621901,98.0,741,3211.0,,,,,
2025-05-07T16:00:00.000-03:00:00,NE-MRBTS-621901,195.0,830,3300.0,,,,,
2025-05-07T16:15:00.000-03:00:00,NE-MRBTS-621901,193.0,953,3169.0,,,,,
2025-05-07T16:30:00.000-03:00:00,NE-MRBTS-621901,104.0,828,4264.0,,,,,
2025-05-07T17:00:00.000-03:00:00,NE-MRBTS-621901,196.0,1075,2744.0,,,,,
2025-05-07T17:15:00.000-03:00:00,NE-MRBTS-621901,90.0,815,2959.0,,,,,
2025-05-07T17:30:00.000-03:00:00,NE-MRBTS-621901,74.0,727,3214.0,,,,,
2025-05-07T18:00:00.000-03:00:00,NE-MRBTS-621901,93.0,648,3109.0,,,,,
2025-05-07T18:15:00.000-03:00:00,NE-MRBTS-621901,106.0,671,3660.0,,,,,
2025-05-07T18:30:00.000-03:00:00,NE-MRBTS-621901,75.0,661,3074.0,,,,,
2025-05-07T19:00:00.000-03:00:00,NE-MRBTS-621901,47.0,492,2503.0,,,,,
2025-05-07T19:15:00.000-03:00:00,NE-MRBTS-621901,54.0,550,2548.0,,,,,
2025-05-07T19:30:00.000-03:00:00,NE-MRBTS-621901,40.0,553,2463.0,,,,,
2025-05-07T20:00:00.000-03:00:00,NE-MRBTS-621901,81.0,509,2314.0,,,,,
2025-05-07T20:15:00.000-03:00:00,NE-MRBTS-621901,69.0,365,2211.0,,,,,
2025-05-07T20:30:00.000-03:00:00,NE-MRBTS-621901,18.0,283,2047.0,,,,,
2025-05-07T21:00:00.000-03:00:00,NE-MRBTS-621901,47.0,222,2047.0,,,,,
2025-05-07T21:15:00.000-03:00:00,NE-MRBTS-621901,11.0,237,2113.0,,,,,
2025-05-07T21:30:00.000-03:00:00,NE-MRBTS-621901,14.0,408,1651.0,,,,,
2025-05-07T22:00:00.000-03:00:00,NE-MRBTS-621901,13.0,334,2129.0,,,,,
2025-05-07T22:15:00.000-03:00:00,NE-MRBTS-621901,8.0,311,2274.0,,,,,
2025-05-07T22:30:00.000-03:00:00,NE-MRBTS-621901,12.0,382,1812.0,,,,,
2025-05-07T23:00:00.000-03:00:00,NE-MRBTS-621901,10.0,345,2177.0,,,,,
2025-05-07T23:15:00.000-03:00:00,NE-MRBTS-621901,25.0,384,2159.0,,,,,
2025-05-07T23:30:00.000-03:00:00,NE-MRBTS-621901,95.0,478,2215.0,,,,,
2025-05-08T00:00:00.000-03:00:00,NE-MRBTS-621901,32.0,309,2136.0,,,,,
2025-05-08T00:15:00.000-03:00:00,NE-MRBTS-621901,40.0,305,2309.0,,,,,
2025-05-08T00:30:00.000-03:00:00,NE-MRBTS-621901,4.0,276,2334.0,,,,,
2025-05-08T01:00:00.000-03:00:00,NE-MRBTS-621901,17.0,279,2306.0,,,,,
2025-05-08T01:15:00.000-03:00:00,NE-MRBTS-621901,15.0,307,2234.0,,,,,
2025-05-08T01:30:00.000-03:00:00,NE-MRBTS-621901,13.0,357,2115.0,,,,,
2025-05-08T02:00:00.000-03:00:00,NE-MRBTS-621901,7.0,292,1935.0,,,,,
2025-05-08T02:15:00.000-03:00:00,NE-MRBTS-621901,10.0,248,1835.0,,,,,
2025-05-08T02:30:00.000-03:00:00,NE-MRBTS-621901,6.0,214,1940.0,,,,,
2025-05-08T03:00:00.000-03:00:00,NE-MRBTS-621901,35.0,180,1784.0,1.0,1.0,,,
2025-05-08T03:15:00.000-03:00:00,NE-MRBTS-621901,72.0,329,1959.0,,,,,
2025-05-08T03:30:00.000-03:00:00,NE-MRBTS-621901,10.0,117,1858.0,,,,,
2025-05-08T04:00:00.000-03:00:00,NE-MRBTS-621901,16.0,109,2006.0,,,,,
2025-05-08T04:15:00.000-03:00:00,NE-MRBTS-621901,7.0,87,2009.0,,,,,
2025-05-08T04:30:00.000-03:00:00,NE-MRBTS-621901,12.0,110,1937.0,,,,,
2025-05-08T05:00:00.000-03:00:00,NE-MRBTS-621901,6.0,112,1960.0,,,,,
2025-05-08T05:15:00.000-03:00:00,NE-MRBTS-621901,12.0,132,2061.0,,,,,
2025-05-08T05:30:00.000-03:00:00,NE-MRBTS-621901,14.0,183,2064.0,,,,,
2025-05-08T06:00:00.000-03:00:00,NE-MRBTS-621901,65.0,278,1904.0,,,,,
2025-05-08T06:15:00.000-03:00:00,NE-MRBTS-621901,123.0,666,2043.0,,,,,
2025-05-08T06:30:00.000-03:00:00,NE-MRBTS-621901,155.0,751,2169.0,,,,,
2025-05-08T07:00:00.000-03:00:00,NE-MRBTS-621901,74.0,626,2763.0,,,,,
2025-05-08T07:15:00.000-03:00:00,NE-MRBTS-621901,87.0,536,2750.0,,,,,
2025-05-08T07:30:00.000-03:00:00,NE-MRBTS-621901,84.0,592,2883.0,,,,,
2025-05-08T08:00:00.000-03:00:00,NE-MRBTS-621901,112.0,628,3002.0,,,,,
2025-05-08T08:15:00.000-03:00:00,NE-MRBTS-621901,135.0,655,3224.0,,,,,
2025-05-08T08:30:00.000-03:00:00,NE-MRBTS-621901,148.0,740,3630.0,,,,,
2025-05-08T09:00:00.000-03:00:00,NE-MRBTS-621901,151.0,848,3418.0,,,,,
2025-05-08T09:15:00.000-03:00:00,NE-MRBTS-621901,200.0,879,3315.0,,,,,
2025-05-08T09:30:00.000-03:00:00,NE-MRBTS-621901,179.0,780,3438.0,,,,,
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-621901,174.0,856,3414.0,,,,,
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-621901,146.0,880,3192.0,,,,,
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-621901,136.0,796,3342.0,,,,,
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-621901,192.0,864,3135.0,,,,,
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-621901,105.0,656,2979.0,,,,,
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-621901,92.0,629,3220.0,,,,,
2025-05-08T12:00:00.000-03:00:00,NE-MRBTS-621901,119.0,487,3015.0,,,,,
2025-05-08T12:15:00.000-03:00:00,NE-MRBTS-621901,80.0,368,2890.0,,,,,
2025-05-08T12:30:00.000-03:00:00,NE-MRBTS-621901,104.0,395,2814.0,,,,,
2025-05-08T13:00:00.000-03:00:00,NE-MRBTS-621901,122.0,659,2866.0,,,,,
2025-05-08T13:15:00.000-03:00:00,NE-MRBTS-621901,111.0,839,2841.0,,,,,
2025-05-08T13:30:00.000-03:00:00,NE-MRBTS-621901,94.0,753,2804.0,,,,,
2025-05-08T14:00:00.000-03:00:00,NE-MRBTS-621901,81.0,714,3269.0,,,,,
2025-05-08T14:15:00.000-03:00:00,NE-MRBTS-621901,93.0,791,3107.0,,,,,
2025-05-08T14:30:00.000-03:00:00,NE-MRBTS-621901,81.0,762,3160.0,,,,,
2025-05-08T15:00:00.000-03:00:00,NE-MRBTS-621901,85.0,703,3565.0,,,,,
2025-05-08T15:15:00.000-03:00:00,NE-MRBTS-621901,34.0,684,3673.0,,,,,
2025-05-08T15:30:00.000-03:00:00,NE-MRBTS-621901,114.0,794,3497.0,,,,,
2025-05-08T16:00:00.000-03:00:00,NE-MRBTS-621901,173.0,874,3337.0,,,,,
2025-05-08T16:15:00.000-03:00:00,NE-MRBTS-621901,108.0,674,2911.0,,,,,
2025-05-08T16:30:00.000-03:00:00,NE-MRBTS-621901,109.0,627,2668.0,1.0,1.0,,,
2025-05-06T15:00:00.000-03:00:00,NE-MRBTS-690204,200.0,263,284.0,4.0,,,,4.0
2025-05-06T15:15:00.000-03:00:00,NE-MRBTS-690204,152.0,200,201.0,3.0,,,,3.0
2025-05-06T15:30:00.000-03:00:00,NE-MRBTS-690204,171.0,225,273.0,4.0,,,,4.0
2025-05-06T16:00:00.000-03:00:00,NE-MRBTS-690204,179.0,229,316.0,4.0,,,,4.0
2025-05-06T16:15:00.000-03:00:00,NE-MRBTS-690204,129.0,192,308.0,3.0,,,,3.0
2025-05-06T16:30:00.000-03:00:00,NE-MRBTS-690204,195.0,258,327.0,4.0,,,,4.0
2025-05-06T17:00:00.000-03:00:00,NE-MRBTS-690204,210.0,265,276.0,3.0,,,,3.0
2025-05-06T17:15:00.000-03:00:00,NE-MRBTS-690204,191.0,240,349.0,4.0,,,,4.0
2025-05-06T17:30:00.000-03:00:00,NE-MRBTS-690204,182.0,219,350.0,3.0,,,,3.0
2025-05-06T18:00:00.000-03:00:00,NE-MRBTS-690204,196.0,239,308.0,4.0,,,,4.0
2025-05-06T18:15:00.000-03:00:00,NE-MRBTS-690204,156.0,212,390.0,3.0,,,,3.0
2025-05-06T18:30:00.000-03:00:00,NE-MRBTS-690204,180.0,231,382.0,4.0,,,,4.0
2025-05-06T19:00:00.000-03:00:00,NE-MRBTS-690204,173.0,217,209.0,4.0,,,,4.0
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-690204,160.0,202,223.0,4.0,,,,4.0
2025-05-06T19:30:00.000-03:00:00,NE-MRBTS-690204,199.0,232,397.0,3.0,,,,3.0
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-690204,181.0,211,210.0,3.0,,,,3.0
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-690204,175.0,211,157.0,4.0,,,,4.0
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-690204,172.0,239,134.0,4.0,,,,4.0
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-690204,188.0,232,157.0,4.0,,,,4.0
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-690204,176.0,210,169.0,3.0,,,,3.0
2025-05-06T21:30:00.000-03:00:00,NE-MRBTS-690204,219.0,253,178.0,4.0,,,,4.0
2025-05-06T22:00:00.000-03:00:00,NE-MRBTS-690204,190.0,229,242.0,3.0,,,,3.0
2025-05-06T22:15:00.000-03:00:00,NE-MRBTS-690204,154.0,193,279.0,4.0,,,,4.0
2025-05-06T22:30:00.000-03:00:00,NE-MRBTS-690204,203.0,226,205.0,3.0,,,,3.0
2025-05-06T23:00:00.000-03:00:00,NE-MRBTS-690204,168.0,180,298.0,5.0,1.0,,,4.0
2025-05-06T23:15:00.000-03:00:00,NE-MRBTS-690204,175.0,202,174.0,3.0,,,,3.0
2025-05-06T23:30:00.000-03:00:00,NE-MRBTS-690204,193.0,201,229.0,4.0,,,,4.0
2025-05-07T00:00:00.000-03:00:00,NE-MRBTS-690204,189.0,198,145.0,4.0,,,,4.0
2025-05-07T00:15:00.000-03:00:00,NE-MRBTS-690204,140.0,146,153.0,4.0,,,,4.0
2025-05-07T00:30:00.000-03:00:00,NE-MRBTS-690204,199.0,200,117.0,3.0,,,,3.0
2025-05-07T01:00:00.000-03:00:00,NE-MRBTS-690204,186.0,193,178.0,3.0,,,,3.0
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-690204,152.0,170,235.0,4.0,,,,4.0
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-690204,196.0,195,215.0,4.0,,,,4.0
2025-05-07T02:00:00.000-03:00:00,NE-MRBTS-690204,188.0,181,196.0,4.0,,,,4.0
2025-05-07T02:15:00.000-03:00:00,NE-MRBTS-690204,153.0,168,241.0,3.0,,,,3.0
2025-05-07T02:30:00.000-03:00:00,NE-MRBTS-690204,223.0,228,207.0,5.0,1.0,,,4.0
2025-05-07T03:00:00.000-03:00:00,NE-MRBTS-690204,192.0,205,191.0,4.0,,,,4.0
2025-05-07T03:15:00.000-03:00:00,NE-MRBTS-690204,136.0,139,178.0,4.0,,,,4.0
2025-05-07T03:30:00.000-03:00:00,NE-MRBTS-690204,195.0,188,170.0,3.0,,,,3.0
2025-05-07T04:00:00.000-03:00:00,NE-MRBTS-690204,198.0,209,135.0,3.0,,,,3.0
2025-05-07T04:15:00.000-03:00:00,NE-MRBTS-690204,183.0,221,140.0,4.0,,,,4.0
2025-05-07T04:30:00.000-03:00:00,NE-MRBTS-690204,208.0,232,160.0,4.0,,,,4.0
2025-05-07T05:00:00.000-03:00:00,NE-MRBTS-690204,202.0,222,149.0,4.0,,,,4.0
2025-05-07T05:15:00.000-03:00:00,NE-MRBTS-690204,156.0,197,208.0,3.0,,,,3.0
2025-05-07T05:30:00.000-03:00:00,NE-MRBTS-690204,190.0,210,177.0,4.0,,,,4.0
2025-05-07T06:00:00.000-03:00:00,NE-MRBTS-690204,210.0,240,191.0,3.0,,,,3.0
2025-05-07T06:15:00.000-03:00:00,NE-MRBTS-690204,157.0,276,136.0,4.0,,,,4.0
2025-05-07T06:30:00.000-03:00:00,NE-MRBTS-690204,232.0,376,223.0,3.0,,,,3.0
2025-05-07T07:00:00.000-03:00:00,NE-MRBTS-690204,265.0,312,215.0,3.0,,,,3.0
2025-05-07T07:15:00.000-03:00:00,NE-MRBTS-690204,172.0,237,345.0,4.0,,,,4.0
2025-05-07T07:30:00.000-03:00:00,NE-MRBTS-690204,220.0,301,315.0,4.0,,,,4.0
2025-05-07T08:00:00.000-03:00:00,NE-MRBTS-690204,169.0,222,292.0,4.0,,,,4.0
2025-05-07T08:15:00.000-03:00:00,NE-MRBTS-690204,203.0,275,324.0,3.0,,,,3.0
2025-05-07T08:30:00.000-03:00:00,NE-MRBTS-690204,184.0,244,274.0,4.0,,,,4.0
2025-05-07T09:00:00.000-03:00:00,NE-MRBTS-690204,178.0,256,321.0,3.0,,,,3.0
2025-05-07T09:15:00.000-03:00:00,NE-MRBTS-690204,132.0,202,370.0,4.0,,,,4.0
2025-05-07T09:30:00.000-03:00:00,NE-MRBTS-690204,194.0,264,380.0,3.0,,,,3.0
2025-05-07T10:00:00.000-03:00:00,NE-MRBTS-690204,195.0,243,325.0,3.0,,,,3.0
2025-05-07T10:15:00.000-03:00:00,NE-MRBTS-690204,146.0,216,303.0,4.0,,,,4.0
2025-05-07T10:30:00.000-03:00:00,NE-MRBTS-690204,217.0,276,387.0,4.0,,,,4.0
2025-05-07T11:00:00.000-03:00:00,NE-MRBTS-690204,203.0,280,319.0,4.0,,,,4.0
2025-05-07T11:15:00.000-03:00:00,NE-MRBTS-690204,142.0,198,277.0,3.0,,,,3.0
2025-05-07T11:30:00.000-03:00:00,NE-MRBTS-690204,172.0,225,265.0,4.0,,,,4.0
2025-05-07T12:00:00.000-03:00:00,NE-MRBTS-690204,173.0,227,212.0,3.0,,,,3.0
2025-05-07T12:15:00.000-03:00:00,NE-MRBTS-690204,162.0,237,305.0,4.0,,,,4.0
2025-05-07T12:30:00.000-03:00:00,NE-MRBTS-690204,243.0,326,299.0,3.0,,,,3.0
2025-05-07T13:00:00.000-03:00:00,NE-MRBTS-690204,222.0,294,203.0,4.0,,,,4.0
2025-05-07T13:15:00.000-03:00:00,NE-MRBTS-690204,201.0,272,214.0,3.0,,,,3.0
2025-05-07T13:30:00.000-03:00:00,NE-MRBTS-690204,239.0,335,263.0,4.0,,,,4.0
2025-05-07T14:00:00.000-03:00:00,NE-MRBTS-690204,227.0,342,302.0,4.0,,,,4.0
2025-05-07T14:15:00.000-03:00:00,NE-MRBTS-690204,162.0,225,313.0,4.0,,,,4.0
2025-05-07T14:30:00.000-03:00:00,NE-MRBTS-690204,169.0,220,442.0,3.0,,,,3.0
2025-05-07T15:00:00.000-03:00:00,NE-MRBTS-690204,198.0,277,352.0,3.0,,,,3.0
2025-05-07T15:15:00.000-03:00:00,NE-MRBTS-690204,187.0,261,456.0,4.0,,,,4.0
2025-05-07T15:30:00.000-03:00:00,NE-MRBTS-690204,167.0,231,458.0,4.0,,,,4.0
2025-05-07T16:00:00.000-03:00:00,NE-MRBTS-690204,181.0,250,378.0,4.0,,,,4.0
2025-05-07T16:15:00.000-03:00:00,NE-MRBTS-690204,189.0,243,330.0,5.0,,,,4.0
2025-05-07T16:30:00.000-03:00:00,NE-MRBTS-690204,187.0,278,531.0,3.0,,,,3.0
2025-05-07T17:00:00.000-03:00:00,NE-MRBTS-690204,220.0,287,319.0,4.0,,,,4.0
2025-05-07T17:15:00.000-03:00:00,NE-MRBTS-690204,164.0,203,302.0,3.0,,,,3.0
2025-05-07T17:30:00.000-03:00:00,NE-MRBTS-690204,182.0,228,379.0,4.0,,,,4.0
2025-05-07T18:00:00.000-03:00:00,NE-MRBTS-690204,184.0,230,270.0,4.0,,,,4.0
2025-05-07T18:15:00.000-03:00:00,NE-MRBTS-690204,174.0,257,308.0,4.0,,,,4.0
2025-05-07T18:30:00.000-03:00:00,NE-MRBTS-690204,195.0,234,185.0,3.0,,,,3.0
2025-05-07T19:00:00.000-03:00:00,NE-MRBTS-690204,183.0,216,174.0,3.0,,,,3.0
2025-05-07T19:15:00.000-03:00:00,NE-MRBTS-690204,196.0,225,194.0,4.0,,,,4.0
2025-05-07T19:30:00.000-03:00:00,NE-MRBTS-690204,224.0,254,229.0,4.0,,,,4.0
2025-05-07T20:00:00.000-03:00:00,NE-MRBTS-690204,190.0,217,236.0,4.0,,,,4.0
2025-05-07T20:15:00.000-03:00:00,NE-MRBTS-690204,195.0,230,139.0,3.0,,,,3.0
2025-05-07T20:30:00.000-03:00:00,NE-MRBTS-690204,182.0,226,145.0,4.0,,,,4.0
2025-05-07T21:00:00.000-03:00:00,NE-MRBTS-690204,189.0,231,176.0,3.0,,,,3.0
2025-05-07T21:15:00.000-03:00:00,NE-MRBTS-690204,187.0,252,171.0,4.0,,,,4.0
2025-05-07T21:30:00.000-03:00:00,NE-MRBTS-690204,228.0,253,121.0,3.0,,,,3.0
2025-05-07T22:00:00.000-03:00:00,NE-MRBTS-690204,224.0,268,133.0,4.0,,,,4.0
2025-05-07T22:15:00.000-03:00:00,NE-MRBTS-690204,319.0,406,143.0,3.0,,,,3.0
2025-05-07T22:30:00.000-03:00:00,NE-MRBTS-690204,369.0,439,133.0,4.0,,,,4.0
2025-05-07T23:00:00.000-03:00:00,NE-MRBTS-690204,287.0,386,191.0,4.0,,,,4.0
2025-05-07T23:15:00.000-03:00:00,NE-MRBTS-690204,308.0,368,186.0,4.0,,,,4.0
2025-05-07T23:30:00.000-03:00:00,NE-MRBTS-690204,276.0,347,187.0,3.0,,,,3.0
2025-05-08T00:00:00.000-03:00:00,NE-MRBTS-690204,269.0,334,139.0,3.0,,,,3.0
2025-05-08T00:15:00.000-03:00:00,NE-MRBTS-690204,312.0,364,160.0,4.0,,,,4.0
2025-05-08T00:30:00.000-03:00:00,NE-MRBTS-690204,273.0,334,149.0,3.0,,,,3.0
2025-05-08T01:00:00.000-03:00:00,NE-MRBTS-690204,287.0,349,144.0,4.0,,,,4.0
2025-05-08T01:15:00.000-03:00:00,NE-MRBTS-690204,304.0,364,169.0,3.0,,,,3.0
2025-05-08T01:30:00.000-03:00:00,NE-MRBTS-690204,298.0,379,185.0,4.0,,,,4.0
2025-05-08T02:00:00.000-03:00:00,NE-MRBTS-690204,286.0,358,127.0,3.0,,,,3.0
2025-05-08T02:15:00.000-03:00:00,NE-MRBTS-690204,302.0,379,135.0,4.0,,,,4.0
2025-05-08T02:30:00.000-03:00:00,NE-MRBTS-690204,286.0,339,115.0,3.0,,,,3.0
2025-05-08T03:00:00.000-03:00:00,NE-MRBTS-690204,293.0,345,124.0,4.0,,,,4.0
2025-05-08T03:15:00.000-03:00:00,NE-MRBTS-690204,299.0,352,141.0,3.0,,,,3.0
2025-05-08T03:30:00.000-03:00:00,NE-MRBTS-690204,301.0,350,127.0,4.0,,,,4.0
2025-05-08T04:00:00.000-03:00:00,NE-MRBTS-690204,275.0,313,157.0,4.0,,,,4.0
2025-05-08T04:15:00.000-03:00:00,NE-MRBTS-690204,293.0,339,177.0,4.0,,,,4.0
2025-05-08T04:30:00.000-03:00:00,NE-MRBTS-690204,289.0,367,162.0,3.0,,,,3.0
2025-05-08T05:00:00.000-03:00:00,NE-MRBTS-690204,273.0,320,127.0,3.0,,,,3.0
2025-05-08T05:15:00.000-03:00:00,NE-MRBTS-690204,294.0,364,118.0,4.0,,,,4.0
2025-05-08T05:30:00.000-03:00:00,NE-MRBTS-690204,312.0,378,168.0,3.0,,,,3.0
2025-05-08T06:00:00.000-03:00:00,NE-MRBTS-690204,286.0,351,189.0,4.0,,,,4.0
2025-05-08T06:15:00.000-03:00:00,NE-MRBTS-690204,312.0,497,135.0,3.0,,,,3.0
2025-05-08T06:30:00.000-03:00:00,NE-MRBTS-690204,280.0,417,141.0,4.0,,,,4.0
2025-05-08T07:00:00.000-03:00:00,NE-MRBTS-690204,349.0,445,289.0,4.0,,,,4.0
2025-05-08T07:15:00.000-03:00:00,NE-MRBTS-690204,247.0,324,267.0,4.0,,,,4.0
2025-05-08T07:30:00.000-03:00:00,NE-MRBTS-690204,185.0,264,245.0,3.0,,,,3.0
2025-05-08T08:00:00.000-03:00:00,NE-MRBTS-690204,170.0,228,244.0,3.0,,,,3.0
2025-05-08T08:15:00.000-03:00:00,NE-MRBTS-690204,193.0,259,269.0,4.0,,,,4.0
2025-05-08T08:30:00.000-03:00:00,NE-MRBTS-690204,189.0,286,387.0,4.0,,,,4.0
2025-05-08T09:00:00.000-03:00:00,NE-MRBTS-690204,174.0,204,245.0,4.0,,,,4.0
2025-05-08T09:15:00.000-03:00:00,NE-MRBTS-690204,256.0,342,272.0,3.0,,,,3.0
2025-05-08T09:30:00.000-03:00:00,NE-MRBTS-690204,159.0,222,342.0,4.0,,,,4.0
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-690204,208.0,286,323.0,4.0,,,,4.0
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-690204,188.0,257,408.0,4.0,,,,4.0
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-690204,261.0,381,308.0,3.0,,,,3.0
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-690204,166.0,234,230.0,4.0,,,,4.0
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-690204,197.0,268,322.0,3.0,,,,3.0
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-690204,168.0,229,270.0,4.0,,,,4.0
