createAt,manageObject,M8046C0,M8046C1,M8046C2,M8046C4,M8046C3,M8046C5
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,6,327,27.0,443.0,10.0,15955.0
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,5,337,26.0,759.0,10.0,16088.0
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,5,337,26.0,759.0,10.0,16088.0
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,5,337,26.0,759.0,10.0,16088.0
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,5,337,26.0,759.0,10.0,16088.0
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,5,278,17.0,658.0,9.0,16104.0
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,5,278,17.0,658.0,9.0,16104.0
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,5,278,17.0,658.0,9.0,16104.0
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,5,278,17.0,658.0,9.0,16104.0
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,5,251,38.0,713.0,11.0,16102.0
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,5,251,38.0,713.0,11.0,16102.0
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,5,251,38.0,713.0,11.0,16102.0
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,5,251,38.0,713.0,11.0,16102.0
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,4,179,28.0,307.0,9.0,16100.0
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,4,179,28.0,307.0,9.0,16100.0
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,4,179,28.0,307.0,9.0,16100.0
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,4,179,28.0,307.0,9.0,16100.0
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,4,158,33.0,323.0,9.0,16101.0
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,4,158,33.0,323.0,9.0,16101.0
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,4,158,33.0,323.0,9.0,16101.0
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,4,158,33.0,323.0,9.0,16101.0
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,4,148,12.0,334.0,10.0,16100.0
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,4,148,12.0,334.0,10.0,16100.0
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,4,148,12.0,334.0,10.0,16100.0
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,4,148,12.0,334.0,10.0,16100.0
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,4,184,17.0,336.0,9.0,16102.0
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,4,184,17.0,336.0,9.0,16102.0
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,4,184,17.0,336.0,9.0,16102.0
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,4,184,17.0,336.0,9.0,16102.0
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,4,232,32.0,325.0,11.0,16106.0
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,4,232,32.0,325.0,11.0,16106.0
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,4,232,32.0,325.0,11.0,16106.0
