createAt,manageObject,M8027C0,M8027C1,M8027C2,M8027C3,M8027C5,M8027C4,M8027C6
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-690501,,,,2.0,,2.0,
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,1.0,,
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-690501,,,,2.0,1.0,1.0,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,4.0,2.0,2.0,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,2.0,,2.0,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,4.0,3.0,1.0,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,4.0,3.0,1.0,
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,3.0,1.0,2.0,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,3.0,2.0,1.0,
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-690501,,,,5.0,2.0,3.0,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-690501,,,,3.0,,3.0,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-690501,,,,2.0,1.0,1.0,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,5.0,2.0,3.0,
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,2.0,2.0,,
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,2.0,2.0,,
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-690501,,,,4.0,2.0,2.0,
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-690501,3.0,3.0,2.0,1.0,1.0,,
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-690501,4.0,4.0,4.0,,,,
2025-05-07T17:00:00.000-04:00:00,NE-MRBTS-690501,3.0,3.0,3.0,7.0,3.0,4.0,
2025-05-07T17:15:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,,1.0,
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,3.0,,3.0,
2025-05-07T18:00:00.000-04:00:00,NE-MRBTS-690501,,,,3.0,1.0,2.0,
2025-05-07T18:15:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,,1.0,
2025-05-07T18:30:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,,1.0,
2025-05-07T19:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,22.0,2.0,20.0,
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,,,,
2025-05-07T19:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,5.0,,5.0,
2025-05-07T20:00:00.000-04:00:00,NE-MRBTS-690501,,,,,,,1.0
2025-05-07T20:15:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,,1.0,
2025-05-07T21:30:00.000-04:00:00,NE-MRBTS-690501,3.0,3.0,3.0,,,,
2025-05-08T01:15:00.000-04:00:00,NE-MRBTS-690501,,,,4.0,,4.0,
2025-05-08T02:15:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,,1.0,
2025-05-08T06:30:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,,1.0,
2025-05-08T07:00:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,,1.0,
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,4.0,4.0,,
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,,,,
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,1.0,,
2025-05-08T09:15:00.000-04:00:00,NE-MRBTS-690501,,,,3.0,,3.0,
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,1.0,1.0,1.0,,
2025-05-08T09:45:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,4.0,2.0,2.0,
