createAt,manageObject,M8011C86,M8011C95,M8011C101,M8011C107,M8011C189,M8011C191,M8011C25,M8011C26,M8011C27,M8011C28,M8011C29,M8011C30,M8011C31,M8011C32,M8011C33,M8011C34,M8011C36,M8011C37,M8011C51,M8011C54,M8011C57,M8011C58,M8011C79,M8011C226,M8011C12,M8011C13,M8011C14,M8011C15,M8011C16,M8011C17,M8011C18,M8011C19,M8011C20,M8011C21,M8011C23,M8011C24,M8011C38,M8011C39,M8011C40,M8011C41,M8011C42,M8011C43,M8011C44,M8011C45,M8011C46,M8011C47,M8011C49,M8011C50,M8011C55,M8011C56,M8011C60,M8011C61,M8011C74,M8011C227,M8011C297,M8011C298,M8011C323,M8011C324,M8011C325,M8011C326,M8011C327,M8011C328,M8011C317,M8011C321,M8011C322,M8011C318,M8011C319,M8011C320,M8011C59
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,464.0,464.0,418049,34320,9687,7592.0,2912.0,3174.0,4651.0,16464.0,21835.0,381316.0,100,476,10709354,10414864.0,6.0,4.0,900000,10414864.0,671183,93367.0,11696.0,8179.0,12520.0,9667.0,2584.0,12206.0,6397.0,72201.0,100.0,132.0,13017624,3928.0,603958.0,160985,113191.0,2171.0,786.0,671.0,435.0,6573071,3600000,2433071.0,3.0,5.0,735644,164356,900000,2439238.0,3229.0,834.0,801.0,598.0,623.0,329.0,1859.0,492.0,40.0,30.0,43.0,6.0,6.0,21.0,
2025-05-06T19:30:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,486.0,486.0,422834,35764,10841,11004.0,3908.0,3733.0,5878.0,20131.0,24406.0,361501.0,100,462,10407506,10105452.0,6.0,4.0,900000,10105452.0,642922,141069.0,24949.0,12702.0,10482.0,6766.0,1978.0,7622.0,3613.0,47897.0,100.0,109.0,14237560,4273.0,516838.0,132633,225671.0,2408.0,286.0,162.0,315.0,6161828,3600000,2021828.0,3.0,5.0,582805,317195,900000,2017719.0,2335.0,836.0,465.0,172.0,140.0,187.0,636.0,328.0,19.0,7.0,16.0,2.0,1.0,1.0,
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,465.0,465.0,367363,28056,8392,11076.0,4678.0,4925.0,5808.0,24901.0,28537.0,416264.0,100,532,11961691,11665879.0,8.0,5.0,900000,11665879.0,711214,57165.0,26809.0,15527.0,17781.0,9839.0,2950.0,9882.0,4057.0,44776.0,100.0,104.0,13668496,3632.0,758958.0,178363,113066.0,219.0,52.0,21.0,64.0,6058115,3600000,1918115.0,3.0,4.0,654242,245758,900000,1917756.0,310.0,46.0,38.0,24.0,9.0,27.0,95.0,3.0,20.0,20.0,,,,,
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,436.0,436.0,328893,25168,8600,14308.0,5686.0,5671.0,8331.0,20126.0,31376.0,451841.0,100,572,12871817,12580377.0,8.0,5.0,900000,12580377.0,481404,100800.0,101282.0,43183.0,38217.0,32685.0,8663.0,29380.0,11823.0,52563.0,100.0,203.0,15669368,12402.0,746217.0,196500,368611.0,823.0,218.0,142.0,1309.0,7898695,3600000,3758695.0,6.0,5.0,403553,496447,900000,3759422.0,1305.0,1187.0,141.0,146.0,68.0,759.0,684.0,430.0,27.0,30.0,4.0,3.0,,4.0,
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,387.0,387.0,275839,23754,9227,10873.0,8570.0,9686.0,9020.0,14777.0,34257.0,503997.0,100,633,14245416,13949658.0,9.0,5.0,900000,13949658.0,452484,81598.0,48067.0,26240.0,45504.0,35390.0,8988.0,47828.0,31877.0,122024.0,100.0,294.0,17515504,18708.0,605584.0,267020,530218.0,779.0,357.0,389.0,1519.0,9572539,3600000,5432539.0,6.0,5.0,172830,727170,900000,5432426.0,1850.0,1194.0,155.0,133.0,183.0,818.0,885.0,404.0,22.0,23.0,10.0,3.0,3.0,5.0,
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,341.0,341.0,405431,31428,9170,20725.0,3167.0,3513.0,5244.0,41361.0,24196.0,355765.0,100,473,10653408,10352244.0,7.0,4.0,900000,10352244.0,737818,63209.0,40536.0,8437.0,7449.0,4935.0,1269.0,5297.0,2037.0,29013.0,100.0,72.0,12984512,848.0,702717.0,116244,57861.0,148.0,5.0,3.0,96.0,5458946,3600000,1318946.0,2.0,4.0,739436,160564,900000,1316974.0,161.0,91.0,3.0,,1.0,70.0,13.0,61.0,8.0,6.0,2.0,,,,
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,362.0,362.0,441995,33495,9739,9335.0,3288.0,3058.0,5232.0,17919.0,22003.0,353936.0,100,447,10071619,9776139.0,7.0,5.0,900000,9776139.0,642211,167893.0,27271.0,9987.0,7437.0,4073.0,1077.0,5157.0,2610.0,32284.0,100.0,89.0,13280504,4327.0,687928.0,156672,123549.0,991.0,56.0,35.0,119.0,5776990,3600000,1636990.0,3.0,5.0,702163,197837,900000,1639072.0,1058.0,143.0,27.0,19.0,3.0,32.0,61.0,20.0,17.0,19.0,,1.0,1.0,,
2025-05-06T21:30:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,360.0,360.0,770583,49425,13200,2805.0,875.0,707.0,2099.0,1964.0,4086.0,54256.0,100,84,1882737,1592187.0,1.0,4.0,900000,1592187.0,787171,75754.0,10873.0,4449.0,2908.0,1433.0,326.0,1471.0,645.0,14970.0,100.0,38.0,12383208,523.0,152840.0,93140,39416.0,20.0,10.0,3.0,68.0,4851587,3600000,711587.0,1.0,4.0,814873,85127,900000,712574.0,70.0,31.0,1.0,1.0,2.0,56.0,34.0,26.0,,,,,,,
2025-05-06T22:00:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,324.0,324.0,457219,31146,8035,2718.0,1370.0,1425.0,4865.0,6098.0,22356.0,364768.0,100,445,10024935,9735241.0,5.0,4.0,900000,9735241.0,798481,33782.0,6298.0,4489.0,5411.0,4839.0,566.0,7283.0,3126.0,35725.0,100.0,64.0,12425184,103.0,408162.0,182321,33959.0,10.0,3.0,,,5333317,3600000,1193317.0,1.0,4.0,809352,90648,900000,1188909.0,12.0,1.0,,,,,,,2.0,2.0,,,,,
2025-05-06T22:15:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,382.0,382.0,423245,31730,8805,3553.0,2477.0,2051.0,5693.0,7334.0,24289.0,390823.0,100,480,10796851,10501427.0,6.0,4.0,900000,10501427.0,788173,43867.0,10598.0,5899.0,5631.0,4586.0,1056.0,6951.0,2556.0,30683.0,100.0,63.0,12512904,237.0,531872.0,196256,20382.0,18.0,18.0,1.0,,5294194,3600000,1154194.0,2.0,5.0,798387,101613,900000,1154123.0,35.0,2.0,6.0,8.0,,,13.0,1.0,2.0,2.0,,,,,
2025-05-06T22:30:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,320.0,320.0,383602,29242,8316,4844.0,2940.0,3001.0,10500.0,7568.0,25292.0,424695.0,100,522,11750557,11464461.0,6.0,4.0,900000,11464461.0,758410,61529.0,15670.0,8224.0,9625.0,7026.0,1327.0,7299.0,2839.0,28051.0,100.0,70.0,13153312,454.0,552631.0,210654,60689.0,163.0,46.0,4.0,4.0,5423777,3600000,1283777.0,2.0,4.0,718336,181664,900000,1284191.0,178.0,39.0,14.0,6.0,1.0,2.0,16.0,7.0,5.0,6.0,1.0,2.0,,,
2025-05-06T23:00:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,320.0,320.0,436477,30721,8243,1840.0,1159.0,1151.0,3696.0,4871.0,21641.0,390201.0,100,468,10528847,10241847.0,5.0,4.0,900000,10241847.0,827121,36643.0,7413.0,5006.0,3663.0,3612.0,467.0,3745.0,1051.0,11279.0,100.0,33.0,12442768,69.0,410789.0,226008,24810.0,25.0,12.0,,,4752345,3600000,612345.0,1.0,4.0,807340,92660,900000,612218.0,35.0,2.0,2.0,4.0,,,6.0,,1.0,1.0,,,,,
2025-05-06T23:15:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,358.0,358.0,401333,27711,7807,2859.0,2385.0,2499.0,7970.0,6247.0,24091.0,417098.0,100,507,11414316,11134542.0,6.0,4.0,900000,11134542.0,793041,53708.0,9608.0,7062.0,4550.0,4772.0,649.0,5155.0,1621.0,19834.0,100.0,50.0,12682696,214.0,464331.0,271698,42167.0,51.0,21.0,2.0,9.0,5065786,3600000,925786.0,2.0,4.0,777264,122736,900000,925467.0,74.0,9.0,9.0,5.0,,1.0,12.0,3.0,1.0,1.0,,,,,
2025-05-06T23:30:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,419.0,419.0,693096,44810,11798,2099.0,925.0,827.0,3016.0,2722.0,7992.0,132715.0,100,173,3912865,3626217.0,2.0,3.0,900000,3626217.0,825536,35659.0,8777.0,5164.0,4236.0,3465.0,546.0,2926.0,1071.0,12620.0,100.0,33.0,12424744,93.0,179417.0,137531,30056.0,11.0,1.0,1.0,4.0,4752442,3600000,612442.0,1.0,3.0,809407,90593,900000,612403.0,11.0,6.0,,,,1.0,1.0,,,,,,,,
2025-05-07T00:00:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,371.0,371.0,674409,40159,15161,2318.0,629.0,835.0,2976.0,2067.0,8647.0,152799.0,100,199,4480009,4198243.0,3.0,4.0,900000,4198243.0,471918,69343.0,45538.0,18621.0,25232.0,18410.0,3614.0,20819.0,10134.0,216371.0,100.0,317.0,14106304,3064.0,423998.0,141382,224031.0,464.0,51.0,39.0,184.0,9971995,3600000,5831995.0,5.0,4.0,599255,300745,900000,5832346.0,346.0,392.0,65.0,16.0,20.0,43.0,73.0,71.0,4.0,4.0,,,,,
2025-05-07T00:15:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,419.0,419.0,639946,40587,13708,2350.0,647.0,895.0,3494.0,2265.0,10471.0,185637.0,100,237,5331189,5047073.0,3.0,3.0,900000,5047073.0,408382,105658.0,48173.0,20731.0,33073.0,24096.0,6182.0,25951.0,13028.0,214726.0,100.0,340.0,15377152,5502.0,406448.0,114139,400409.0,1414.0,311.0,86.0,324.0,10394420,3600000,6254420.0,7.0,4.0,439927,460073,900000,6255765.0,915.0,1220.0,572.0,203.0,62.0,211.0,501.0,547.0,3.0,3.0,1.0,1.0,,,
2025-05-07T00:30:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,413.0,413.0,793024,46247,15991,1685.0,328.0,259.0,578.0,834.0,2545.0,38509.0,100,65,1469832,1185140.0,1.0,3.0,900000,1185140.0,519531,34076.0,25257.0,8600.0,19119.0,19539.0,2744.0,26456.0,10360.0,234318.0,100.0,322.0,12505584,417.0,438431.0,101929,43657.0,47.0,6.0,4.0,3.0,10052890,3600000,5912890.0,5.0,4.0,799831,100169,900000,5911356.0,26.0,34.0,5.0,4.0,2.0,1.0,10.0,2.0,3.0,2.0,2.0,1.0,,,
2025-05-07T01:00:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,415.0,415.0,774953,50464,13895,7026.0,3357.0,2244.0,2243.0,7913.0,4559.0,33346.0,100,70,1575930,1292250.0,1.0,3.0,900000,1292250.0,857102,29301.0,4077.0,1887.0,1731.0,1217.0,161.0,1096.0,292.0,3136.0,100.0,14.0,12125744,4.0,77124.0,106904,17058.0,8.0,2.0,2.0,,4407445,3600000,267445.0,1.0,3.0,846782,53218,900000,267460.0,12.0,,,,1.0,,1.0,,,,,,,,
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,374.0,374.0,711440,48756,15831,12970.0,6345.0,4984.0,5447.0,13382.0,10881.0,69964.0,100,131,2939026,2651900.0,2.0,3.0,900000,2651900.0,828193,48846.0,7796.0,3361.0,3382.0,2266.0,360.0,2146.0,552.0,3098.0,100.0,23.0,12172296,13.0,143147.0,155005,22938.0,7.0,3.0,,,4567605,3600000,427605.0,1.0,3.0,840829,59171,900000,427946.0,9.0,1.0,,,,,,,,,,,,,
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,323.0,323.0,714098,51600,15222,14589.0,8406.0,4762.0,3772.0,14051.0,7918.0,65582.0,100,124,2788555,2499295.0,2.0,3.0,900000,2499295.0,833275,48964.0,6383.0,3072.0,2220.0,1701.0,234.0,1611.0,403.0,2137.0,100.0,20.0,12547048,8.0,134667.0,142507,30659.0,2.0,1.0,,,4511014,3600000,371014.0,1.0,4.0,794071,105929,900000,370616.0,3.0,,,,,,,,,,,,,,
2025-05-07T02:00:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,322.0,322.0,820811,50519,12620,2051.0,1077.0,589.0,544.0,2073.0,959.0,8757.0,100,28,630845,349271.0,,2.0,900000,349271.0,873169,19784.0,2778.0,951.0,883.0,585.0,78.0,550.0,111.0,1111.0,100.0,8.0,12118928,4.0,28226.0,80993,13119.0,1.0,,,2.0,4282266,3600000,142266.0,,3.0,847831,52169,900000,142569.0,1.0,2.0,,,,,,,,,,,,,
2025-05-07T02:15:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,346.0,346.0,736230,51947,14011,12181.0,5811.0,3946.0,3501.0,13033.0,5591.0,53749.0,100,104,2347829,2065573.0,2.0,3.0,900000,2065573.0,843885,45049.0,4268.0,2249.0,1825.0,1006.0,132.0,762.0,168.0,656.0,100.0,15.0,12538488,20.0,113338.0,131904,27520.0,6.0,7.0,,,4421866,3600000,281866.0,1.0,3.0,795092,104908,900000,281788.0,11.0,2.0,1.0,3.0,,,4.0,,,,,,,,
2025-05-07T02:30:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,355.0,355.0,734684,49531,15007,12306.0,5486.0,3793.0,3797.0,12695.0,7420.0,55281.0,100,107,2413471,2127041.0,2.0,3.0,900000,2127041.0,838577,47379.0,5164.0,2679.0,2644.0,1130.0,247.0,889.0,261.0,1030.0,100.0,17.0,12483368,33.0,118279.0,134957,27988.0,9.0,4.0,,1.0,4458465,3600000,318465.0,1.0,4.0,802080,97920,900000,318408.0,11.0,3.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,
2025-05-07T03:00:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,371.0,371.0,820745,52219,13030,2091.0,833.0,531.0,561.0,1669.0,996.0,7325.0,100,27,597337,308611.0,,2.0,900000,308611.0,871861,21092.0,2570.0,779.0,768.0,452.0,62.0,353.0,121.0,1942.0,100.0,8.0,12274656,8.0,22612.0,81078,18418.0,,1.0,,,4293066,3600000,153066.0,,3.0,828169,71831,900000,152878.0,1.0,,,,,,,,,,,,,,
2025-05-07T03:15:00.000-03:00:00,NE-MRBTS-341601,900,900,900,900,276.0,276.0,832295,53541,12343,299.0,54.0,24.0,44.0,85.0,125.0,1190.0,100,15,346814,52294.0,,2.0,900000,52294.0,885112,11668.0,1152.0,341.0,759.0,206.0,55.0,114.0,43.0,550.0,100.0,4.0,11898488,,6560.0,73488,7273.0,,,,,4211923,3600000,71923.0,,3.0,875189,24811,900000,71926.0,,,,,,,,,,,,,,,
