createAt,manageObject,M8011C86,M8011C95,M8011C101,M8011C107,M8011C189,M8011C191,M8011C25,M8011C26,M8011C27,M8011C28,M8011C29,M8011C30,M8011C31,M8011C32,M8011C33,M8011C34,M8011C36,M8011C37,M8011C51,M8011C54,M8011C57,M8011C58,M8011C79,M8011C226,M8011C12,M8011C13,M8011C14,M8011C15,M8011C16,M8011C17,M8011C18,M8011C19,M8011C20,M8011C21,M8011C23,M8011C24,M8011C38,M8011C39,M8011C40,M8011C41,M8011C42,M8011C43,M8011C44,M8011C45,M8011C46,M8011C47,M8011C49,M8011C50,M8011C55,M8011C56,M8011C60,M8011C61,M8011C74,M8011C227,M8011C297,M8011C298,M8011C323,M8011C324,M8011C325,M8011C326,M8011C327,M8011C328,M8011C317,M8011C321,M8011C322,M8011C318,M8011C319,M8011C320,M8011C59
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,79.0,79.0,661409,36857,9760,1211.0,421.0,3957.0,21743.0,10027.0,2889.0,151726.0,92,196,4412795,4152081.0,2.0,3.0,900000,4152081.0,715272,124046.0,39147.0,5618.0,6451.0,3234.0,267.0,5832.0,34.0,99.0,95.0,45.0,14436872,121.0,57579.0,102603,293461.0,149.0,7.0,6.0,159.0,4928857,3600000,788857.0,2.0,2.0,558355,341645,900000,787375.0,156.0,165.0,16.0,1.0,5.0,122.0,35.0,109.0,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,82.0,82.0,789139,46649,11857,1402.0,532.0,628.0,4866.0,3145.0,1065.0,40717.0,92,63,1425100,1162826.0,1.0,3.0,900000,1162826.0,811556,56846.0,9918.0,2864.0,3240.0,2208.0,214.0,12968.0,49.0,137.0,95.0,30.0,12693624,19.0,119164.0,72645,40867.0,16.0,1.0,,,4658365,3600000,518365.0,1.0,3.0,775800,124200,900000,518785.0,15.0,2.0,,,,,,,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,86.0,86.0,689808,40026,11016,2078.0,2217.0,1519.0,14445.0,10139.0,2839.0,125913.0,92,166,3724536,3461066.0,2.0,4.0,900000,3461066.0,737138,104676.0,25859.0,7275.0,7207.0,3283.0,814.0,10852.0,647.0,2249.0,100.0,48.0,13127688,619.0,260474.0,83697,98013.0,119.0,1.0,1.0,18.0,4979780,3600000,839780.0,2.0,4.0,720804,179196,900000,842080.0,97.0,42.0,3.0,1.0,,15.0,3.0,16.0,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,87.0,87.0,661021,39730,11058,2008.0,987.0,2784.0,17717.0,9678.0,2957.0,152060.0,92,194,4350711,4089137.0,2.0,3.0,900000,4089137.0,478906,283026.0,100691.0,14904.0,12122.0,3242.0,1055.0,4965.0,164.0,925.0,95.0,97.0,14234576,531.0,256293.0,153633,306673.0,53.0,356.0,178.0,2276.0,5824135,3600000,1684135.0,5.0,3.0,583286,316714,900000,1687661.0,791.0,2072.0,11.0,260.0,127.0,1795.0,526.0,1667.0,,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,60.0,60.0,482460,34631,10787,4579.0,3955.0,4709.0,34836.0,21506.0,6905.0,295632.0,92,371,8363046,8101492.0,6.0,4.0,900000,8101492.0,281429,383982.0,135498.0,28594.0,21160.0,9265.0,3768.0,13624.0,4435.0,18245.0,100.0,171.0,14976168,9234.0,664792.0,234570,407067.0,804.0,119.0,102.0,2348.0,7103457,3600000,2963457.0,8.0,4.0,490461,409539,900000,2959598.0,1599.0,1774.0,40.0,31.0,58.0,1467.0,670.0,926.0,15.0,12.0,3.0,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,48.0,48.0,838038,45710,11595,407.0,190.0,179.0,428.0,394.0,135.0,2924.0,92,16,365572,105038.0,,2.0,900000,105038.0,863886,29163.0,4118.0,405.0,376.0,255.0,21.0,1764.0,5.0,7.0,95.0,8.0,12631080,2.0,12123.0,63870,33032.0,,,,1.0,4283642,3600000,143642.0,,2.0,783598,116402,900000,143642.0,,1.0,,,,,,,,,,,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,70.0,70.0,772391,45275,12264,1587.0,749.0,1962.0,6300.0,3378.0,1188.0,54906.0,92,80,1799372,1539062.0,1.0,2.0,900000,1539062.0,635196,210482.0,33166.0,3414.0,4785.0,3089.0,283.0,9271.0,39.0,275.0,100.0,59.0,13770072,70.0,74905.0,158317,187554.0,26.0,22.0,19.0,138.0,5159406,3600000,1019406.0,3.0,3.0,641139,258861,900000,1019540.0,63.0,142.0,7.0,16.0,9.0,50.0,21.0,61.0,,,1.0,1.0,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,122.0,122.0,824798,46680,12271,1419.0,838.0,715.0,1695.0,1480.0,449.0,9655.0,92,27,615482,353404.0,,3.0,900000,353404.0,791830,70486.0,19544.0,3744.0,6049.0,3046.0,449.0,4426.0,63.0,363.0,95.0,29.0,13112704,46.0,57515.0,73489,76518.0,12.0,18.0,5.0,38.0,4646242,3600000,506242.0,1.0,4.0,723509,176491,900000,506108.0,24.0,49.0,4.0,14.0,3.0,24.0,18.0,27.0,,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,82.0,82.0,779450,46216,12920,2356.0,892.0,1005.0,5629.0,3611.0,1129.0,46792.0,92,72,1614860,1352886.0,1.0,3.0,900000,1352886.0,650435,176964.0,35584.0,7669.0,9373.0,3887.0,939.0,11819.0,460.0,2870.0,100.0,65.0,13900608,284.0,140648.0,108050,169234.0,39.0,4.0,26.0,176.0,5269458,3600000,1129458.0,3.0,4.0,624612,275388,900000,1131331.0,96.0,149.0,3.0,3.0,17.0,146.0,65.0,104.0,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,58.0,58.0,782555,44642,12113,1480.0,619.0,856.0,5941.0,3455.0,998.0,47341.0,92,71,1591295,1329813.0,1.0,3.0,900000,1329813.0,758344,94760.0,22962.0,4631.0,7354.0,2990.0,654.0,7720.0,157.0,428.0,100.0,38.0,13155376,115.0,93149.0,95976,103305.0,14.0,21.0,49.0,434.0,4810399,3600000,670399.0,2.0,4.0,718305,181695,900000,669059.0,205.0,313.0,4.0,7.0,6.0,232.0,91.0,158.0,,,,,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,68.0,68.0,605621,44155,14394,6058.0,2057.0,3213.0,23685.0,13771.0,4592.0,182454.0,92,242,5434923,5174105.0,4.0,3.0,900000,5174105.0,532287,63885.0,44214.0,26953.0,73856.0,47028.0,7423.0,90638.0,5590.0,8126.0,100.0,206.0,13962128,3763.0,549368.0,101987,162039.0,556.0,33.0,20.0,999.0,7739845,3600000,3599845.0,5.0,4.0,617352,282648,900000,3599312.0,709.0,899.0,42.0,13.0,9.0,667.0,214.0,517.0,3.0,1.0,2.0,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,67.0,67.0,505819,31356,8204,965.0,597.0,7212.0,32621.0,15668.0,4954.0,292604.0,92,356,8003070,7742636.0,4.0,3.0,900000,7742636.0,757993,70573.0,20234.0,6505.0,11237.0,9580.0,548.0,22508.0,152.0,670.0,100.0,55.0,15122312,464.0,59833.0,133872,395850.0,374.0,45.0,54.0,109.0,5107752,3600000,967752.0,2.0,4.0,472116,427884,900000,967875.0,259.0,323.0,17.0,5.0,3.0,19.0,13.0,31.0,,,,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,61.0,61.0,814032,45263,12021,1438.0,636.0,672.0,3223.0,1911.0,683.0,20121.0,92,40,890391,630757.0,1.0,3.0,900000,630757.0,792786,71526.0,15571.0,2751.0,3235.0,2136.0,240.0,10532.0,125.0,1098.0,100.0,32.0,12819336,108.0,68899.0,76553,79922.0,65.0,,,6.0,4697129,3600000,557129.0,1.0,3.0,759814,140186,900000,559450.0,28.0,43.0,,,,1.0,,1.0,,,,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,54.0,54.0,823754,45004,11627,904.0,617.0,431.0,2090.0,1455.0,420.0,13698.0,92,31,687851,427997.0,,3.0,900000,427997.0,858479,21912.0,3895.0,1158.0,1810.0,1224.0,123.0,11161.0,32.0,206.0,95.0,18.0,12442352,19.0,56511.0,64925,17715.0,20.0,1.0,1.0,2.0,4451687,3600000,311687.0,,3.0,807542,92458,900000,310801.0,16.0,8.0,,,1.0,1.0,2.0,,,,,,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,54.0,54.0,826421,43712,12858,1083.0,296.0,211.0,1531.0,1120.0,319.0,12449.0,92,31,699329,439655.0,1.0,3.0,900000,439655.0,655283,30976.0,5663.0,1857.0,6203.0,1845.0,165.0,196773.0,590.0,645.0,95.0,187.0,12344104,4.0,297236.0,71832,2848.0,,,,,7426133,3600000,3286133.0,3.0,3.0,819482,80518,900000,3284575.0,,,,,,,,,,,,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,68.0,68.0,732112,41111,11205,1814.0,977.0,1703.0,12325.0,7512.0,1912.0,89329.0,92,123,2773532,2512038.0,2.0,3.0,900000,2512038.0,840342,21906.0,2635.0,1637.0,2008.0,1785.0,121.0,29319.0,74.0,173.0,100.0,35.0,12412968,7.0,195470.0,67899,5917.0,3.0,,,,4757823,3600000,617823.0,1.0,3.0,810879,89121,900000,617823.0,3.0,,,,,,,,,,,,,,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,41.0,41.0,787037,43211,11120,460.0,3120.0,521.0,4791.0,4993.0,879.0,43868.0,92,67,1509220,1246954.0,1.0,2.0,900000,1246954.0,862069,10137.0,3798.0,1663.0,3262.0,2312.0,197.0,16558.0,3.0,1.0,95.0,22.0,12343232,,101417.0,63947,3178.0,1.0,,,,4524653,3600000,384653.0,,2.0,819596,80404,900000,385172.0,1.0,,,,,,,,,,,,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,51.0,51.0,821774,45046,11290,308.0,420.0,154.0,2127.0,1472.0,359.0,17050.0,92,33,743167,480297.0,,2.0,900000,480297.0,880802,6352.0,2085.0,1086.0,1405.0,945.0,106.0,7201.0,8.0,10.0,95.0,10.0,12313136,,45937.0,63460,1015.0,,,,,4315812,3600000,175812.0,,2.0,823371,76629,900000,175301.0,,,,,,,,,,,,,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,54.0,54.0,836350,45166,11665,589.0,213.0,180.0,640.0,577.0,169.0,4451.0,92,19,429122,169288.0,,2.0,900000,169288.0,833878,6098.0,1443.0,646.0,1375.0,1070.0,58.0,55386.0,8.0,38.0,95.0,52.0,12334648,1.0,84512.0,63488,5031.0,1.0,,,,5057062,3600000,917062.0,1.0,2.0,820689,79311,900000,917054.0,,1.0,,,,,,,1.0,,1.0,,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,44.0,44.0,824419,44530,11606,726.0,492.0,298.0,1959.0,1392.0,324.0,14254.0,92,30,683919,423989.0,,2.0,900000,423989.0,870089,8854.0,2434.0,1252.0,2162.0,1576.0,117.0,13334.0,45.0,137.0,95.0,17.0,12313120,1.0,59237.0,62870,858.0,,,,,4446952,3600000,306952.0,,3.0,823367,76633,900000,306952.0,,,,,,,,,,,,,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,44.0,44.0,795707,43414,11678,987.0,807.0,784.0,4729.0,3146.0,873.0,37875.0,92,59,1323551,1063485.0,1.0,3.0,900000,1063485.0,858948,15341.0,3119.0,1636.0,2361.0,1490.0,159.0,16728.0,59.0,159.0,95.0,22.0,12354032,4.0,93355.0,75766,4622.0,5.0,,,,4526110,3600000,386110.0,,3.0,817843,82157,900000,387319.0,4.0,1.0,,,,,,,,,,,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,46.0,46.0,770225,42122,11607,1114.0,976.0,1162.0,6929.0,4620.0,1330.0,59915.0,92,85,1932942,1673296.0,1.0,2.0,900000,1673296.0,846463,20230.0,3827.0,1990.0,3266.0,3670.0,183.0,19938.0,105.0,328.0,95.0,28.0,12396048,19.0,126536.0,79598,10128.0,3.0,,,4.0,4637274,3600000,497274.0,1.0,3.0,813362,86638,900000,496098.0,6.0,1.0,1.0,,,4.0,4.0,1.0,,,,,,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,37.0,37.0,727437,44540,11488,1295.0,831.0,2481.0,12003.0,7584.0,1949.0,90392.0,92,125,2815822,2536916.0,2.0,3.0,900000,2536916.0,837992,29306.0,4531.0,2083.0,3101.0,2457.0,218.0,20107.0,62.0,143.0,100.0,30.0,12491528,11.0,140302.0,110952,20026.0,1.0,,,,4651970,3600000,511970.0,1.0,3.0,801054,98946,900000,512150.0,1.0,,,,,,,,,,,,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,36.0,36.0,683177,38917,10850,1512.0,1493.0,1715.0,16119.0,10210.0,2716.0,133291.0,92,174,3907740,3640474.0,2.0,3.0,900000,3640474.0,812935,29487.0,9784.0,5189.0,6865.0,4136.0,572.0,30394.0,204.0,434.0,100.0,46.0,12557480,132.0,238282.0,113551,23121.0,3.0,,,,4933928,3600000,793928.0,1.0,3.0,792815,107185,900000,793803.0,1.0,2.0,,,,,,,,,,,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,28.0,28.0,624970,34841,10222,1834.0,1309.0,2356.0,21135.0,12467.0,3759.0,187107.0,92,235,5279909,5018627.0,3.0,3.0,900000,5018627.0,752601,33884.0,33147.0,9734.0,16594.0,9604.0,1163.0,42292.0,320.0,661.0,100.0,76.0,13256016,306.0,252938.0,164076,86515.0,49.0,,,,5451226,3600000,1311226.0,2.0,3.0,705215,194785,900000,1312432.0,34.0,15.0,,,,,,,,,,,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,27.0,27.0,640954,36645,11076,2061.0,1227.0,3671.0,19906.0,10930.0,3630.0,169900.0,92,217,4875908,4615346.0,3.0,2.0,900000,4615346.0,668495,104008.0,31549.0,10119.0,26374.0,23268.0,1725.0,33061.0,462.0,939.0,95.0,93.0,14006904,631.0,150124.0,168481,245952.0,156.0,,,,5739073,3600000,1599073.0,3.0,3.0,611449,288551,900000,1599673.0,88.0,68.0,,,,,,,,,,,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,29.0,29.0,661968,38344,11176,2145.0,1289.0,3174.0,17967.0,10019.0,3471.0,150447.0,92,195,4393158,4131448.0,3.0,3.0,900000,4131448.0,689056,84844.0,34840.0,10857.0,25448.0,20439.0,1787.0,31523.0,370.0,836.0,100.0,87.0,13846208,963.0,148439.0,155813,218521.0,170.0,,,,5645619,3600000,1505619.0,2.0,3.0,631846,268154,900000,1510227.0,114.0,56.0,,,,,,,,,,,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,31.0,31.0,679072,41976,11275,1755.0,1058.0,2265.0,16907.0,10261.0,3088.0,132343.0,92,175,3939720,3660526.0,2.0,3.0,900000,3660526.0,744670,50690.0,10688.0,6316.0,17822.0,21463.0,1053.0,46065.0,469.0,764.0,95.0,81.0,12980064,266.0,195837.0,155414,87482.0,52.0,,,,5553954,3600000,1413954.0,2.0,3.0,740381,159619,900000,1408423.0,31.0,21.0,,,,,,,,,,,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,27.0,27.0,668921,40198,11447,1875.0,1392.0,2983.0,19720.0,10772.0,3557.0,139135.0,92,185,4166682,3893856.0,3.0,3.0,900000,3893856.0,708117,60056.0,18168.0,10412.0,29952.0,21663.0,1569.0,49000.0,338.0,725.0,100.0,96.0,13239920,529.0,180742.0,169273,140948.0,121.0,1.0,,19.0,5810645,3600000,1670645.0,2.0,3.0,707495,192505,900000,1669775.0,108.0,33.0,,,,8.0,3.0,5.0,,,,,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,42.0,42.0,803300,47120,11415,742.0,261.0,213.0,3480.0,2302.0,666.0,30501.0,92,50,1119240,846026.0,1.0,3.0,900000,846026.0,864301,15865.0,2223.0,1185.0,1841.0,1447.0,96.0,12994.0,11.0,37.0,95.0,18.0,12387384,2.0,60865.0,73496,15308.0,,,,,4452163,3600000,312163.0,,3.0,814057,85943,900000,312066.0,,,,,,,,,,,,,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,37.0,37.0,837528,47041,11378,278.0,68.0,138.0,463.0,259.0,65.0,2782.0,92,16,353896,86526.0,,2.0,900000,86526.0,887446,6950.0,1771.0,207.0,478.0,316.0,19.0,2812.0,1.0,,85.0,5.0,12324024,,8453.0,66851,5382.0,1.0,,,,4223151,3600000,83151.0,,2.0,821990,78010,900000,83147.0,1.0,,,,,,,,,,,,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,31.0,31.0,840462,46667,11396,185.0,77.0,75.0,178.0,207.0,54.0,699.0,92,13,298191,32901.0,,1.0,900000,32901.0,892678,4051.0,415.0,135.0,170.0,168.0,7.0,2376.0,,,80.0,3.0,12290112,,8349.0,64702,442.0,,,,,4196978,3600000,56978.0,,1.0,826238,73762,900000,56978.0,,,,,,,,,,,,,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,37.0,37.0,842162,46299,11290,53.0,3.0,5.0,40.0,14.0,22.0,112.0,92,12,270305,6383.0,,1.0,900000,6383.0,897111,2006.0,98.0,28.0,60.0,62.0,1.0,634.0,,,80.0,1.0,12290256,,2442.0,63339,253.0,,,,,4158125,3600000,18125.0,,2.0,826218,73782,900000,18125.0,,,,,,,,,,,,,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,36.0,36.0,838895,48765,11286,30.0,13.0,16.0,98.0,54.0,22.0,821.0,92,13,297695,23709.0,,1.0,900000,23709.0,895002,4320.0,56.0,45.0,35.0,48.0,1.0,493.0,,,80.0,1.0,12293216,,1886.0,66292,430.0,,,,,4162481,3600000,22481.0,,2.0,825861,74139,900000,22481.0,,,,,,,,,,,,,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,35.0,35.0,839728,48600,11424,102.0,15.0,12.0,40.0,23.0,25.0,31.0,92,12,279863,6853.0,,1.0,900000,6853.0,891937,6373.0,384.0,74.0,116.0,83.0,6.0,1027.0,,,80.0,2.0,12295568,,3484.0,66778,1463.0,,,,,4179502,3600000,39502.0,,2.0,825574,74426,900000,39502.0,,,,,,,,,,,,,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,32.0,32.0,842194,46527,11265,7.0,2.0,,1.0,1.0,,3.0,92,12,265786,1020.0,,1.0,900000,1020.0,898014,1827.0,46.0,7.0,9.0,6.0,1.0,90.0,,,80.0,,12289816,,577.0,63495,220.0,,,,,4147457,3600000,7457.0,,1.0,826280,73720,900000,7457.0,,,,,,,,,,,,,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,30.0,30.0,843090,45646,11262,2.0,,,,,,,32,12,261687,417.0,,1.0,900000,417.0,899165,809.0,17.0,4.0,3.0,2.0,,,,,57.0,,12285800,,201.0,62549,151.0,,,,,4142684,3600000,2684.0,,1.0,826760,73240,900000,2684.0,,,,,,,,,,,,,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,30.0,30.0,842937,45799,11259,3.0,,,,,,2.0,32,12,262392,558.0,,1.0,900000,558.0,898911,993.0,23.0,2.0,3.0,9.0,3.0,56.0,,,80.0,,12286208,,388.0,62667,168.0,,,,,4144270,3600000,4270.0,,1.0,826704,73296,900000,4855.0,,,,,,,,,,,,,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,22.0,22.0,842912,45786,11263,5.0,,1.0,2.0,2.0,3.0,26.0,92,12,263073,1235.0,,1.0,900000,1235.0,898941,949.0,10.0,7.0,4.0,6.0,1.0,82.0,,,80.0,,12285904,,414.0,62694,87.0,,,,,4144435,3600000,4435.0,,1.0,826757,73243,900000,3850.0,,,,,,,,,,,,,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,30.0,30.0,843140,45309,11318,58.0,7.0,10.0,65.0,44.0,8.0,41.0,92,12,265161,5479.0,,2.0,900000,5479.0,897259,787.0,214.0,200.0,487.0,397.0,30.0,622.0,2.0,2.0,95.0,1.0,12289816,,1169.0,63306,1162.0,,,,,4164182,3600000,24182.0,,2.0,826273,73727,900000,24182.0,,,,,,,,,,,,,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,28.0,28.0,843536,45137,11266,15.0,1.0,5.0,3.0,2.0,1.0,34.0,92,12,260881,1675.0,,1.0,900000,1675.0,899336,351.0,26.0,6.0,4.0,11.0,1.0,265.0,,,80.0,,12287216,,710.0,62024,126.0,,,,,4145558,3600000,5558.0,,1.0,826598,73402,900000,5558.0,,,,,,,,,,,,,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,27.0,27.0,843377,45300,11260,15.0,9.0,1.0,17.0,1.0,,20.0,92,12,261569,1643.0,,2.0,900000,1643.0,898391,1222.0,110.0,5.0,27.0,33.0,2.0,210.0,,,80.0,,12286960,,1521.0,62241,179.0,,,,,4148214,3600000,8214.0,,1.0,826643,73357,900000,8214.0,,,,,,,,,,,,,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,27.0,27.0,842817,45908,11266,5.0,1.0,1.0,,,,2.0,92,12,262857,503.0,,1.0,900000,503.0,898843,1071.0,15.0,3.0,4.0,12.0,1.0,51.0,,,80.0,,12285304,,297.0,62812,128.0,,,,,4144374,3600000,4374.0,,1.0,826857,73143,900000,4409.0,,,,,,,,,,,,,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,29.0,29.0,818463,46297,11101,259.0,404.0,549.0,2460.0,1608.0,488.0,18371.0,92,35,783651,516021.0,,2.0,900000,516021.0,887672,4349.0,346.0,288.0,338.0,454.0,38.0,6515.0,,,80.0,7.0,12287040,,35861.0,64125,114.0,,,,,4265004,3600000,125004.0,,2.0,826627,73373,900000,124969.0,,,,,,,,,,,,,,,
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,22.0,22.0,837328,50830,11294,51.0,10.0,22.0,88.0,48.0,20.0,309.0,92,13,294056,11902.0,,1.0,900000,11902.0,891252,7454.0,53.0,51.0,26.0,59.0,2.0,1103.0,,,80.0,2.0,12285920,,2749.0,67827,96.0,,,,,4180967,3600000,40967.0,,2.0,826745,73255,900000,40973.0,,,,,,,,,,,,,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,39.0,39.0,837911,50771,11283,14.0,2.0,1.0,5.0,,,13.0,92,13,283266,1544.0,,1.0,900000,1544.0,892414,7249.0,121.0,39.0,39.0,36.0,1.0,101.0,,,80.0,1.0,12287232,,1199.0,67717,252.0,,,,,4165080,3600000,25080.0,,2.0,826576,73424,900000,25074.0,,,,,,,,,,,,,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,23.0,23.0,837521,51217,11254,8.0,,,,,,,40,13,283868,286.0,,1.0,900000,286.0,892720,7257.0,15.0,3.0,1.0,3.0,1.0,,,,64.0,1.0,12285120,,154.0,68099,88.0,,,,,4161991,3600000,21991.0,,2.0,826855,73145,900000,21991.0,,,,,,,,,,,,,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,21.0,21.0,839710,49021,11256,4.0,,2.0,3.0,,,4.0,92,12,275326,552.0,,1.0,900000,552.0,895197,4736.0,22.0,6.0,3.0,12.0,1.0,23.0,,,80.0,1.0,12286088,,261.0,65927,95.0,,,,,4154932,3600000,14932.0,,2.0,826739,73261,900000,14932.0,,,,,,,,,,,,,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,29.0,29.0,843044,45537,11304,31.0,3.0,5.0,19.0,15.0,9.0,33.0,92,12,264038,3160.0,,1.0,900000,3160.0,897283,991.0,62.0,27.0,135.0,407.0,6.0,1089.0,,,80.0,2.0,12285664,,2758.0,62469,121.0,,,,,4166133,3600000,26133.0,,1.0,826788,73212,900000,26133.0,,,,,,,,,,,,,,,
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,33.0,33.0,842579,45676,11413,69.0,16.0,15.0,65.0,71.0,4.0,92.0,92,12,270420,9466.0,,1.0,900000,9466.0,892202,3753.0,562.0,178.0,734.0,1114.0,22.0,1432.0,1.0,2.0,95.0,3.0,12293272,,7815.0,63386,673.0,,,,,4196994,3600000,56994.0,,2.0,825858,74142,900000,56994.0,,,,,,,,,,,,,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,26.0,26.0,842730,45888,11277,8.0,,11.0,36.0,32.0,1.0,17.0,92,12,265472,3458.0,,1.0,900000,3458.0,897432,1897.0,196.0,44.0,96.0,98.0,5.0,232.0,,,80.0,1.0,12286944,,2445.0,62727,210.0,,,,,4152660,3600000,12660.0,,2.0,826652,73348,900000,12660.0,,,,,,,,,,,,,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,30.0,30.0,841852,46851,11278,19.0,,,,,,,40,12,267056,838.0,,1.0,900000,838.0,897795,2148.0,45.0,3.0,4.0,3.0,1.0,1.0,,,71.0,,12288544,,272.0,63853,308.0,,,,,4146909,3600000,6909.0,,2.0,826439,73561,900000,6939.0,,,,,,,,,,,,,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,33.0,33.0,841556,47165,11258,6.0,6.0,1.0,,,1.0,7.0,92,12,268447,1101.0,,1.0,900000,1101.0,897446,2479.0,37.0,10.0,6.0,7.0,2.0,13.0,,,80.0,,12286104,,463.0,64137,210.0,,,,,4148233,3600000,8233.0,,2.0,826722,73278,900000,8203.0,,,,,,,,,,,,,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,28.0,28.0,842405,46267,11284,19.0,2.0,3.0,3.0,,1.0,16.0,92,12,265597,1843.0,,1.0,900000,1843.0,898392,1499.0,30.0,4.0,6.0,6.0,2.0,61.0,,,80.0,,12291240,,527.0,63265,328.0,,,,,4145901,3600000,5901.0,,1.0,825979,74021,900000,5960.0,,,,,,,,,,,,,,,
2025-05-07T03:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,27.0,27.0,841225,47489,11258,28.0,,,,,,,40,12,269434,572.0,,1.0,900000,572.0,897228,2743.0,18.0,,4.0,6.0,1.0,,,,64.0,,12287288,,266.0,64459,130.0,,,,,4148521,3600000,8521.0,,2.0,826680,73320,900000,8462.0,,,,,,,,,,,,,,,
