createAt,manageObject,M8204C22,M8204C59,M8204C62,M8204C111,M8204C119,M8204C94,M8204C95,M8204C56,M8204C74,M8204C10,M8204C23,M8204C32,M8204C33,M8204C48,M8204C49,M8204C50,M8204C65,M8204C66,M8204C67,M8204C68,M8204C69,M8204C99,M8204C103,M8204C107,M8204C115,M8204C88,M8204C51
2025-05-07T20:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630008,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T21:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T21:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629968,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T21:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T22:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630024,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T22:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629984,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T22:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629992,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T23:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T23:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630032,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T23:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T00:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T00:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630000,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T00:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630008,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T01:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T01:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629968,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T01:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T02:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630024,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T02:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629984,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T02:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629992,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T03:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T03:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630032,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T03:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T04:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T04:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630000,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T04:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630008,,,,,,,,,,,,,,,,,,,,,,
