createAt,manageObject,M8029C207,M8029C209,M8029C210,M8029C211,M8029C31,M8029C32,M8029C186,M8029C187,M8029C188,M8029C189,M8029C190,M8029C191,M8029C192,M8029C193,M8029C194,M8029C196,M8029C198,M8029C199,M8029C200,M8029C201,M8029C202,M8029C203,M8029C204,M8029C205,M8029C224,M8029C195,M8029C197,M8029C208
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,21.0,39.0,240.0,100,11.0,93.0,252.0,264.0,235.0,158.0,52.0,49.0,39.0,40.0,,,200.0,215.0,196.0,119.0,50.0,47.0,37.0,34.0,90000,,1.0,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,22.0,37.0,283.0,100,12.0,79.0,306.0,210.0,129.0,110.0,86.0,50.0,30.0,18.0,,,220.0,160.0,99.0,92.0,84.0,50.0,29.0,18.0,90000,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,23.0,31.0,186.0,100,14.0,89.0,44.0,40.0,35.0,22.0,15.0,6.0,9.0,5.0,1.0,,29.0,34.0,26.0,17.0,14.0,6.0,9.0,5.0,90000,,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,23.0,21.0,5014.0,100,12.0,66.0,143.0,179.0,243.0,154.0,9.0,12.0,33.0,6.0,,,134.0,163.0,208.0,148.0,9.0,10.0,20.0,6.0,90000,1.0,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,23.0,19.0,2100.0,100,10.0,62.0,401.0,594.0,384.0,414.0,24.0,84.0,54.0,79.0,,,377.0,510.0,330.0,335.0,24.0,84.0,54.0,79.0,90000,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,23.0,9.0,619.0,100,1.0,34.0,602.0,862.0,616.0,440.0,67.0,143.0,98.0,96.0,,,535.0,719.0,518.0,344.0,67.0,142.0,96.0,96.0,90000,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,22.0,7.0,442.0,100,4.0,33.0,439.0,282.0,178.0,129.0,124.0,75.0,47.0,44.0,1.0,,316.0,207.0,131.0,85.0,124.0,75.0,46.0,44.0,90000,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,22.0,7.0,731.0,100,,30.0,548.0,970.0,697.0,575.0,51.0,84.0,66.0,67.0,1.0,,498.0,886.0,631.0,508.0,51.0,84.0,66.0,67.0,90000,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,23.0,7.0,5099.0,100,1.0,37.0,607.0,1070.0,791.0,547.0,72.0,124.0,103.0,62.0,,1.0,535.0,946.0,684.0,485.0,72.0,124.0,103.0,62.0,90000,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,22.0,8.0,3509.0,100,4.0,37.0,414.0,1027.0,785.0,579.0,14.0,70.0,42.0,35.0,,1.0,400.0,949.0,737.0,544.0,14.0,70.0,41.0,35.0,90000,2.0,,
