createAt,manageObject,M8008C4,M8008C5,M8008C8,M8008C9,M8008C17,M8008C18,M8008C1,M8008C3,M8008C0,M8008C47,M8008C48,M8008C6,M8008C7,M8008C10,M8008C11
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-690503,1.0,1.0,1.0,1.0,32,322,3343.0,3125.0,,,,,,,
2025-05-08T10:00:00.000-04:00:00,NE-MRBTS-690503,2.0,2.0,2.0,2.0,36,913,3137.0,2938.0,,,,,,,
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-690503,2.0,1.0,2.0,1.0,30,67,2977.0,2761.0,1.0,,,,,,
2025-05-08T10:30:00.000-04:00:00,NE-MRBTS-690503,3.0,2.0,3.0,2.0,37,284,3223.0,3014.0,1.0,,,,,,
2025-05-08T11:00:00.000-04:00:00,NE-MRBTS-690503,,,,,39,262,3014.0,2815.0,,,,,,,
2025-05-08T11:15:00.000-04:00:00,NE-MRBTS-690503,1.0,,1.0,,37,261,2892.0,2708.0,1.0,,,,,,
2025-05-08T11:30:00.000-04:00:00,NE-MRBTS-690503,,,,,33,143,2813.0,2642.0,,,,,,,
2025-05-08T12:00:00.000-04:00:00,NE-MRBTS-690503,2.0,,2.0,,36,271,2868.0,2682.0,2.0,,,,,,
2025-05-08T12:15:00.000-04:00:00,NE-MRBTS-690503,,,,,36,477,2841.0,2674.0,,,,,,,
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-690503,,,,,34,119,2802.0,2614.0,,,,,,1.0,1.0
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-690503,2.0,1.0,2.0,1.0,35,255,3269.0,3062.0,1.0,,,,,,
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-690503,1.0,,1.0,,38,278,3105.0,2894.0,1.0,,,,,,
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-690503,4.0,2.0,4.0,2.0,35,140,3162.0,2942.0,2.0,,,,,,
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-690503,,,,,39,134,3563.0,3300.0,,,,,,,
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-690503,1.0,,1.0,,36,136,3674.0,3413.0,1.0,,,,,,
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-690503,2.0,,2.0,,38,262,3498.0,3286.0,2.0,,,,,,
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-690503,,,,,37,270,3333.0,3124.0,,,,,,,
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-690503,1.0,,1.0,,37,301,2910.0,2699.0,1.0,,,,,,
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-690503,2.0,1.0,2.0,1.0,36,286,3554.0,3235.0,1.0,,,,,,
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690513,,,,,37,80,3718.0,3415.0,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690513,,,,,34,71,3376.0,3146.0,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690513,,,,,32,65,3132.0,2928.0,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690513,,,,,45,492,3523.0,3255.0,,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690513,,,,,29,43,3536.0,3261.0,,,,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690513,,,,,31,55,3562.0,3260.0,,,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690513,,,,,64,807,3594.0,3310.0,,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690513,,,,,33,63,3432.0,3177.0,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690513,,,,,39,66,3342.0,3108.0,,,,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690513,,,,,45,744,3262.0,3031.0,,,,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690513,,,,,46,299,3947.0,3627.0,,,,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690513,,,,,37,102,3040.0,2820.0,,,,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690513,,,,,47,203,2423.0,2276.0,,,,,,,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-690513,,,,,36,78,2638.0,2444.0,,,,,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690513,1.0,1.0,,,61,748,2503.0,2334.0,,,,1.0,1.0,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690513,,,,,31,71,2316.0,2166.0,,,,,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690513,,,,,35,82,2357.0,2218.0,,,,,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690513,,,,,35,74,2118.0,2000.0,,,,,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690513,,,,,162,2612,2050.0,1965.0,,,,,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-690513,,,,,35,76,2103.0,1995.0,,,,,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-690513,,,,,33,77,2404.0,2247.0,,,,,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-690513,,,,,31,44,2113.0,2005.0,,,,,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690513,,,,,29,41,2008.0,1900.0,,,,,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690513,,,,,34,101,1741.0,1615.0,,,,,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690513,,,,,35,141,2247.0,2121.0,,,,,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690513,,,,,30,43,2141.0,2031.0,,,,,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-690513,,,,,32,60,2352.0,2214.0,,,,,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690513,,,,,32,46,2198.0,2091.0,,,,,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690513,,,,,27,32,1984.0,1912.0,,,,,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-690513,,,,,33,60,1995.0,1898.0,,,,,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690513,,,,,37,140,1986.0,1910.0,,,,,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-690513,,,,,30,43,1937.0,1856.0,,,,,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690513,,,,,32,52,1936.0,1834.0,,,,,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690513,,,,,30,48,1937.0,1866.0,,,,,,,
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-690513,,,,,28,32,2114.0,2006.0,,,,,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-690513,,,,,31,66,2028.0,1919.0,,,,,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690513,,,,,29,44,1952.0,1852.0,,,,,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690513,,,,,28,41,1950.0,1861.0,,,,,,,
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-690513,,,,,30,61,1970.0,1878.0,,,,,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690513,,,,,33,49,1927.0,1862.0,,,,,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-690513,,,,,29,38,1897.0,1814.0,,,,,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-690513,,,,,29,33,1807.0,1744.0,,,,,,,
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-690513,,,,,29,31,1738.0,1656.0,,,,,,,
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-690513,,,,,45,506,1898.0,1822.0,,,,,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690513,,,,,29,58,1922.0,1816.0,,,,,,,
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-690513,,,,,32,90,2021.0,1932.0,,,,,,,
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-690513,,,,,32,53,2027.0,1915.0,,,,,,,
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-690513,,,,,29,68,2269.0,2132.0,,,,,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690513,1.0,,1.0,,59,859,2508.0,2373.0,1.0,,,,,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-690513,,,,,42,295,2892.0,2705.0,,,,,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690513,,,,,38,84,2953.0,2781.0,,,,,,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690513,1.0,1.0,1.0,1.0,36,295,2940.0,2760.0,,,,,,,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-690513,,,,,36,51,3216.0,2984.0,,,,,,,
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-690513,,,,,87,807,3620.0,3299.0,,,,,,,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690513,,,,,35,52,2933.0,2747.0,,,,,,,
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-690513,,,,,47,461,3110.0,2898.0,,,,,,,
2025-05-07T08:30:00.000-04:00:00,NE-MRBTS-690513,,,,,38,59,3654.0,3386.0,,,,,,,
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-690513,,,,,72,547,3227.0,3001.0,,,,,,,
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-690513,,,,,35,93,3502.0,3216.0,,,,,,,
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-690513,,,,,33,55,3425.0,3164.0,,,,,,,
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-690513,,,,,35,131,3077.0,2854.0,,,,,,,
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-690513,,,,,36,53,3148.0,2902.0,,,,,,,
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-690513,,,,,35,82,2952.0,2749.0,,,,,,,
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-690513,,,,,34,72,2651.0,2494.0,,,,,,,
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-690513,,,,,32,67,2994.0,2808.0,,,,,,,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690513,,,,,38,149,3039.0,2851.0,,,,,,,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690513,,,,,33,83,2611.0,2483.0,,,,,,,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690513,1.0,,1.0,,34,58,2868.0,2707.0,1.0,,,,,,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690513,,,,,32,53,2836.0,2671.0,,,,,,,
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-690513,1.0,,1.0,,36,57,2825.0,2669.0,1.0,,,,,,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690513,,,,,45,481,3240.0,3000.0,,,,,,,
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-690513,,,,,36,60,3275.0,3068.0,,,,,,,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-690513,,,,,34,54,3079.0,2869.0,,,,,,,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-690513,,,,,36,51,3220.0,3013.0,,,,,,,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690513,,,,,55,1000,3212.0,2997.0,,,,,,,
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-690513,,,,,63,791,3298.0,3073.0,,,,,,,
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-690513,,,,,39,67,3171.0,2952.0,,,,,,,
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-690513,,,,,31,60,454.0,423.0,,,,,,,
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-690513,,,,,133,2882,2742.0,2575.0,,,,,,,
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-690513,,,,,33,53,2959.0,2783.0,,,,,,,
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-690513,,,,,36,62,3213.0,2992.0,,,,,,,
2025-05-07T17:00:00.000-04:00:00,NE-MRBTS-690513,,,,,37,61,3109.0,2903.0,,,,,,,
2025-05-07T17:15:00.000-04:00:00,NE-MRBTS-690513,2.0,2.0,2.0,2.0,42,341,3661.0,3361.0,,,,,,,
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-690513,5.0,5.0,4.0,4.0,30,69,3071.0,2836.0,,,,1.0,1.0,,
2025-05-07T18:00:00.000-04:00:00,NE-MRBTS-690513,,,,,35,68,2502.0,2351.0,,,,,,,
2025-05-07T18:15:00.000-04:00:00,NE-MRBTS-690513,,,,,31,52,2549.0,2409.0,,,,,,,
2025-05-07T18:30:00.000-04:00:00,NE-MRBTS-690513,,,,,37,68,2466.0,2338.0,,,,,,,
2025-05-07T19:00:00.000-04:00:00,NE-MRBTS-690513,,,,,38,141,2318.0,2222.0,,,,,,,
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-690513,,,,,31,54,2207.0,2095.0,,,,,,1.0,1.0
2025-05-07T19:30:00.000-04:00:00,NE-MRBTS-690513,,,,,35,84,2047.0,1950.0,,,,,,,
2025-05-07T20:00:00.000-04:00:00,NE-MRBTS-690513,,,,,29,141,2047.0,1934.0,,,,,,,
2025-05-07T20:15:00.000-04:00:00,NE-MRBTS-690513,,,,,29,70,2112.0,2025.0,,,,,,,
2025-05-07T20:30:00.000-04:00:00,NE-MRBTS-690513,,,,,32,59,1655.0,1586.0,,,,,,,
2025-05-07T21:00:00.000-04:00:00,NE-MRBTS-690513,,,,,31,55,2129.0,2023.0,,,,,,,
2025-05-07T21:15:00.000-04:00:00,NE-MRBTS-690513,,,,,52,541,2278.0,2155.0,,,,,,,
2025-05-07T21:30:00.000-04:00:00,NE-MRBTS-690513,,,,,29,57,1809.0,1739.0,,,,,,,
2025-05-07T22:00:00.000-04:00:00,NE-MRBTS-690513,,,,,79,292,2180.0,2065.0,,,,,,,
2025-05-07T22:15:00.000-04:00:00,NE-MRBTS-690513,,,,,34,95,2157.0,2039.0,,,,,,,
2025-05-07T22:30:00.000-04:00:00,NE-MRBTS-690513,,,,,61,384,2217.0,2092.0,,,,,,,
2025-05-07T23:00:00.000-04:00:00,NE-MRBTS-690513,,,,,30,44,2139.0,2027.0,,,,,,,
2025-05-07T23:15:00.000-04:00:00,NE-MRBTS-690513,1.0,,1.0,,36,91,2309.0,2196.0,1.0,,,,,,
2025-05-07T23:30:00.000-04:00:00,NE-MRBTS-690513,,,,,32,52,2332.0,2194.0,,,,,,,
2025-05-08T00:00:00.000-04:00:00,NE-MRBTS-690513,,,,,32,49,2304.0,2163.0,,,,,,,
2025-05-08T00:15:00.000-04:00:00,NE-MRBTS-690513,1.0,1.0,1.0,1.0,82,1271,2235.0,2121.0,,,,,,,
2025-05-08T00:30:00.000-04:00:00,NE-MRBTS-690513,,,,,35,70,2114.0,2009.0,,,,,,,
2025-05-08T01:00:00.000-04:00:00,NE-MRBTS-690513,,,,,29,37,1936.0,1846.0,,,,,,,
2025-05-08T01:15:00.000-04:00:00,NE-MRBTS-690513,,,,,32,60,1837.0,1758.0,,,,,,,
2025-05-08T01:30:00.000-04:00:00,NE-MRBTS-690513,,,,,29,32,1937.0,1826.0,,,,,,,
2025-05-08T02:00:00.000-04:00:00,NE-MRBTS-690513,,,,,30,44,1956.0,1859.0,,,,,,,
2025-05-08T02:15:00.000-04:00:00,NE-MRBTS-690513,,,,,30,52,1960.0,1874.0,,,,,,,
2025-05-08T02:30:00.000-04:00:00,NE-MRBTS-690513,,,,,27,32,1857.0,1805.0,,,,,,,
2025-05-08T03:00:00.000-04:00:00,NE-MRBTS-690513,,,,,28,40,2005.0,1931.0,,,,,,,
2025-05-08T03:15:00.000-04:00:00,NE-MRBTS-690513,,,,,28,60,2009.0,1907.0,,,,,,,
2025-05-08T03:30:00.000-04:00:00,NE-MRBTS-690513,,,,,27,42,1936.0,1864.0,,,,,,,
2025-05-08T04:00:00.000-04:00:00,NE-MRBTS-690513,,,,,56,460,1961.0,1895.0,,,,,,1.0,1.0
2025-05-08T04:15:00.000-04:00:00,NE-MRBTS-690513,,,,,28,65,2060.0,1984.0,,,,,,,
2025-05-08T04:30:00.000-04:00:00,NE-MRBTS-690513,,,,,28,53,2063.0,1956.0,,,,,,,
2025-05-08T05:00:00.000-04:00:00,NE-MRBTS-690513,,,,,66,474,1903.0,1836.0,,,,,,,
2025-05-08T05:15:00.000-04:00:00,NE-MRBTS-690513,,,,,39,83,2044.0,1958.0,,,,,,,
2025-05-08T05:30:00.000-04:00:00,NE-MRBTS-690513,,,,,42,165,2167.0,2050.0,,,,,,,
2025-05-08T06:00:00.000-04:00:00,NE-MRBTS-690513,3.0,,3.0,,46,389,2760.0,2612.0,3.0,,,,,,
2025-05-08T06:15:00.000-04:00:00,NE-MRBTS-690513,,,,,39,123,2752.0,2595.0,,,,,,,
2025-05-08T06:30:00.000-04:00:00,NE-MRBTS-690513,,,,,43,141,2883.0,2721.0,,,,,,,
2025-05-08T07:00:00.000-04:00:00,NE-MRBTS-690513,,,,,33,45,3001.0,2784.0,,,,,,,
2025-05-08T07:15:00.000-04:00:00,NE-MRBTS-690513,,,,,63,895,3224.0,2984.0,,,,,,,
2025-05-08T07:30:00.000-04:00:00,NE-MRBTS-690513,,,,,33,51,3631.0,3324.0,,,,,,,
2025-05-08T08:00:00.000-04:00:00,NE-MRBTS-690513,,,,,33,63,3417.0,3179.0,,,,,,,
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-690513,,,,,102,2710,3321.0,3092.0,,,,,,,
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-690513,,,,,31,73,3434.0,3208.0,,,,,,,
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-690513,,,,,82,982,3415.0,3140.0,,,,,,,
2025-05-08T09:15:00.000-04:00:00,NE-MRBTS-690513,,,,,39,94,3189.0,2939.0,,,,,,,
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-690513,,,,,32,49,3344.0,3134.0,,,,,,,
2025-05-08T10:00:00.000-04:00:00,NE-MRBTS-690513,,,,,35,60,3136.0,2934.0,,,,,,,
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-690513,1.0,1.0,1.0,1.0,36,64,2978.0,2776.0,,,,,,1.0,1.0
2025-05-08T10:30:00.000-04:00:00,NE-MRBTS-690513,,,,,35,69,3222.0,3024.0,,,,,,,
2025-05-08T11:00:00.000-04:00:00,NE-MRBTS-690513,,,,,38,68,3015.0,2827.0,,,,,,,
2025-05-08T11:15:00.000-04:00:00,NE-MRBTS-690513,,,,,33,50,2891.0,2707.0,,,,,,,
2025-05-08T11:30:00.000-04:00:00,NE-MRBTS-690513,,,,,33,69,2814.0,2632.0,,,,,,,
2025-05-08T12:00:00.000-04:00:00,NE-MRBTS-690513,,,,,34,51,2867.0,2676.0,,,,,,,
2025-05-08T12:15:00.000-04:00:00,NE-MRBTS-690513,,,,,58,819,2840.0,2673.0,,,,,,,
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-690513,1.0,,1.0,,30,51,2803.0,2606.0,1.0,,,,,1.0,1.0
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-690513,,,,,33,55,3270.0,3064.0,,,,,,,
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-690513,,,,,31,47,3106.0,2891.0,,,,,,,
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-690513,,,,,37,84,3162.0,2954.0,,,,,,,
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-690513,,,,,35,59,3563.0,3293.0,,,,,,,
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-690513,,,,,35,102,3674.0,3389.0,,,,,,,
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-690513,,,,,33,71,3497.0,3293.0,,,,,,,
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-690513,,,,,37,54,3335.0,3127.0,,,,,,,
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-690513,3.0,3.0,3.0,3.0,88,800,2910.0,2700.0,,,,,,,
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-690513,,,,,40,94,2648.0,2428.0,,,,,,,
2025-05-06T15:00:00.000-03:00:00,NE-MRBTS-771801,1.0,1.0,1.0,1.0,34,72,274.0,273.0,,34.0,35.0,,,,
2025-05-06T15:15:00.000-03:00:00,NE-MRBTS-771801,3.0,3.0,3.0,3.0,38,289,237.0,235.0,,32.0,33.0,,,,
2025-05-06T15:30:00.000-03:00:00,NE-MRBTS-771801,1.0,1.0,1.0,1.0,41,933,247.0,247.0,,33.0,38.0,,,,
2025-05-06T16:00:00.000-03:00:00,NE-MRBTS-771801,1.0,1.0,1.0,1.0,50,880,169.0,169.0,,38.0,46.0,,,,
2025-05-06T16:15:00.000-03:00:00,NE-MRBTS-771801,1.0,1.0,1.0,1.0,34,133,253.0,250.0,,36.0,44.0,,,,
2025-05-06T16:30:00.000-03:00:00,NE-MRBTS-771801,3.0,3.0,3.0,3.0,32,78,246.0,246.0,,34.0,36.0,,,,
2025-05-06T17:00:00.000-03:00:00,NE-MRBTS-771801,,,,,37,140,284.0,280.0,,32.0,36.0,,,,
2025-05-06T17:15:00.000-03:00:00,NE-MRBTS-771801,,,,,49,746,279.0,278.0,,31.0,32.0,,,,
2025-05-06T17:30:00.000-03:00:00,NE-MRBTS-771801,2.0,2.0,2.0,2.0,37,134,277.0,269.0,,32.0,38.0,,,,
2025-05-06T18:00:00.000-03:00:00,NE-MRBTS-771801,,,,,47,1630,276.0,276.0,,32.0,33.0,,,,
2025-05-06T18:15:00.000-03:00:00,NE-MRBTS-771801,,,,,49,1332,221.0,220.0,,30.0,32.0,,,,
2025-05-06T18:30:00.000-03:00:00,NE-MRBTS-771801,,,,,40,515,228.0,227.0,,33.0,36.0,,,,
2025-05-06T19:00:00.000-03:00:00,NE-MRBTS-771801,,,,,51,492,161.0,159.0,,46.0,59.0,,,,
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-771801,,,,,51,338,192.0,192.0,,41.0,41.0,,,,
2025-05-06T19:30:00.000-03:00:00,NE-MRBTS-771801,,,,,61,805,159.0,158.0,,,,,,,
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-771801,,,,,58,1220,182.0,181.0,,,,,,,
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-771801,,,,,40,142,141.0,137.0,,,,,,,
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-771801,,,,,62,507,206.0,204.0,,,,,,,
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-771801,,,,,37,142,88.0,88.0,,,,,,,
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-771801,,,,,41,289,125.0,124.0,,,,,,,
2025-05-06T21:30:00.000-03:00:00,NE-MRBTS-771801,,,,,41,272,236.0,235.0,,,,,,,
2025-05-06T22:00:00.000-03:00:00,NE-MRBTS-771801,,,,,52,685,138.0,138.0,,,,,,,
2025-05-06T22:15:00.000-03:00:00,NE-MRBTS-771801,,,,,41,263,86.0,86.0,,,,,,,
2025-05-06T22:30:00.000-03:00:00,NE-MRBTS-771801,,,,,36,134,131.0,131.0,,,,,,,
2025-05-06T23:00:00.000-03:00:00,NE-MRBTS-771801,,,,,33,133,104.0,104.0,,,,,,,
2025-05-06T23:15:00.000-03:00:00,NE-MRBTS-771801,,,,,33,133,115.0,115.0,,,,,,,
2025-05-06T23:30:00.000-03:00:00,NE-MRBTS-771801,,,,,44,294,184.0,183.0,,,,,,,
2025-05-07T00:00:00.000-03:00:00,NE-MRBTS-771801,,,,,57,1664,144.0,144.0,,,,,,,
2025-05-07T00:15:00.000-03:00:00,NE-MRBTS-771801,,,,,38,133,135.0,133.0,,,,,,,
2025-05-07T00:30:00.000-03:00:00,NE-MRBTS-771801,,,,,35,134,116.0,116.0,,,,,,,
2025-05-07T01:00:00.000-03:00:00,NE-MRBTS-771801,,,,,31,133,110.0,110.0,,,,,,,
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-771801,,,,,33,133,132.0,132.0,,,,,,,
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-771801,,,,,48,544,96.0,96.0,,,,,,,
2025-05-07T02:00:00.000-03:00:00,NE-MRBTS-771801,,,,,32,134,127.0,127.0,,,,,,,
2025-05-07T02:15:00.000-03:00:00,NE-MRBTS-771801,,,,,37,134,161.0,160.0,,,,,,,
2025-05-07T02:30:00.000-03:00:00,NE-MRBTS-771801,,,,,32,50,123.0,123.0,,,,,,,
2025-05-07T03:00:00.000-03:00:00,NE-MRBTS-771801,,,,,27,52,62.0,62.0,,,,,,,
2025-05-07T03:15:00.000-03:00:00,NE-MRBTS-771801,,,,,31,62,116.0,115.0,,,,,,,
2025-05-07T03:30:00.000-03:00:00,NE-MRBTS-771801,,,,,36,262,97.0,97.0,,,,,,,
2025-05-07T04:00:00.000-03:00:00,NE-MRBTS-771801,,,,,30,133,108.0,108.0,,,,,,,
2025-05-07T04:15:00.000-03:00:00,NE-MRBTS-771801,,,,,30,78,102.0,101.0,,,,,,,
2025-05-07T04:30:00.000-03:00:00,NE-MRBTS-771801,,,,,30,52,91.0,91.0,,,,,,,
2025-05-07T05:00:00.000-03:00:00,NE-MRBTS-771801,,,,,28,140,111.0,111.0,,,,,,,
2025-05-07T05:15:00.000-03:00:00,NE-MRBTS-771801,1.0,,1.0,,31,141,75.0,75.0,1.0,,,,,,
2025-05-07T05:30:00.000-03:00:00,NE-MRBTS-771801,,,,,34,276,128.0,128.0,,,,,,,
2025-05-07T06:00:00.000-03:00:00,NE-MRBTS-771801,1.0,,1.0,,35,134,124.0,124.0,1.0,,,,,,
2025-05-07T06:15:00.000-03:00:00,NE-MRBTS-771801,,,,,42,779,149.0,148.0,,,,,,,
2025-05-07T06:30:00.000-03:00:00,NE-MRBTS-771801,1.0,,1.0,,36,470,134.0,133.0,1.0,,,,,,
2025-05-07T07:00:00.000-03:00:00,NE-MRBTS-771801,1.0,,1.0,,36,185,215.0,214.0,1.0,,,,,,
2025-05-07T07:15:00.000-03:00:00,NE-MRBTS-771801,,,,,35,141,210.0,209.0,,,,,,,
2025-05-07T07:30:00.000-03:00:00,NE-MRBTS-771801,1.0,,1.0,,41,1061,187.0,186.0,1.0,,,,,,
2025-05-07T08:00:00.000-03:00:00,NE-MRBTS-771801,1.0,,1.0,,61,2324,214.0,212.0,1.0,,,,,,
2025-05-07T08:15:00.000-03:00:00,NE-MRBTS-771801,,,,,34,99,242.0,240.0,,,,,,,
2025-05-07T08:30:00.000-03:00:00,NE-MRBTS-771801,,,,,42,798,400.0,389.0,,,,,,,
2025-05-07T09:00:00.000-03:00:00,NE-MRBTS-771801,1.0,,1.0,,36,269,313.0,309.0,1.0,,,,,,
2025-05-07T09:15:00.000-03:00:00,NE-MRBTS-771801,2.0,,2.0,,36,206,283.0,270.0,2.0,,,,,,
2025-05-07T09:30:00.000-03:00:00,NE-MRBTS-771801,1.0,1.0,1.0,1.0,39,279,294.0,294.0,,,,,,,
2025-05-07T10:00:00.000-03:00:00,NE-MRBTS-771801,,,,,54,2163,273.0,272.0,,,,,,,
2025-05-07T10:15:00.000-03:00:00,NE-MRBTS-771801,,,,,41,583,244.0,243.0,,,,,,,
2025-05-07T10:30:00.000-03:00:00,NE-MRBTS-771801,1.0,1.0,1.0,1.0,36,86,291.0,289.0,,,,,,,
2025-05-07T11:00:00.000-03:00:00,NE-MRBTS-771801,,,,,36,141,268.0,268.0,,,,,,,
2025-05-07T11:15:00.000-03:00:00,NE-MRBTS-771801,,,,,34,104,295.0,292.0,,,,,,,
