createAt,manageObject,M8051C11,M8051C16,M8051C17,M8051C23,M8051C24,M8051C34,M8051C44,M8051C52,M8051C54,M8051C55,M8051C56,M8051C57,M8051C58,M8051C60,M8051C61,M8051C62,M8051C63,M8051C64,M8051C65,M8051C68,M8051C71,M8051C73,M8051C74,M8051C75,M8051C79,M8051C80,M8051C81,M8051C83,M8051C86,M8051C87,M8051C88,M8051C89,M8051C90,M8051C121,M8051C122,M8051C148,M8051C149,M8051C152,M8051C155,M8051C161,M8051C162,M8051C171,M8051C179,M8051C132,M8051C133,M8051C165,M8051C101,M8051C102,M8051C105,M8051C106,M8051C107,M8051C108,M8051C115,M8051C95,M8051C98,M8051C99,M8051C100,M8051C103,M8051C104,M8051C109,M8051C110,M8051C125,M8051C126,M8051C66,M8051C72,M8051C51,M8051C136,M8051C82,M8051C67,M8051C15,M8051C85,M8051C6,M8051C14,M8051C31,M8051C37,M8051C41,M8051C47,M8051C70,M8051C159,M8051C160,M8051C8,M8051C50,M8051C153,M8051C1,M8051C46,M8051C36,M8051C40,M8051C91,M8051C0,M8051C9,M8051C180,M8051C4
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,2.0,1.0,71.0,4.0,2.0,2.0,4.0,4.0,54.0,3.0,7.0,3.0,7.0,2916.0,900,2910.0,900,3.0,3.0,2.0,54.0,1.0,1.0,1.0,7.0,7.0,1.0,3.0,3.0,1.0,4.0,3.0,4.0,124.0,71.0,2.0,43.0,7.0,1.0,4.0,1.0,2.0,1.0,327.0,7.0,7.0,288218.0,900000,203213.0,900000,103.0,3.0,103.0,900,101.0,293036.0,900000,187403.0,900000,101.0,3.0,121.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,2.0,1.0,28.0,4.0,1.0,2.0,4.0,4.0,63.0,3.0,7.0,3.0,7.0,3022.0,900,3020.0,900,3.0,3.0,2.0,63.0,1.0,1.0,1.0,7.0,5.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,91.0,28.0,2.0,37.0,7.0,1.0,4.0,1.0,1.0,1.0,343.0,7.0,7.0,138340.0,900000,75881.0,900000,104.0,3.0,104.0,900,104.0,159802.0,900000,93369.0,900000,104.0,3.0,143.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,2.0,2.0,56.0,5.0,2.0,2.0,3.0,4.0,127.0,5.0,8.0,5.0,8.0,4187.0,900,4184.0,900,5.0,4.0,2.0,127.0,2.0,1.0,2.0,8.0,7.0,1.0,2.0,3.0,1.0,5.0,3.0,5.0,232.0,56.0,2.0,101.0,8.0,2.0,5.0,2.0,2.0,2.0,473.0,8.0,8.0,294868.0,900000,199181.0,900000,117.0,5.0,117.0,900,113.0,295936.0,900000,179843.0,900000,113.0,4.0,172.0,7.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,1.0,2.0,108.0,6.0,3.0,1.0,4.0,5.0,77.0,3.0,7.0,3.0,7.0,3077.0,900,3075.0,900,3.0,3.0,1.0,77.0,2.0,1.0,2.0,7.0,6.0,2.0,2.0,3.0,1.0,6.0,3.0,6.0,207.0,108.0,2.0,53.0,7.0,2.0,6.0,2.0,3.0,1.0,346.0,7.0,7.0,284411.0,900000,213177.0,900000,106.0,3.0,106.0,900,110.0,534748.0,900000,442501.0,900000,110.0,3.0,133.0,4.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,2.0,2.0,149.0,5.0,3.0,2.0,3.0,5.0,66.0,4.0,7.0,4.0,7.0,3538.0,900,3535.0,900,4.0,3.0,1.0,66.0,2.0,1.0,2.0,7.0,6.0,1.0,2.0,3.0,1.0,5.0,3.0,5.0,222.0,149.0,2.0,51.0,7.0,2.0,5.0,2.0,3.0,1.0,396.0,7.0,7.0,576195.0,900000,517201.0,900000,130.0,5.0,130.0,900,139.0,985779.0,900000,736297.0,900000,139.0,6.0,200.0,6.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,,1.0,72.0,3.0,2.0,,2.0,3.0,12.0,1.0,4.0,1.0,4.0,1196.0,900,1187.0,900,1.0,1.0,,12.0,1.0,,1.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,85.0,72.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,134.0,4.0,4.0,37388.0,900000,10330.0,900000,101.0,2.0,101.0,900,101.0,45005.0,900000,36049.0,900000,101.0,2.0,107.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,72.0,3.0,2.0,1.0,3.0,3.0,18.0,2.0,6.0,2.0,6.0,2008.0,900,2004.0,900,2.0,2.0,1.0,18.0,1.0,,1.0,6.0,6.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,90.0,72.0,,,6.0,1.0,3.0,1.0,2.0,,228.0,6.0,6.0,137793.0,900000,88578.0,900000,103.0,3.0,103.0,900,104.0,325735.0,900000,269322.0,900000,104.0,3.0,122.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,96.0,3.0,2.0,2.0,3.0,3.0,38.0,3.0,6.0,3.0,5.0,2729.0,900,2722.0,900,3.0,3.0,1.0,38.0,1.0,,1.0,5.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,133.0,96.0,,,5.0,1.0,3.0,1.0,2.0,1.0,313.0,5.0,5.0,158844.0,900000,32064.0,900000,106.0,3.0,106.0,900,105.0,189008.0,900000,111188.0,900000,105.0,3.0,130.0,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,83.0,3.0,2.0,1.0,3.0,2.0,55.0,3.0,5.0,3.0,5.0,2480.0,900,2475.0,900,3.0,3.0,1.0,55.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,138.0,83.0,,,5.0,1.0,2.0,1.0,2.0,1.0,286.0,5.0,5.0,163386.0,900000,88132.0,900000,110.0,4.0,110.0,900,113.0,386914.0,900000,266148.0,900000,113.0,4.0,155.0,5.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,,1.0,54.0,3.0,2.0,1.0,3.0,2.0,60.0,2.0,4.0,2.0,4.0,1881.0,900,1876.0,900,2.0,2.0,,60.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,114.0,54.0,,,4.0,1.0,2.0,1.0,2.0,1.0,215.0,5.0,5.0,134882.0,900000,78815.0,900000,111.0,3.0,111.0,900,121.0,235892.0,900000,150989.0,900000,121.0,4.0,125.0,4.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,2.0,,23.0,2.0,1.0,3.0,4.0,2.0,10.0,3.0,5.0,3.0,5.0,2754.0,900,2750.0,900,3.0,3.0,1.0,10.0,,,,5.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,34.0,23.0,1.0,1.0,5.0,,2.0,,1.0,,312.0,5.0,5.0,368410.0,900000,319471.0,900000,115.0,4.0,115.0,900,124.0,679919.0,900000,434632.0,900000,124.0,4.0,161.0,5.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,2.0,1.0,71.0,5.0,2.0,2.0,4.0,4.0,64.0,4.0,7.0,4.0,7.0,3475.0,900,3469.0,900,4.0,4.0,,64.0,2.0,1.0,2.0,7.0,7.0,2.0,2.0,2.0,1.0,5.0,2.0,5.0,189.0,71.0,1.0,10.0,7.0,1.0,5.0,2.0,2.0,1.0,387.0,7.0,7.0,422188.0,900000,375225.0,900000,106.0,4.0,106.0,900,106.0,238602.0,900000,152505.0,900000,106.0,4.0,150.0,5.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,93.0,4.0,1.0,1.0,3.0,3.0,32.0,3.0,6.0,3.0,6.0,2938.0,900,2931.0,900,3.0,3.0,,32.0,2.0,,2.0,6.0,6.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,187.0,93.0,1.0,13.0,6.0,1.0,4.0,2.0,1.0,1.0,328.0,6.0,6.0,89179.0,900000,49095.0,900000,105.0,4.0,105.0,900,105.0,154866.0,900000,113966.0,900000,105.0,3.0,131.0,4.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,1.0,2.0,100.0,4.0,1.0,1.0,2.0,3.0,99.0,3.0,5.0,3.0,5.0,3020.0,900,3018.0,900,3.0,2.0,,99.0,2.0,1.0,2.0,5.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,200.0,100.0,2.0,88.0,5.0,2.0,4.0,2.0,1.0,2.0,337.0,5.0,5.0,75957.0,900000,32245.0,900000,104.0,3.0,104.0,900,103.0,72037.0,900000,44622.0,900000,103.0,3.0,123.0,4.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,,2.0,87.0,3.0,1.0,1.0,2.0,3.0,105.0,3.0,5.0,3.0,5.0,2502.0,900,2499.0,900,3.0,2.0,,105.0,2.0,1.0,2.0,5.0,4.0,1.0,,2.0,,3.0,2.0,3.0,192.0,87.0,2.0,87.0,5.0,2.0,3.0,2.0,1.0,2.0,279.0,6.0,6.0,84894.0,900000,60978.0,900000,104.0,3.0,104.0,900,102.0,265826.0,900000,248456.0,900000,102.0,3.0,122.0,4.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,54.0,4.0,1.0,1.0,2.0,3.0,26.0,3.0,5.0,3.0,5.0,2263.0,900,2258.0,900,3.0,2.0,,26.0,1.0,,1.0,5.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,119.0,54.0,1.0,19.0,5.0,1.0,4.0,1.0,1.0,1.0,253.0,5.0,5.0,158192.0,900000,139958.0,900000,102.0,3.0,102.0,900,103.0,146555.0,900000,66369.0,900000,103.0,3.0,117.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,,1.0,95.0,2.0,1.0,1.0,2.0,2.0,15.0,2.0,4.0,2.0,4.0,1603.0,900,1603.0,900,2.0,2.0,,15.0,1.0,,1.0,4.0,4.0,1.0,1.0,1.0,,2.0,1.0,2.0,110.0,95.0,1.0,13.0,4.0,1.0,2.0,1.0,1.0,1.0,179.0,4.0,4.0,81967.0,900000,65606.0,900000,100.0,2.0,100.0,900,100.0,70830.0,900000,40131.0,900000,100.0,2.0,105.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,,1.0,105.0,3.0,2.0,,2.0,3.0,14.0,2.0,4.0,2.0,4.0,1419.0,900,1419.0,900,2.0,1.0,,14.0,1.0,,1.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,118.0,105.0,1.0,10.0,4.0,1.0,3.0,1.0,2.0,1.0,159.0,4.0,4.0,42272.0,900000,27487.0,900000,101.0,2.0,101.0,900,101.0,33015.0,900000,19766.0,900000,101.0,2.0,108.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,,1.0,60.0,3.0,1.0,1.0,2.0,3.0,18.0,1.0,4.0,1.0,4.0,1335.0,900,1333.0,900,1.0,1.0,,18.0,1.0,,1.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,77.0,60.0,2.0,10.0,4.0,1.0,3.0,1.0,1.0,1.0,150.0,4.0,4.0,49017.0,900000,23473.0,900000,100.0,2.0,100.0,900,100.0,79644.0,900000,67241.0,900000,100.0,2.0,106.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,,1.0,103.0,4.0,2.0,,1.0,4.0,34.0,2.0,4.0,2.0,4.0,1648.0,900,1645.0,900,2.0,2.0,,34.0,1.0,,1.0,4.0,3.0,1.0,,2.0,,4.0,2.0,4.0,137.0,103.0,1.0,22.0,4.0,1.0,4.0,1.0,2.0,1.0,183.0,4.0,4.0,48130.0,900000,28619.0,900000,102.0,3.0,102.0,900,102.0,51924.0,900000,32013.0,900000,102.0,2.0,115.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,,1.0,78.0,3.0,1.0,1.0,1.0,3.0,65.0,2.0,4.0,2.0,4.0,2081.0,900,2080.0,900,2.0,2.0,,65.0,1.0,1.0,1.0,4.0,3.0,1.0,,2.0,,3.0,2.0,3.0,142.0,78.0,2.0,61.0,4.0,1.0,3.0,1.0,1.0,1.0,233.0,4.0,4.0,90403.0,900000,67465.0,900000,106.0,3.0,106.0,900,104.0,75317.0,900000,44508.0,900000,104.0,3.0,123.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,,1.0,86.0,3.0,1.0,1.0,1.0,3.0,42.0,2.0,4.0,2.0,4.0,1978.0,900,1974.0,900,2.0,2.0,,42.0,1.0,,1.0,4.0,3.0,1.0,,2.0,,3.0,2.0,3.0,127.0,86.0,2.0,40.0,4.0,1.0,3.0,1.0,1.0,1.0,220.0,4.0,4.0,105443.0,900000,95297.0,900000,106.0,3.0,106.0,900,103.0,92905.0,900000,58147.0,900000,103.0,2.0,122.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,,1.0,64.0,3.0,1.0,1.0,1.0,3.0,31.0,2.0,4.0,2.0,4.0,1754.0,900,1754.0,900,2.0,2.0,,31.0,1.0,,1.0,4.0,3.0,1.0,,2.0,,3.0,2.0,3.0,95.0,64.0,1.0,20.0,4.0,1.0,3.0,1.0,1.0,1.0,195.0,4.0,4.0,142003.0,900000,141374.0,900000,103.0,3.0,103.0,900,103.0,113640.0,900000,62862.0,900000,103.0,3.0,113.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,,1.0,71.0,4.0,2.0,1.0,1.0,4.0,62.0,2.0,5.0,2.0,5.0,2097.0,900,2095.0,900,2.0,2.0,,62.0,1.0,1.0,1.0,5.0,3.0,1.0,,2.0,,4.0,2.0,4.0,133.0,71.0,2.0,58.0,5.0,1.0,4.0,1.0,2.0,1.0,233.0,5.0,5.0,213578.0,900000,214600.0,900000,116.0,4.0,116.0,900,107.0,186108.0,900000,96378.0,900000,107.0,3.0,142.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,,1.0,22.0,3.0,1.0,1.0,1.0,3.0,112.0,2.0,4.0,2.0,4.0,2101.0,900,2101.0,900,2.0,1.0,,112.0,1.0,1.0,1.0,4.0,3.0,1.0,,2.0,,3.0,2.0,3.0,133.0,22.0,2.0,104.0,4.0,1.0,3.0,1.0,1.0,1.0,234.0,5.0,5.0,279073.0,900000,280140.0,900000,112.0,3.0,112.0,900,106.0,276330.0,900000,161413.0,900000,106.0,3.0,147.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,,1.0,,3.0,,1.0,1.0,3.0,112.0,2.0,4.0,2.0,4.0,1907.0,900,1905.0,900,2.0,1.0,,112.0,1.0,1.0,1.0,4.0,2.0,1.0,,3.0,,3.0,3.0,3.0,112.0,,2.0,106.0,4.0,1.0,3.0,1.0,,1.0,212.0,4.0,4.0,248282.0,900000,258690.0,900000,109.0,2.0,109.0,900,107.0,352036.0,900000,244388.0,900000,107.0,2.0,139.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,,1.0,4.0,2.0,1.0,1.0,1.0,2.0,108.0,2.0,3.0,2.0,3.0,1909.0,900,1908.0,900,2.0,1.0,,108.0,1.0,1.0,1.0,3.0,2.0,1.0,,2.0,,2.0,2.0,2.0,112.0,4.0,2.0,101.0,3.0,1.0,2.0,1.0,1.0,1.0,212.0,4.0,4.0,227670.0,900000,236789.0,900000,110.0,3.0,110.0,900,107.0,311397.0,900000,223939.0,900000,107.0,3.0,140.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,,1.0,,2.0,,1.0,2.0,2.0,111.0,2.0,4.0,2.0,4.0,1929.0,900,1928.0,900,2.0,1.0,,111.0,1.0,1.0,1.0,4.0,2.0,1.0,,2.0,,2.0,2.0,2.0,111.0,,2.0,103.0,4.0,1.0,2.0,1.0,,1.0,215.0,4.0,4.0,198230.0,900000,209134.0,900000,108.0,2.0,108.0,900,105.0,247730.0,900000,162672.0,900000,105.0,2.0,139.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,,1.0,,2.0,,1.0,2.0,2.0,105.0,2.0,4.0,2.0,4.0,1968.0,900,1967.0,900,2.0,1.0,,105.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,105.0,,2.0,101.0,4.0,1.0,2.0,1.0,,1.0,219.0,4.0,4.0,223282.0,900000,227060.0,900000,110.0,3.0,110.0,900,104.0,263608.0,900000,199252.0,900000,104.0,3.0,139.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,,1.0,,2.0,,1.0,2.0,2.0,81.0,1.0,4.0,1.0,4.0,1200.0,900,1199.0,900,1.0,1.0,,81.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,81.0,,2.0,79.0,4.0,1.0,2.0,1.0,,1.0,134.0,4.0,4.0,53884.0,900000,48938.0,900000,102.0,2.0,102.0,900,101.0,55494.0,900000,34835.0,900000,101.0,2.0,113.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,,,2.0,2.0,1.0,,2.0,2.0,20.0,1.0,3.0,1.0,3.0,520.0,900,518.0,900,1.0,,,20.0,,,,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,23.0,2.0,1.0,10.0,3.0,,2.0,,1.0,,59.0,3.0,3.0,23947.0,900000,5935.0,900000,100.0,2.0,100.0,900,100.0,12302.0,900000,10601.0,900000,100.0,2.0,103.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,,,,2.0,,,1.0,2.0,11.0,,2.0,,2.0,285.0,900,284.0,900,,,,11.0,,,,2.0,2.0,1.0,,2.0,,2.0,2.0,2.0,11.0,,1.0,4.0,2.0,,2.0,,,,32.0,2.0,2.0,3398.0,900000,3882.0,900000,100.0,1.0,100.0,900,100.0,9630.0,900000,6009.0,900000,100.0,1.0,100.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,,,,1.0,,,1.0,1.0,14.0,,2.0,,2.0,298.0,900,297.0,900,,,,14.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,,1.0,5.0,2.0,,1.0,,,,34.0,3.0,3.0,2093.0,900000,1148.0,900000,100.0,1.0,100.0,900,100.0,2085.0,900000,1619.0,900000,100.0,1.0,101.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,,,,1.0,,,1.0,1.0,7.0,,2.0,,2.0,177.0,900,176.0,900,,,,7.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,,1.0,4.0,2.0,,1.0,,,,21.0,2.0,2.0,2484.0,900000,1629.0,900000,100.0,1.0,100.0,900,100.0,1663.0,900000,1175.0,900000,100.0,1.0,100.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,,,,2.0,,,2.0,2.0,12.0,,2.0,,2.0,242.0,900,241.0,900,,,,12.0,,,,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,12.0,,1.0,4.0,2.0,,2.0,,,,28.0,2.0,2.0,1547.0,900000,1591.0,900000,100.0,1.0,100.0,900,100.0,5085.0,900000,4585.0,900000,100.0,1.0,101.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,,,,2.0,,,1.0,2.0,13.0,,2.0,,2.0,139.0,900,136.0,900,,,,13.0,,,,2.0,1.0,1.0,,2.0,,2.0,2.0,2.0,13.0,,1.0,4.0,2.0,,2.0,,,,16.0,2.0,2.0,264.0,900000,372.0,900000,100.0,1.0,100.0,900,100.0,378.0,900000,423.0,900000,100.0,1.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,,,,2.0,,,,2.0,6.0,,2.0,,2.0,57.0,900,55.0,900,,,,6.0,,,,2.0,1.0,,,2.0,,2.0,2.0,2.0,6.0,,1.0,2.0,2.0,,2.0,,,,7.0,2.0,2.0,151.0,900000,147.0,900000,100.0,1.0,100.0,900,100.0,17.0,900000,134.0,900000,100.0,1.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,,,,1.0,,,,1.0,8.0,,1.0,,1.0,77.0,900,74.0,900,,,,8.0,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,8.0,,1.0,5.0,1.0,,1.0,,,,9.0,2.0,2.0,40.0,900000,230.0,900000,100.0,1.0,100.0,900,100.0,187.0,900000,259.0,900000,100.0,1.0,103.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,,,,1.0,,,1.0,1.0,3.0,,1.0,,1.0,34.0,900,33.0,900,,,,3.0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,3.0,,,,1.0,,1.0,,,,4.0,1.0,1.0,69.0,900000,180.0,900000,100.0,1.0,100.0,900,100.0,352.0,900000,270.0,900000,100.0,1.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,,,,1.0,,,1.0,1.0,6.0,,2.0,,2.0,103.0,900,102.0,900,,,,6.0,,,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,6.0,,1.0,3.0,2.0,,1.0,,,,12.0,2.0,2.0,620.0,900000,887.0,900000,100.0,2.0,100.0,900,100.0,2936.0,900000,2538.0,900000,100.0,2.0,103.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,,,,1.0,,,1.0,1.0,5.0,,2.0,,2.0,71.0,900,67.0,900,,,,5.0,,,,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,5.0,,1.0,3.0,2.0,,1.0,,,,8.0,2.0,2.0,230.0,900000,281.0,900000,100.0,1.0,100.0,900,100.0,546.0,900000,498.0,900000,100.0,1.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,,,,1.0,,,1.0,1.0,3.0,,1.0,,1.0,82.0,900,80.0,900,,,,3.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,,,,10.0,2.0,2.0,249.0,900000,364.0,900000,100.0,1.0,100.0,900,100.0,1303.0,900000,1296.0,900000,100.0,1.0,103.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,,,,1.0,,,,1.0,6.0,,1.0,,1.0,57.0,900,56.0,900,,,,6.0,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,6.0,,1.0,4.0,1.0,,1.0,,,,7.0,1.0,1.0,207.0,900000,162.0,900000,100.0,1.0,100.0,900,100.0,140.0,900000,226.0,900000,100.0,1.0,101.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,,,,1.0,,,1.0,1.0,6.0,,1.0,,1.0,134.0,900,134.0,900,,,,6.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,6.0,,1.0,2.0,1.0,,1.0,,,,15.0,1.0,1.0,24505.0,900000,25298.0,900000,100.0,1.0,100.0,900,100.0,19637.0,900000,10611.0,900000,100.0,1.0,100.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,,,,1.0,,,1.0,1.0,2.0,,1.0,,1.0,111.0,900,110.0,900,,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,1.0,,,,13.0,1.0,1.0,1895.0,900000,1100.0,900000,100.0,1.0,100.0,900,100.0,2559.0,900000,1777.0,900000,100.0,1.0,101.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,,,1.0,2.0,1.0,,1.0,2.0,7.0,,3.0,,3.0,152.0,900,151.0,900,,,,7.0,,,,3.0,1.0,1.0,,2.0,,2.0,2.0,2.0,9.0,1.0,2.0,2.0,3.0,,2.0,,1.0,,17.0,3.0,3.0,326.0,900000,441.0,900000,100.0,1.0,100.0,900,100.0,1045.0,900000,967.0,900000,100.0,1.0,102.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,,,,1.0,,,,1.0,3.0,,1.0,,1.0,32.0,900,30.0,900,,,,3.0,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,,,,4.0,1.0,1.0,19.0,900000,94.0,900000,100.0,1.0,100.0,900,100.0,14.0,900000,95.0,900000,100.0,1.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
