createAt,manageObject,M8051C11,M8051C16,M8051C17,M8051C23,M8051C24,M8051C34,M8051C44,M8051C52,M8051C54,M8051C55,M8051C56,M8051C57,M8051C58,M8051C60,M8051C61,M8051C62,M8051C63,M8051C64,M8051C65,M8051C68,M8051C71,M8051C73,M8051C74,M8051C75,M8051C79,M8051C80,M8051C81,M8051C83,M8051C86,M8051C87,M8051C88,M8051C89,M8051C90,M8051C121,M8051C122,M8051C148,M8051C149,M8051C152,M8051C155,M8051C161,M8051C162,M8051C171,M8051C179,M8051C132,M8051C133,M8051C165,M8051C101,M8051C102,M8051C105,M8051C106,M8051C107,M8051C108,M8051C115,M8051C95,M8051C98,M8051C99,M8051C100,M8051C103,M8051C104,M8051C109,M8051C110,M8051C125,M8051C126,M8051C66,M8051C72,M8051C51,M8051C136,M8051C82,M8051C67,M8051C15,M8051C85,M8051C6,M8051C14,M8051C31,M8051C37,M8051C41,M8051C47,M8051C70,M8051C159,M8051C160,M8051C8,M8051C50,M8051C153,M8051C1,M8051C46,M8051C36,M8051C40,M8051C91,M8051C0,M8051C9,M8051C180,M8051C4
2025-05-08T13:30:00.000-03:00:00,NE-MRBTS-621901,2.0,6.0,,10.0,,3.0,5.0,8.0,667.0,10.0,14.0,10.0,13.0,8851.0,900,8577.0,900,10.0,10.0,,667.0,7.0,4.0,7.0,13.0,13.0,1.0,2.0,10.0,1.0,10.0,6.0,10.0,667.0,,3.0,202.0,13.0,5.0,8.0,6.0,,3.0,994.0,14.0,14.0,163396.0,900000,81136.0,900000,108.0,4.0,108.0,900,105.0,92121.0,900000,68404.0,900000,105.0,3.0,215.0,9.0,1.0,,,,2.0,2.0,,3.0,1.0,2.0,,1.0,,2.0,1.0,,,2.0,1.0,,,,,,,,,,
2025-05-08T14:00:00.000-03:00:00,NE-MRBTS-621901,2.0,5.0,,10.0,,3.0,6.0,8.0,646.0,10.0,18.0,10.0,14.0,9189.0,900,8907.0,900,10.0,10.0,1.0,646.0,6.0,3.0,6.0,14.0,14.0,1.0,2.0,10.0,2.0,10.0,5.0,10.0,646.0,,2.0,185.0,14.0,4.0,8.0,5.0,,3.0,1032.0,18.0,18.0,205397.0,900000,135409.0,900000,117.0,5.0,117.0,900,112.0,161878.0,900000,99657.0,900000,112.0,4.0,246.0,9.0,1.0,,,,3.0,2.0,,2.0,1.0,2.0,,1.0,,1.0,1.0,,,2.0,1.0,,,,,1.0,,,,1.0,
2025-05-08T14:15:00.000-03:00:00,NE-MRBTS-621901,2.0,7.0,,11.0,,4.0,6.0,9.0,872.0,13.0,17.0,12.0,16.0,11376.0,900,11105.0,900,12.0,12.0,2.0,872.0,9.0,4.0,9.0,16.0,16.0,1.0,3.0,11.0,2.0,11.0,6.0,11.0,872.0,,3.0,196.0,16.0,6.0,9.0,7.0,,4.0,1276.0,17.0,17.0,299277.0,900000,240922.0,900000,123.0,6.0,123.0,900,110.0,202007.0,900000,122733.0,900000,110.0,4.0,313.0,11.0,1.0,1.0,,,2.0,2.0,,2.0,2.0,3.0,,1.0,,1.0,1.0,,,2.0,1.0,,,,,1.0,,,,1.0,
2025-05-08T14:30:00.000-03:00:00,NE-MRBTS-621901,2.0,7.0,,11.0,,4.0,5.0,9.0,863.0,13.0,16.0,12.0,15.0,11421.0,900,11147.0,900,12.0,12.0,2.0,863.0,9.0,4.0,9.0,15.0,15.0,2.0,3.0,11.0,2.0,11.0,6.0,11.0,863.0,,3.0,195.0,15.0,6.0,9.0,7.0,,4.0,1283.0,17.0,17.0,329465.0,900000,256616.0,900000,124.0,6.0,124.0,900,111.0,210695.0,900000,118186.0,900000,111.0,4.0,329.0,11.0,1.0,1.0,,,3.0,2.0,,2.0,2.0,3.0,,1.0,,1.0,1.0,,,2.0,1.0,,,,,1.0,,,,1.0,
2025-05-08T15:00:00.000-03:00:00,NE-MRBTS-621901,2.0,6.0,,11.0,,4.0,6.0,9.0,843.0,13.0,17.0,13.0,16.0,11835.0,900,11583.0,900,13.0,13.0,1.0,843.0,8.0,4.0,8.0,16.0,16.0,1.0,2.0,11.0,1.0,11.0,6.0,11.0,843.0,,2.0,199.0,16.0,5.0,9.0,6.0,,4.0,1331.0,17.0,17.0,370055.0,900000,240711.0,900000,126.0,6.0,126.0,900,109.0,179377.0,900000,109160.0,900000,109.0,4.0,310.0,10.0,1.0,,,,2.0,2.0,,3.0,2.0,3.0,,1.0,,1.0,2.0,,,2.0,1.0,,,,,1.0,,,,1.0,
2025-05-08T15:15:00.000-03:00:00,NE-MRBTS-621901,2.0,6.0,,10.0,,4.0,6.0,8.0,796.0,12.0,18.0,12.0,15.0,10953.0,900,10749.0,900,12.0,12.0,1.0,796.0,8.0,3.0,8.0,15.0,15.0,1.0,2.0,10.0,1.0,10.0,5.0,10.0,796.0,,2.0,188.0,15.0,5.0,8.0,6.0,,4.0,1229.0,18.0,18.0,248073.0,900000,148240.0,900000,117.0,6.0,117.0,900,108.0,165207.0,900000,105460.0,900000,108.0,4.0,265.0,9.0,1.0,,,,2.0,2.0,,3.0,2.0,3.0,,1.0,,1.0,2.0,,,2.0,1.0,,,,,1.0,,,,1.0,
2025-05-08T15:30:00.000-03:00:00,NE-MRBTS-621901,2.0,7.0,,11.0,,4.0,6.0,10.0,800.0,12.0,16.0,12.0,16.0,11240.0,900,10997.0,900,12.0,12.0,,800.0,8.0,4.0,8.0,16.0,16.0,1.0,1.0,11.0,1.0,11.0,5.0,11.0,800.0,,3.0,207.0,16.0,6.0,10.0,7.0,,4.0,1263.0,17.0,17.0,288080.0,900000,196336.0,900000,122.0,7.0,122.0,900,110.0,195072.0,900000,108324.0,900000,110.0,4.0,312.0,11.0,1.0,,,,2.0,2.0,,3.0,1.0,2.0,,1.0,,1.0,2.0,,,2.0,,,,,,,,,,1.0,
2025-05-08T16:00:00.000-03:00:00,NE-MRBTS-621901,2.0,7.0,,10.0,,4.0,6.0,9.0,773.0,12.0,17.0,12.0,15.0,11024.0,900,10720.0,900,12.0,12.0,,773.0,8.0,3.0,8.0,15.0,15.0,1.0,1.0,10.0,1.0,10.0,5.0,10.0,773.0,,3.0,174.0,15.0,6.0,9.0,7.0,,4.0,1244.0,17.0,17.0,309675.0,900000,160430.0,900000,124.0,6.0,124.0,900,111.0,180371.0,900000,112900.0,900000,111.0,5.0,274.0,10.0,1.0,,,,2.0,2.0,,3.0,1.0,2.0,,1.0,,1.0,2.0,,,2.0,,,,,,,,,,1.0,
2025-05-08T16:15:00.000-03:00:00,NE-MRBTS-621901,2.0,6.0,,10.0,,4.0,7.0,9.0,651.0,11.0,33.0,10.0,15.0,10282.0,900,9428.0,900,10.0,10.0,,651.0,7.0,3.0,7.0,15.0,15.0,1.0,2.0,10.0,2.0,10.0,5.0,10.0,651.0,,3.0,180.0,15.0,5.0,9.0,6.0,,3.0,1161.0,36.0,36.0,283608.0,900001,198582.0,900000,123.0,7.0,123.0,900,116.0,380562.0,900000,236485.0,900000,116.0,4.0,333.0,20.0,1.0,,,,2.0,2.0,,3.0,1.0,2.0,,1.0,,1.0,2.0,,,2.0,,,,,,,,,,1.0,
2025-05-08T16:30:00.000-03:00:00,NE-MRBTS-621901,1.0,3.0,,10.0,,2.0,5.0,8.0,369.0,6.0,16.0,6.0,13.0,5497.0,900,5310.0,900,6.0,6.0,,369.0,4.0,2.0,4.0,13.0,13.0,1.0,,10.0,,9.0,5.0,9.0,369.0,,2.0,85.0,13.0,3.0,8.0,3.0,,2.0,617.0,15.0,15.0,176486.0,900002,121316.0,900000,121.0,6.0,121.0,900,112.0,175053.0,900000,89327.0,900000,112.0,4.0,267.0,11.0,,,,,3.0,1.0,,3.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,
