createAt,manageObject,M8026C4,M8026C23,M8026C29,M8026C254,M8026C284,M8026C287,M8026C38,M8026C273,M8026C274,M8026C275,M8026C276,M8026C277,M8026C278,M8026C288,M8026C289,M8026C285,M8026C286,M8026C291,M8026C292,M8026C293,M8026C294,M8026C300
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-690204,,34214.0,10388.0,,2571.0,2571.0,13.0,2796,77335.0,19.0,11331.0,316.0,311.0,270.0,150.0,14748,4901,6926.0,171.0,443.0,11.0,27307
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-690204,,208502.0,38638.0,,15510.0,15510.0,13.0,2964,377530.0,19.0,54145.0,269.0,1417.0,210.0,176.0,64600,21081,7456.0,118.0,552.0,18.0,43236
2025-05-07T02:00:00.000-03:00:00,NE-MRBTS-690204,,4796.0,4035.0,,1528.0,1528.0,10.0,2540,6567.0,21.0,607.0,339.0,114.0,263.0,99.0,11501,3833,1218.0,23.0,390.0,100.0,7581
2025-05-07T02:15:00.000-03:00:00,NE-MRBTS-690204,,2057.0,2033.0,,1224.0,1224.0,9.0,2478,2907.0,16.0,127.0,284.0,142.0,220.0,105.0,10248,3416,815.0,,405.0,7.0,5539
2025-05-07T02:30:00.000-03:00:00,NE-MRBTS-690204,,7029.0,6648.0,,2423.0,2423.0,9.0,2483,7711.0,18.0,473.0,263.0,60.0,194.0,50.0,15356,5117,2688.0,39.0,273.0,30.0,16790
2025-05-07T03:00:00.000-03:00:00,NE-MRBTS-690204,157.0,114896.0,63490.0,157.0,27633.0,27633.0,13.0,2164,217326.0,9.0,34258.0,230.0,119.0,196.0,60.0,9846,3282,129344.0,255.0,218.0,9.0,607514
2025-05-07T03:15:00.000-03:00:00,NE-MRBTS-690204,,57626.0,34583.0,,22176.0,22176.0,11.0,1940,77792.0,9.0,9343.0,242.0,161.0,199.0,89.0,6494,2163,97519.0,93.0,229.0,17.0,797113
2025-05-07T03:30:00.000-03:00:00,NE-MRBTS-690204,,41637.0,26011.0,,14380.0,14380.0,10.0,2327,43267.0,11.0,4113.0,250.0,167.0,211.0,90.0,7747,2569,115577.0,189.0,245.0,55.0,775533
2025-05-07T04:00:00.000-03:00:00,NE-MRBTS-690204,,27779.0,22672.0,,12567.0,12567.0,11.0,2277,36041.0,11.0,3924.0,312.0,141.0,238.0,98.0,7126,2375,125305.0,263.0,261.0,11.0,763865
2025-05-07T04:15:00.000-03:00:00,NE-MRBTS-690204,,52925.0,27083.0,,15242.0,15242.0,12.0,2245,68651.0,17.0,9165.0,209.0,137.0,172.0,83.0,7128,2376,103028.0,390.0,264.0,16.0,792664
2025-05-07T04:30:00.000-03:00:00,NE-MRBTS-690204,,41538.0,28612.0,,15873.0,15873.0,11.0,2565,48286.0,18.0,5581.0,310.0,149.0,260.0,107.0,8190,2726,126925.0,181.0,322.0,30.0,764013
2025-05-07T05:00:00.000-03:00:00,NE-MRBTS-690204,,4687.0,3864.0,,2674.0,2674.0,10.0,2548,6652.0,33.0,490.0,310.0,110.0,222.0,79.0,7858,2599,105546.0,112.0,315.0,115.0,780977
2025-05-07T05:15:00.000-03:00:00,NE-MRBTS-690204,,1214.0,1167.0,,943.0,943.0,9.0,2538,2050.0,24.0,56.0,241.0,103.0,207.0,86.0,7560,2520,142010.0,427.0,306.0,127.0,735373
2025-05-07T05:30:00.000-03:00:00,NE-MRBTS-690204,19.0,3123.0,2933.0,19.0,2051.0,2051.0,9.0,2470,5131.0,21.0,279.0,310.0,214.0,266.0,128.0,7727,2575,124368.0,288.0,254.0,345.0,762453
2025-05-07T06:00:00.000-03:00:00,NE-MRBTS-690204,1.0,1164.0,1142.0,1.0,993.0,993.0,9.0,2846,2060.0,27.0,18.0,313.0,135.0,263.0,103.0,8818,2937,84035.0,78.0,317.0,123.0,813558
2025-05-07T06:15:00.000-03:00:00,NE-MRBTS-690204,,2391.0,2371.0,,1570.0,1570.0,10.0,3187,4017.0,33.0,185.0,367.0,200.0,309.0,125.0,12494,4163,122079.0,194.0,402.0,204.0,772039
