createAt,manageObject,M8038C0,M8038C1,M8038C2,M8038C3,M8038C4,M8038C5,M8038C26,M8038C27,M8038C44,M8038C45,M8038C53,M8038C6,M8038C7,M8038C50,M8038C79,M8038C80,M8038C8,M8038C9,M8038C49,M8038C56,M8038C76,M8038C77
2025-05-07T23:30:00.000-03:00:00,NE-MRBTS-771801,2945.0,900,78397556.0,6685.0,7651013.0,1824.0,46402824.0,15887.0,600713728.0,43809.0,,70356.0,900001,1015384.0,92.0,45.0,26277.0,900000,135777.0,101.0,95.0,8.0
2025-05-08T00:00:00.000-03:00:00,NE-MRBTS-771801,2720.0,900,108384250.0,4785.0,4699837.0,403.0,23109072.0,21621.0,840077424.0,61635.0,,90825.0,900000,1396079.0,92.0,62.0,38113.0,900000,133117.0,101.0,95.0,7.0
2025-05-08T00:15:00.000-03:00:00,NE-MRBTS-771801,2476.0,900,93419037.0,4553.0,2763877.0,362.0,11295368.0,35846.0,722524656.0,51669.0,,73486.0,900000,1207416.0,92.0,53.0,49936.0,900000,110399.0,100.0,95.0,6.0
2025-05-08T00:30:00.000-03:00:00,NE-MRBTS-771801,2528.0,900,2918198.0,5953.0,1792534.0,1735.0,6909928.0,10175.0,14601000.0,1210.0,,19119.0,900000,50722.0,92.0,2.0,15029.0,900000,71133.0,100.0,95.0,4.0
2025-05-08T01:00:00.000-03:00:00,NE-MRBTS-771801,2339.0,900,2046739.0,4944.0,811467.0,409.0,2223696.0,4272.0,11528912.0,825.0,1.0,17262.0,900000,36342.0,92.0,2.0,9237.0,900000,41559.0,100.0,95.0,2.0
2025-05-08T01:15:00.000-03:00:00,NE-MRBTS-771801,2325.0,900,1616412.0,4400.0,1116842.0,328.0,4112560.0,7107.0,7687304.0,863.0,,18521.0,900000,38871.0,92.0,2.0,13721.0,900000,68554.0,100.0,95.0,4.0
2025-05-08T01:30:00.000-03:00:00,NE-MRBTS-771801,2590.0,900,1093693.0,5288.0,976934.0,1700.0,3180544.0,7922.0,3855232.0,535.0,,24423.0,900000,24777.0,92.0,1.0,19172.0,900000,94037.0,101.0,95.0,5.0
2025-05-08T02:00:00.000-03:00:00,NE-MRBTS-771801,2178.0,900,2499274.0,4155.0,627168.0,337.0,1548608.0,4991.0,15521144.0,1207.0,,13132.0,900000,42716.0,92.0,2.0,10856.0,900000,47461.0,100.0,95.0,3.0
2025-05-08T02:15:00.000-03:00:00,NE-MRBTS-771801,2367.0,900,3592326.0,6201.0,1578563.0,466.0,8521232.0,20867.0,19028320.0,2427.0,1.0,27159.0,900000,88463.0,92.0,4.0,29736.0,900000,199256.0,100.0,95.0,11.0
2025-05-08T02:30:00.000-03:00:00,NE-MRBTS-771801,2343.0,900,2135019.0,5772.0,952403.0,1776.0,3048384.0,5712.0,11151384.0,813.0,,14817.0,900000,35704.0,92.0,2.0,12151.0,900000,65325.0,100.0,95.0,4.0
2025-05-08T03:00:00.000-03:00:00,NE-MRBTS-771801,2639.0,900,7537155.0,7029.0,1361517.0,562.0,6806752.0,8371.0,50661128.0,4619.0,1.0,22128.0,900000,128858.0,92.0,6.0,13999.0,900000,53126.0,100.0,95.0,3.0
2025-05-08T03:15:00.000-03:00:00,NE-MRBTS-771801,2542.0,900,11456324.0,6000.0,1786733.0,1785.0,5834064.0,8457.0,78816048.0,11544.0,,57305.0,900001,208785.0,92.0,9.0,14184.0,900000,75652.0,100.0,95.0,4.0
