createAt,manageObject,M8072C0,M8072C5,M8072C7,M8072C10,M8072C11,M8072C12,M8072C34,M8072C8,M8072C2,M8072C4,M8072C13
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690501,7,,2.0,7,4.0,,1688.0,,,,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-690501,4,,,4,2.0,2.0,1286.0,,,,
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,134.0,,,,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690501,34,1.0,1.0,33,29.0,,309.0,,1.0,,
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-690501,40,5.0,3.0,40,31.0,1.0,605.0,,,,
2025-05-07T08:30:00.000-04:00:00,NE-MRBTS-690501,67,9.0,2.0,64,50.0,1.0,695.0,2.0,3.0,,
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-690501,28,1.0,1.0,28,24.0,2.0,557.0,,,,
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-690501,25,2.0,1.0,24,17.0,2.0,592.0,,1.0,,
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-690501,37,6.0,,37,26.0,2.0,1203.0,,,,
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-690501,37,4.0,2.0,36,22.0,6.0,908.0,3.0,1.0,,
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-690501,45,6.0,2.0,45,36.0,1.0,545.0,,,,
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-690501,28,5.0,,28,22.0,1.0,1235.0,,,,
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-690501,14,1.0,,14,10.0,1.0,632.0,,,,
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-690501,17,4.0,,17,13.0,1.0,1089.0,,,,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690501,19,7.0,1.0,19,11.0,,2150.0,2.0,,,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690501,24,8.0,2.0,24,13.0,1.0,2624.0,1.0,,,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690501,34,3.0,1.0,34,23.0,6.0,1172.0,,,,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690501,17,5.0,1.0,17,10.0,,433.0,,,,
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-690501,13,1.0,2.0,13,10.0,,895.0,,,,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690501,23,1.0,2.0,23,15.0,5.0,700.0,1.0,,,
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-690501,32,9.0,,31,20.0,1.0,1681.0,,1.0,,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-690501,29,1.0,,29,28.0,,844.0,,,,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-690501,33,1.0,,33,30.0,2.0,786.0,,,,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690501,59,3.0,1.0,59,51.0,2.0,765.0,,,,
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-690501,30,1.0,2.0,29,24.0,2.0,341.0,,1.0,,
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-690501,21,1.0,,21,17.0,2.0,1343.0,,,,
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-690501,5,,,5,5.0,,266.0,,,,
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-690501,37,,,37,36.0,,159.0,,,,
