createAt,manageObject,M8072C0,M8072C5,M8072C7,M8072C10,M8072C11,M8072C12,M8072C34,M8072C8,M8072C2,M8072C4,M8072C13
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-690513,2,,,2,2.0,,137.0,,,,
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-690513,3,,,3,3.0,,125.0,,,,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,122.0,,,,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690513,3,,,3,3.0,,122.0,,,,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690513,2,,,2,2.0,,125.0,,,,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,129.0,,,,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,120.0,,,,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,119.0,,,,
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,132.0,,,,
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,130.0,,,,
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-690513,1,,,1,,,,,,,
2025-05-07T17:15:00.000-04:00:00,NE-MRBTS-690513,4,,,4,4.0,,158.0,,,,
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-690513,1,1.0,,1,,,,,,,
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-690513,3,,,3,3.0,,125.0,,,,
2025-05-08T00:00:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,142.0,,,,
2025-05-08T00:30:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,145.0,,,,
2025-05-08T04:00:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,127.0,,,,
2025-05-08T04:30:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,128.0,,,,
2025-05-08T05:15:00.000-04:00:00,NE-MRBTS-690513,2,,,2,2.0,,129.0,,,,
2025-05-08T05:30:00.000-04:00:00,NE-MRBTS-690513,5,,,5,5.0,,123.0,,,,
2025-05-08T06:00:00.000-04:00:00,NE-MRBTS-690513,3,,,3,3.0,,121.0,,,,
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,130.0,,,,
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,134.0,,,,
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,127.0,,,,
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-690513,3,,,3,3.0,,142.0,,,,
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,109.0,,,,
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,127.0,,,,
