createAt,manageObject,M8049C0,M8049C1,M8049C2,M8049C3
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-660701,8,7029.0,631.0,7319.0
2025-05-07T06:45:00.000-04:00:00,NE-MRBTS-660701,8,6402.0,530.0,6559.0
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-660701,7,6038.0,5287.0,6152.0
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-660701,8,7986.0,937.0,8240.0
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-660701,7,8124.0,1746.0,8245.0
2025-05-07T07:45:00.000-04:00:00,NE-MRBTS-660701,7,7550.0,1233.0,7726.0
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-660701,7,7244.0,1382.0,7662.0
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-660701,7,7985.0,684.0,8112.0
2025-05-07T08:30:00.000-04:00:00,NE-MRBTS-660701,8,12859.0,1090.0,13212.0
2025-05-07T08:45:00.000-04:00:00,NE-MRBTS-660701,8,12633.0,2480.0,12924.0
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-660701,9,7451.0,648.0,7753.0
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-660701,7,7628.0,562.0,7786.0
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-660701,7,8723.0,444.0,8931.0
2025-05-07T09:45:00.000-04:00:00,NE-MRBTS-660701,6,7105.0,597.0,7285.0
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-660701,7,7883.0,1088.0,7998.0
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-660701,8,7131.0,665.0,7211.0
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-660701,7,7397.0,636.0,7687.0
2025-05-07T10:45:00.000-04:00:00,NE-MRBTS-660701,3,6930.0,598.0,7121.0
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-660701,4,7024.0,469.0,7254.0
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-660701,3,7996.0,665.0,8149.0
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-660701,3,5974.0,349.0,6210.0
2025-05-07T11:45:00.000-04:00:00,NE-MRBTS-660701,4,6659.0,445.0,6879.0
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-660701,8,6750.0,3201.0,6839.0
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-660701,8,8507.0,1251.0,9373.0
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-660701,7,7321.0,7463.0,7559.0
2025-05-07T12:45:00.000-04:00:00,NE-MRBTS-660701,6,8896.0,986.0,9093.0
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-660701,8,5920.0,4460.0,6146.0
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-660701,9,7607.0,913.0,8055.0
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-660701,10,7764.0,1526.0,8126.0
2025-05-07T13:45:00.000-04:00:00,NE-MRBTS-660701,9,7718.0,2026.0,7839.0
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-660701,9,13968.0,1035.0,14198.0
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-660701,9,12836.0,1817.0,13181.0
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-660701,9,13826.0,2609.0,14041.0
2025-05-07T14:45:00.000-04:00:00,NE-MRBTS-660701,9,12628.0,485.0,12674.0
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-660701,10,12371.0,2563.0,12695.0
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-660701,8,13874.0,806.0,14057.0
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-660701,9,13669.0,1005.0,13870.0
2025-05-07T15:45:00.000-04:00:00,NE-MRBTS-660701,9,14476.0,741.0,14761.0
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-660701,10,12900.0,3314.0,13391.0
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-660701,5,12770.0,479.0,13031.0
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-660701,9,11735.0,894.0,11917.0
2025-05-07T16:45:00.000-04:00:00,NE-MRBTS-660701,10,13764.0,776.0,14113.0
2025-05-07T17:00:00.000-04:00:00,NE-MRBTS-660701,7,13522.0,719.0,13829.0
2025-05-07T17:15:00.000-04:00:00,NE-MRBTS-660701,6,13646.0,499.0,13957.0
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-660701,4,13083.0,1770.0,13227.0
2025-05-07T17:45:00.000-04:00:00,NE-MRBTS-660701,5,13897.0,1674.0,14009.0
2025-05-07T18:00:00.000-04:00:00,NE-MRBTS-660701,5,13931.0,1365.0,14188.0
2025-05-07T18:15:00.000-04:00:00,NE-MRBTS-660701,5,12170.0,566.0,12305.0
2025-05-07T18:30:00.000-04:00:00,NE-MRBTS-660701,4,11601.0,610.0,11886.0
2025-05-07T18:45:00.000-04:00:00,NE-MRBTS-660701,4,9627.0,720.0,9725.0
2025-05-07T19:00:00.000-04:00:00,NE-MRBTS-660701,6,13053.0,1414.0,13366.0
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-660701,5,13370.0,648.0,13652.0
2025-05-07T19:30:00.000-04:00:00,NE-MRBTS-660701,5,12590.0,1740.0,12902.0
2025-05-07T19:45:00.000-04:00:00,NE-MRBTS-660701,5,12789.0,609.0,13140.0
2025-05-07T20:00:00.000-04:00:00,NE-MRBTS-660701,4,12794.0,890.0,13054.0
2025-05-07T20:15:00.000-04:00:00,NE-MRBTS-660701,5,11868.0,769.0,11927.0
2025-05-07T20:30:00.000-04:00:00,NE-MRBTS-660701,4,12466.0,951.0,12795.0
2025-05-07T20:45:00.000-04:00:00,NE-MRBTS-660701,4,10593.0,1084.0,11320.0
2025-05-07T21:00:00.000-04:00:00,NE-MRBTS-660701,5,10968.0,677.0,11531.0
2025-05-07T21:15:00.000-04:00:00,NE-MRBTS-660701,4,11920.0,781.0,12157.0
2025-05-07T21:30:00.000-04:00:00,NE-MRBTS-660701,4,10791.0,412.0,11013.0
2025-05-07T21:45:00.000-04:00:00,NE-MRBTS-660701,4,9116.0,523.0,9639.0
2025-05-07T22:00:00.000-04:00:00,NE-MRBTS-660701,4,11458.0,847.0,11956.0
2025-05-07T22:15:00.000-04:00:00,NE-MRBTS-660701,4,10792.0,617.0,11023.0
2025-05-07T22:30:00.000-04:00:00,NE-MRBTS-660701,3,6038.0,431.0,6084.0
2025-05-07T22:45:00.000-04:00:00,NE-MRBTS-660701,3,6971.0,297.0,7206.0
2025-05-07T23:00:00.000-04:00:00,NE-MRBTS-660701,4,12422.0,454.0,12632.0
2025-05-07T23:15:00.000-04:00:00,NE-MRBTS-660701,4,11106.0,523.0,11532.0
2025-05-07T23:30:00.000-04:00:00,NE-MRBTS-660701,3,1753.0,325.0,1848.0
2025-05-07T23:45:00.000-04:00:00,NE-MRBTS-660701,3,224.0,251.0,446.0
2025-05-08T00:00:00.000-04:00:00,NE-MRBTS-660701,3,192.0,121.0,298.0
2025-05-08T00:15:00.000-04:00:00,NE-MRBTS-660701,3,7785.0,460.0,8128.0
2025-05-08T00:30:00.000-04:00:00,NE-MRBTS-660701,3,212.0,115.0,323.0
2025-05-08T00:45:00.000-04:00:00,NE-MRBTS-660701,3,355.0,134.0,454.0
2025-05-08T01:00:00.000-04:00:00,NE-MRBTS-660701,3,209.0,123.0,327.0
2025-05-08T01:15:00.000-04:00:00,NE-MRBTS-660701,3,8839.0,453.0,9008.0
2025-05-08T01:30:00.000-04:00:00,NE-MRBTS-660701,3,745.0,246.0,839.0
2025-05-08T01:45:00.000-04:00:00,NE-MRBTS-660701,3,9288.0,351.0,9471.0
2025-05-08T02:00:00.000-04:00:00,NE-MRBTS-660701,3,2914.0,354.0,3049.0
2025-05-08T02:15:00.000-04:00:00,NE-MRBTS-660701,3,8979.0,387.0,9153.0
2025-05-08T02:30:00.000-04:00:00,NE-MRBTS-660701,3,6788.0,572.0,6921.0
2025-05-08T02:45:00.000-04:00:00,NE-MRBTS-660701,4,9434.0,414.0,9813.0
2025-05-08T03:00:00.000-04:00:00,NE-MRBTS-660701,3,2329.0,126.0,2435.0
2025-05-08T03:15:00.000-04:00:00,NE-MRBTS-660701,3,8486.0,436.0,8923.0
2025-05-08T03:30:00.000-04:00:00,NE-MRBTS-660701,3,7610.0,175.0,7709.0
2025-05-08T03:45:00.000-04:00:00,NE-MRBTS-660701,3,240.0,107.0,325.0
2025-05-08T04:00:00.000-04:00:00,NE-MRBTS-660701,3,10383.0,406.0,10678.0
2025-05-08T04:15:00.000-04:00:00,NE-MRBTS-660701,3,9287.0,432.0,9639.0
2025-05-08T04:30:00.000-04:00:00,NE-MRBTS-660701,3,752.0,193.0,848.0
2025-05-08T04:45:00.000-04:00:00,NE-MRBTS-660701,3,8398.0,405.0,8565.0
2025-05-08T05:00:00.000-04:00:00,NE-MRBTS-660701,4,3477.0,153.0,3631.0
2025-05-08T05:15:00.000-04:00:00,NE-MRBTS-660701,5,10973.0,557.0,11131.0
2025-05-08T05:30:00.000-04:00:00,NE-MRBTS-660701,6,10654.0,665.0,10833.0
2025-05-08T05:45:00.000-04:00:00,NE-MRBTS-660701,6,9792.0,613.0,10116.0
2025-05-08T06:00:00.000-04:00:00,NE-MRBTS-660701,8,13508.0,1079.0,13858.0
2025-05-08T06:15:00.000-04:00:00,NE-MRBTS-660701,8,13819.0,10999.0,14039.0
2025-05-08T06:30:00.000-04:00:00,NE-MRBTS-660701,7,11866.0,8636.0,12012.0
2025-05-08T06:45:00.000-04:00:00,NE-MRBTS-660701,7,7297.0,9599.0,9778.0
2025-05-08T07:00:00.000-04:00:00,NE-MRBTS-660701,10,10689.0,8943.0,10820.0
2025-05-08T07:15:00.000-04:00:00,NE-MRBTS-660701,9,12381.0,1010.0,12418.0
2025-05-08T07:30:00.000-04:00:00,NE-MRBTS-660701,10,13691.0,5607.0,14053.0
2025-05-08T07:45:00.000-04:00:00,NE-MRBTS-660701,9,13797.0,5191.0,15366.0
2025-05-08T08:00:00.000-04:00:00,NE-MRBTS-660701,9,10194.0,1300.0,10500.0
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-660701,8,13812.0,373.0,13920.0
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-660701,9,13773.0,774.0,14399.0
2025-05-08T08:45:00.000-04:00:00,NE-MRBTS-660701,8,10622.0,2405.0,10856.0
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-660701,7,13679.0,958.0,13742.0
