createAt,manageObject,M8006C0,M8006C1,M8006C53,M8006C54,M8006C196,M8006C214,M8006C232,M8006C254,M8006C255,M8006C256,M8006C180,M8006C185,M8006C243,M8006C6,M8006C247,M8006C7,M8006C313,M8006C339,M8006C340,M8006C262,M8006C263,M8006C264,M8006C346,M8006C205,M8006C223,M8006C347,M8006C259,M8006C246
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-660701,62.0,62.0,3526.0,900,62.0,62.0,7.0,63.0,63.0,,,481.0,,,,,,,,,,,,,,,,
2025-05-07T09:45:00.000-04:00:00,NE-MRBTS-660701,66.0,66.0,3021.0,900,66.0,66.0,6.0,64.0,62.0,2.0,,350.0,,1.0,,,,,,,,,,,,,,
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-660701,61.0,61.0,3448.0,900,61.0,61.0,7.0,62.0,61.0,1.0,,597.0,,,,1.0,,,,,,,,,,,,
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-660701,46.0,46.0,2324.0,900,46.0,46.0,8.0,43.0,42.0,1.0,,360.0,,,,,,,,,,,,,,,,
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-660701,36.0,36.0,3242.0,900,36.0,36.0,7.0,39.0,39.0,,,600.0,,,,,,,,,,,,,,,,
2025-05-07T10:45:00.000-04:00:00,NE-MRBTS-660701,12.0,12.0,1902.0,900,12.0,12.0,3.0,11.0,11.0,,,418.0,,,,,,,,,,,,,,,,
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-660701,14.0,14.0,2057.0,900,14.0,14.0,4.0,15.0,15.0,,,393.0,,,,,,,,,,,,,,,,
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-660701,21.0,21.0,1759.0,900,21.0,21.0,3.0,21.0,21.0,,,548.0,,,,,,,,,,,,,,,,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-660701,19.0,19.0,1383.0,900,19.0,19.0,3.0,19.0,19.0,,,227.0,,,,,,,,,,,,,,,,
2025-05-07T11:45:00.000-04:00:00,NE-MRBTS-660701,15.0,15.0,2177.0,900,15.0,15.0,4.0,14.0,14.0,,,564.0,,1.0,,,,,,,,,,,,,,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-660701,62.0,62.0,2434.0,900,62.0,62.0,8.0,55.0,55.0,,,544.0,,,,1.0,,,,,,,,,,,,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-660701,64.0,64.0,4657.0,900,64.0,64.0,8.0,68.0,67.0,1.0,,1174.0,,,,,,,,,,,,,,,,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-660701,52.0,52.0,3599.0,900,52.0,52.0,7.0,52.0,50.0,2.0,,989.0,,,,,,,,,,,,,,,,
2025-05-07T12:45:00.000-04:00:00,NE-MRBTS-660701,59.0,59.0,3211.0,900,59.0,59.0,6.0,59.0,59.0,,,731.0,,,,,,,,,,,,,,,,
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-660701,65.0,65.0,3869.0,900,65.0,65.0,8.0,62.0,61.0,1.0,1.0,920.0,1.0,,,1.0,,,,,,,,,,,,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-660701,50.0,50.0,5728.0,900,50.0,50.0,9.0,51.0,50.0,1.0,1.0,1846.0,1.0,1.0,,,,,,,,,,,,,,
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-660701,80.0,80.0,4979.0,900,80.0,80.0,11.0,76.0,72.0,4.0,3.0,1205.0,3.0,,,,,,,,,,,,,,,
2025-05-07T13:45:00.000-04:00:00,NE-MRBTS-660701,53.0,52.0,4595.0,900,53.0,52.0,9.0,57.0,56.0,1.0,1.0,1081.0,1.0,,1.0,,,,,,,,,,,,,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-660701,86.0,86.0,5274.0,900,86.0,86.0,9.0,78.0,73.0,5.0,4.0,1422.0,4.0,2.0,,2.0,,,,,,,,,,,,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-660701,71.0,71.0,5129.0,900,71.0,71.0,9.0,72.0,70.0,2.0,2.0,1023.0,2.0,,,,,,,,,,,,,,,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-660701,75.0,75.0,4953.0,900,75.0,75.0,9.0,75.0,73.0,2.0,2.0,953.0,2.0,,,1.0,,,,,,,,,,,,
2025-05-07T14:45:00.000-04:00:00,NE-MRBTS-660701,89.0,89.0,4180.0,900,89.0,89.0,9.0,91.0,86.0,5.0,3.0,1269.0,3.0,,,,,,,,,,,,,,,
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-660701,90.0,90.0,5785.0,900,90.0,90.0,10.0,90.0,86.0,4.0,4.0,1231.0,4.0,,,,,,,,,,,,,,,
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-660701,80.0,80.0,3819.0,900,80.0,80.0,8.0,79.0,77.0,2.0,1.0,473.0,1.0,,,,,,,,,,,,,,,
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-660701,78.0,78.0,4579.0,900,78.0,78.0,9.0,75.0,75.0,,,876.0,,1.0,,,,,,,,,,,,,,
2025-05-07T15:45:00.000-04:00:00,NE-MRBTS-660701,74.0,74.0,5146.0,900,74.0,74.0,9.0,74.0,73.0,1.0,1.0,1440.0,1.0,,,,,,,,,,,,,,,
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-660701,88.0,88.0,5421.0,900,88.0,88.0,10.0,89.0,87.0,2.0,2.0,1321.0,2.0,1.0,,,,,,,,,,,,,,
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-660701,62.0,62.0,3135.0,900,62.0,62.0,6.0,60.0,58.0,2.0,2.0,628.0,2.0,3.0,,,,,,,,,,,,,,
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-660701,78.0,78.0,5114.0,900,78.0,78.0,9.0,80.0,80.0,,,1251.0,,,,,,,,,,,,,,,,
2025-05-07T16:45:00.000-04:00:00,NE-MRBTS-660701,83.0,83.0,5122.0,900,83.0,83.0,10.0,77.0,76.0,1.0,1.0,1555.0,1.0,1.0,,1.0,,,,,,,,,,,,
2025-05-07T17:00:00.000-04:00:00,NE-MRBTS-660701,63.0,63.0,2840.0,900,63.0,63.0,7.0,65.0,65.0,,,642.0,,,,,,,,,,,,,,,,
2025-05-07T17:15:00.000-04:00:00,NE-MRBTS-660701,32.0,32.0,2902.0,900,32.0,32.0,6.0,31.0,31.0,,,643.0,,,,,,,,,,,,,,,,
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-660701,31.0,31.0,1892.0,900,31.0,31.0,4.0,33.0,32.0,1.0,1.0,458.0,1.0,1.0,,,,,,,,,,,,,,
